source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
mm:region:sagaing,MM,region,Sagaing,,01,,1,,
mm:region:bago,MM,region,Bago,,02,,1,,
mm:region:magway,MM,region,Magway,,03,,1,,
mm:region:mandalay,MM,region,Mandalay,,04,,1,,
mm:region:tanintharyi,MM,region,Tanintharyi,,05,,1,,
mm:region:yangon,MM,region,Yangon,,06,,1,,
mm:region:ayeyarwady,MM,region,Ayeyarwady,,07,,1,,
mm:state:kachin,MM,state,Kachin,,11,,1,,
mm:state:kayah,MM,state,Kayah,,12,,1,,
mm:state:kayin,MM,state,Kayin,,13,,1,,
mm:state:chin,MM,state,Chin,,14,,1,,
mm:state:mon,MM,state,Mon,,15,,1,,
mm:state:rakhine,MM,state,Rakhine,,16,,1,,
mm:state:shan,MM,state,Shan,,17,,1,,
mm:union_territory:naypyidaw,MM,union_territory,Naypyidaw,,18,,1,,
mm:district:myitkyina,MM,district,Myitkyina,,MMR001001,mm:state:kachin,2,,
mm:district:mohnyin,MM,district,Mohnyin,,MMR001002,mm:state:kachin,2,,
mm:district:bhamo,MM,district,Bhamo,,MMR001003,mm:state:kachin,2,,
mm:district:puta-o,MM,district,Puta-O,,MMR001004,mm:state:kachin,2,,
mm:district:loikaw,MM,district,Loikaw,,MMR002001,mm:state:kayah,2,,
mm:district:bawlake,MM,district,Bawlake,,MMR002002,mm:state:kayah,2,,
mm:district:hpa-an,MM,district,Hpa-An,,MMR003001,mm:state:kayin,2,,
mm:district:myawaddy,MM,district,Myawaddy,,MMR003002,mm:state:kayin,2,,
mm:district:kawkareik,MM,district,Kawkareik,,MMR003003,mm:state:kayin,2,,
mm:district:hpapun,MM,district,Hpapun,,MMR003004,mm:state:kayin,2,,
mm:district:falam,MM,district,Falam,,MMR004001,mm:state:chin,2,,
mm:district:mindat,MM,district,Mindat,,MMR004002,mm:state:chin,2,,
mm:district:hakha,MM,district,Hakha,,MMR004003,mm:state:chin,2,,
mm:district:matupi,MM,district,Matupi,,MMR004004,mm:state:chin,2,,
mm:district:sagaing,MM,district,Sagaing,,MMR005001,mm:region:sagaing,2,,
mm:district:shwebo,MM,district,Shwebo,,MMR005002,mm:region:sagaing,2,,
mm:district:monywa,MM,district,Monywa,,MMR005003,mm:region:sagaing,2,,
mm:district:katha,MM,district,Katha,,MMR005004,mm:region:sagaing,2,,
mm:district:kale,MM,district,Kale,,MMR005005,mm:region:sagaing,2,,
mm:district:tamu,MM,district,Tamu,,MMR005006,mm:region:sagaing,2,,
mm:district:mawlaik,MM,district,Mawlaik,,MMR005007,mm:region:sagaing,2,,
mm:district:hkamti,MM,district,Hkamti,,MMR005008,mm:region:sagaing,2,,
mm:district:yinmarbin,MM,district,Yinmarbin,,MMR005009,mm:region:sagaing,2,,
mm:district:kanbalu,MM,district,Kanbalu,,MMR005010,mm:region:sagaing,2,,
mm:district:kawlin,MM,district,Kawlin,,MMR005011,mm:region:sagaing,2,,
mm:district:naga-self-administered-zone,MM,district,Naga Self-Administered Zone,,MMR005S001,mm:region:sagaing,2,,
mm:district:dawei,MM,district,Dawei,,MMR006001,mm:region:tanintharyi,2,,
mm:district:myeik,MM,district,Myeik,,MMR006002,mm:region:tanintharyi,2,,
mm:district:kawthoung,MM,district,Kawthoung,,MMR006003,mm:region:tanintharyi,2,,
mm:district:bago,MM,district,Bago,,MMR007001,mm:region:bago,2,,
mm:district:taungoo,MM,district,Taungoo,,MMR007002,mm:region:bago,2,,
mm:district:pyay,MM,district,Pyay,,MMR008001,mm:region:bago,2,,
mm:district:thayarwady,MM,district,Thayarwady,,MMR008002,mm:region:bago,2,,
mm:district:magway,MM,district,Magway,,MMR009001,mm:region:magway,2,,
mm:district:minbu,MM,district,Minbu,,MMR009002,mm:region:magway,2,,
mm:district:thayet,MM,district,Thayet,,MMR009003,mm:region:magway,2,,
mm:district:pakokku,MM,district,Pakokku,,MMR009004,mm:region:magway,2,,
mm:district:gangaw,MM,district,Gangaw,,MMR009005,mm:region:magway,2,,
mm:district:mandalay,MM,district,Mandalay,,MMR010001,mm:region:mandalay,2,,
mm:district:pyinoolwin,MM,district,Pyinoolwin,,MMR010002,mm:region:mandalay,2,,
mm:district:kyaukse,MM,district,Kyaukse,,MMR010003,mm:region:mandalay,2,,
mm:district:myingyan,MM,district,Myingyan,,MMR010004,mm:region:mandalay,2,,
mm:district:nyaung-u,MM,district,Nyaung-U,,MMR010005,mm:region:mandalay,2,,
mm:district:yamethin,MM,district,Yamethin,,MMR010006,mm:region:mandalay,2,,
mm:district:meiktila,MM,district,Meiktila,,MMR010007,mm:region:mandalay,2,,
mm:district:mawlamyine,MM,district,Mawlamyine,,MMR011001,mm:state:mon,2,,
mm:district:thaton,MM,district,Thaton,,MMR011002,mm:state:mon,2,,
mm:district:sittwe,MM,district,Sittwe,,MMR012001,mm:state:rakhine,2,,
mm:district:maungdaw,MM,district,Maungdaw,,MMR012002,mm:state:rakhine,2,,
mm:district:kyaukpyu,MM,district,Kyaukpyu,,MMR012003,mm:state:rakhine,2,,
mm:district:thandwe,MM,district,Thandwe,,MMR012004,mm:state:rakhine,2,,
mm:district:mrauk-u,MM,district,Mrauk-U,,MMR012005,mm:state:rakhine,2,,
mm:district:yangon-north,MM,district,Yangon (North),,MMR013001,mm:region:yangon,2,,
mm:district:yangon-east,MM,district,Yangon (East),,MMR013002,mm:region:yangon,2,,
mm:district:yangon-south,MM,district,Yangon (South),,MMR013003,mm:region:yangon,2,,
mm:district:yangon-west,MM,district,Yangon (West),,MMR013004,mm:region:yangon,2,,
mm:district:taunggyi,MM,district,Taunggyi,,MMR014001,mm:state:shan,2,,
mm:district:loilen,MM,district,Loilen,,MMR014002,mm:state:shan,2,,
mm:district:langkho,MM,district,Langkho,,MMR014003,mm:state:shan,2,,
mm:district:danu-self-administered-zone,MM,district,Danu Self-Administered Zone,,MMR014S001,mm:state:shan,2,,
mm:district:pa-o-self-administered-zone,MM,district,Pa-O Self-Administered Zone,,MMR014S002,mm:state:shan,2,,
mm:district:lashio,MM,district,Lashio,,MMR015001,mm:state:shan,2,,
mm:district:muse,MM,district,Muse,,MMR015002,mm:state:shan,2,,
mm:district:kyaukme,MM,district,Kyaukme,,MMR015003,mm:state:shan,2,,
mm:district:hopang,MM,district,Hopang,,MMR015006,mm:state:shan,2,,
mm:district:matman,MM,district,Matman,,MMR015007,mm:state:shan,2,,
mm:district:mongmit,MM,district,Mongmit,,MMR015008,mm:state:shan,2,,
mm:district:pa-laung-self-administered-zone,MM,district,Pa Laung Self-Administered Zone,,MMR015S001,mm:state:shan,2,,
mm:district:kokang-self-administered-zone,MM,district,Kokang Self-Administered Zone,,MMR015S002,mm:state:shan,2,,
mm:district:kengtung,MM,district,Kengtung,,MMR016001,mm:state:shan,2,,
mm:district:monghsat,MM,district,Monghsat,,MMR016002,mm:state:shan,2,,
mm:district:tachileik,MM,district,Tachileik,,MMR016003,mm:state:shan,2,,
mm:district:pathein,MM,district,Pathein,,MMR017001,mm:region:ayeyarwady,2,,
mm:district:hinthada,MM,district,Hinthada,,MMR017002,mm:region:ayeyarwady,2,,
mm:district:myaungmya,MM,district,Myaungmya,,MMR017003,mm:region:ayeyarwady,2,,
