source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
na:region:erongo,NA,region,Erongo,,ER,,1,,
na:region:hardap,NA,region,Hardap,,HA,,1,,
na:region:karas,NA,region,Karas,,KA,,1,,
na:region:kavango-east,NA,region,Kavango East,,KE,,1,,
na:region:kavango-west,NA,region,Kavango West,,KW,,1,,
na:region:khomas,NA,region,Khomas,,KH,,1,,
na:region:kunene,NA,region,Kunene,,KU,,1,,
na:region:ohangwena,NA,region,Ohangwena,,OW,,1,,
na:region:omaheke,NA,region,Omaheke,,OH,,1,,
na:region:omusati,NA,region,Omusati,,OS,,1,,
na:region:oshana,NA,region,Oshana,,ON,,1,,
na:region:oshikoto,NA,region,Oshikoto,,OT,,1,,
na:region:otjozondjupa,NA,region,Otjozondjupa,,OD,,1,,
na:region:zambezi,NA,region,Zambezi,,CA,,1,,
na:constituency:arandis,NA,constituency,Arandis,,,na:region:erongo,2,,
na:constituency:daures,NA,constituency,Dâures,,,na:region:erongo,2,,
na:constituency:karibib,NA,constituency,Karibib,,,na:region:erongo,2,,
na:constituency:omaruru,NA,constituency,Omaruru,,,na:region:erongo,2,,
na:constituency:swakopmund,NA,constituency,Swakopmund,,,na:region:erongo,2,,
na:constituency:walvis-bay-rural,NA,constituency,Walvis Bay Rural,,,na:region:erongo,2,,
na:constituency:walvis-bay-urban,NA,constituency,Walvis Bay Urban,,,na:region:erongo,2,,
na:constituency:aranos,NA,constituency,Aranos,,,na:region:hardap,2,,
na:constituency:daweb,NA,constituency,Daweb,,,na:region:hardap,2,,
na:constituency:gibeon,NA,constituency,Gibeon,,,na:region:hardap,2,,
na:constituency:mariental-rural,NA,constituency,Mariental Rural,,,na:region:hardap,2,,
na:constituency:mariental-urban,NA,constituency,Mariental Urban,,,na:region:hardap,2,,
na:constituency:rehoboth-rural,NA,constituency,Rehoboth Rural,,,na:region:hardap,2,,
na:constituency:rehoboth-urban-east,NA,constituency,Rehoboth Urban East,,,na:region:hardap,2,,
na:constituency:rehoboth-urban-west,NA,constituency,Rehoboth Urban West,,,na:region:hardap,2,,
na:constituency:mashare,NA,constituency,Mashare,,,na:region:kavango-east,2,,
na:constituency:mukwe,NA,constituency,Mukwe,,,na:region:kavango-east,2,,
na:constituency:ndiyona,NA,constituency,Ndiyona,,,na:region:kavango-east,2,,
na:constituency:ndonga-linena,NA,constituency,Ndonga Linena,,,na:region:kavango-east,2,,
na:constituency:rundu-rural,NA,constituency,Rundu Rural,,,na:region:kavango-east,2,,
na:constituency:rundu-urban,NA,constituency,Rundu Urban,,,na:region:kavango-east,2,,
na:constituency:kapako,NA,constituency,Kapako,,,na:region:kavango-west,2,,
na:constituency:mankumpi,NA,constituency,Mankumpi,,,na:region:kavango-west,2,,
na:constituency:mpungu,NA,constituency,Mpungu,,,na:region:kavango-west,2,,
na:constituency:musese,NA,constituency,Musese,,,na:region:kavango-west,2,,
na:constituency:ncamagoro,NA,constituency,Ncamagoro,,,na:region:kavango-west,2,,
na:constituency:ncuncuni,NA,constituency,Ncuncuni,,,na:region:kavango-west,2,,
na:constituency:nkurenkuru,NA,constituency,Nkurenkuru,,,na:region:kavango-west,2,,
