postcode,area_source_id,relationship_type,is_primary
10000,na:region:khomas,served_by,true
10001,na:region:khomas,served_by,true
10002,na:region:khomas,served_by,true
10003,na:region:khomas,served_by,true
10004,na:region:khomas,served_by,true
10005,na:region:khomas,served_by,true
10006,na:region:khomas,served_by,true
10007,na:region:khomas,served_by,true
10008,na:region:khomas,served_by,true
10009,na:region:khomas,served_by,true
10010,na:region:khomas,served_by,true
10011,na:region:khomas,served_by,true
10012,na:region:khomas,served_by,true
10013,na:region:khomas,served_by,true
10014,na:region:khomas,served_by,true
10015,na:region:khomas,served_by,true
10016,na:region:khomas,served_by,true
10017,na:region:khomas,served_by,true
10018,na:region:khomas,served_by,true
10019,na:region:khomas,served_by,true
10020,na:region:khomas,served_by,true
10021,na:region:khomas,served_by,true
10022,na:region:khomas,served_by,true
10023,na:region:khomas,served_by,true
10024,na:region:khomas,served_by,true
10025,na:region:khomas,served_by,true
10026,na:region:khomas,served_by,true
10027,na:region:khomas,served_by,true
10028,na:region:khomas,served_by,true
10029,na:region:khomas,served_by,true
10030,na:region:khomas,served_by,true
10031,na:region:khomas,served_by,true
10032,na:region:khomas,served_by,true
10033,na:region:khomas,served_by,true
10034,na:region:khomas,served_by,true
11001,na:region:omaheke,served_by,true
11002,na:region:omaheke,served_by,true
11003,na:region:omaheke,served_by,true
11004,na:region:omaheke,served_by,true
11005,na:region:omaheke,served_by,true
11006,na:region:omaheke,served_by,true
11007,na:region:omaheke,served_by,true
11008,na:region:omaheke,served_by,true
12001,na:region:otjozondjupa,served_by,true
12002,na:region:otjozondjupa,served_by,true
12003,na:region:otjozondjupa,served_by,true
12004,na:region:otjozondjupa,served_by,true
12005,na:region:otjozondjupa,served_by,true
12006,na:region:otjozondjupa,served_by,true
12007,na:region:otjozondjupa,served_by,true
12008,na:region:otjozondjupa,served_by,true
12009,na:region:otjozondjupa,served_by,true
12010,na:region:otjozondjupa,served_by,true
12011,na:region:otjozondjupa,served_by,true
12012,na:region:otjozondjupa,served_by,true
12013,na:region:otjozondjupa,served_by,true
13001,na:region:erongo,served_by,true
13002,na:region:erongo,served_by,true
13003,na:region:erongo,served_by,true
13004,na:region:erongo,served_by,true
13005,na:region:erongo,served_by,true
13006,na:region:erongo,served_by,true
13007,na:region:erongo,served_by,true
13008,na:region:erongo,served_by,true
13009,na:region:erongo,served_by,true
13010,na:region:erongo,served_by,true
13011,na:region:erongo,served_by,true
13012,na:region:erongo,served_by,true
13013,na:region:erongo,served_by,true
13014,na:region:erongo,served_by,true
13015,na:region:erongo,served_by,true
14001,na:region:oshikoto,served_by,true
14002,na:region:oshikoto,served_by,true
14003,na:region:oshikoto,served_by,true
14004,na:region:oshikoto,served_by,true
14005,na:region:oshikoto,served_by,true
14006,na:region:oshikoto,served_by,true
14007,na:region:oshikoto,served_by,true
14008,na:region:oshikoto,served_by,true
14009,na:region:oshikoto,served_by,true
14010,na:region:oshikoto,served_by,true
14011,na:region:oshikoto,served_by,true
15001,na:region:oshana,served_by,true
15002,na:region:oshana,served_by,true
15003,na:region:oshana,served_by,true
15004,na:region:oshana,served_by,true
15005,na:region:oshana,served_by,true
15006,na:region:oshana,served_by,true
16001,na:region:omusati,served_by,true
16002,na:region:omusati,served_by,true
16003,na:region:omusati,served_by,true
16004,na:region:omusati,served_by,true
16005,na:region:omusati,served_by,true
16006,na:region:omusati,served_by,true
16007,na:region:omusati,served_by,true
16008,na:region:omusati,served_by,true
16009,na:region:omusati,served_by,true
16010,na:region:omusati,served_by,true
17001,na:region:ohangwena,served_by,true
17002,na:region:ohangwena,served_by,true
17003,na:region:ohangwena,served_by,true
17004,na:region:ohangwena,served_by,true
17005,na:region:ohangwena,served_by,true
17006,na:region:ohangwena,served_by,true
17007,na:region:ohangwena,served_by,true
17008,na:region:ohangwena,served_by,true
17009,na:region:ohangwena,served_by,true
17010,na:region:ohangwena,served_by,true
18001,na:region:kavango-west,served_by,true
18002,na:region:kavango-west,served_by,true
19001,na:region:kavango-east,served_by,true
19002,na:region:kavango-east,served_by,true
20001,na:region:zambezi,served_by,true
20002,na:region:zambezi,served_by,true
20003,na:region:zambezi,served_by,true
20004,na:region:zambezi,served_by,true
20005,na:region:zambezi,served_by,true
21001,na:region:kunene,served_by,true
21002,na:region:kunene,served_by,true
21003,na:region:kunene,served_by,true
21004,na:region:kunene,served_by,true
21005,na:region:kunene,served_by,true
21006,na:region:kunene,served_by,true
22001,na:region:hardap,served_by,true
22002,na:region:hardap,served_by,true
22003,na:region:hardap,served_by,true
22004,na:region:hardap,served_by,true
22005,na:region:hardap,served_by,true
22006,na:region:hardap,served_by,true
22007,na:region:hardap,served_by,true
22008,na:region:hardap,served_by,true
22009,na:region:hardap,served_by,true
23001,na:region:karas,served_by,true
23002,na:region:karas,served_by,true
23003,na:region:karas,served_by,true
23004,na:region:karas,served_by,true
23005,na:region:karas,served_by,true
23006,na:region:karas,served_by,true
23007,na:region:karas,served_by,true
23008,na:region:karas,served_by,true
23009,na:region:karas,served_by,true
23010,na:region:karas,served_by,true
23011,na:region:karas,served_by,true
23012,na:region:karas,served_by,true
23013,na:region:karas,served_by,true
23014,na:region:karas,served_by,true
23015,na:region:karas,served_by,true
23016,na:region:karas,served_by,true
23017,na:region:karas,served_by,true
