source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
nr:district:aiwo,NR,district,Aiwo,,01,,1,,
nr:district:anabar,NR,district,Anabar,,02,,1,,
nr:district:anetan,NR,district,Anetan,,03,,1,,
nr:district:anibare,NR,district,Anibare,,04,,1,,
nr:district:baiti,NR,district,Baiti,,05,,1,,
nr:district:boe,NR,district,Boe,,06,,1,,
nr:district:buada,NR,district,Buada,,07,,1,,
nr:district:denigomodu,NR,district,Denigomodu,,08,,1,,
nr:district:ewa,NR,district,Ewa,,09,,1,,
nr:district:ijuw,NR,district,Ijuw,,10,,1,,
nr:district:meneng,NR,district,Meneng,,11,,1,,
nr:district:nibok,NR,district,Nibok,,12,,1,,
nr:district:uaboe,NR,district,Uaboe,,13,,1,,
nr:district:yaren,NR,district,Yaren,,14,,1,,
