source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
np:province:bagmati,NP,province,Bagmati,,P3,,1,,
np:province:gandaki,NP,province,Gandaki,,P4,,1,,
np:province:karnali,NP,province,Karnali,,P6,,1,,
np:province:koshi,NP,province,Koshi,,P1,,1,,
np:province:lumbini,NP,province,Lumbini,,P5,,1,,
np:province:madhesh,NP,province,Madhesh,,P2,,1,,
np:province:sudurpashchim,NP,province,Sudurpashchim,,P7,,1,,
np:district:bhojpur,NP,district,Bhojpur,,,np:province:koshi,2,,
np:district:dhankuta,NP,district,Dhankuta,,,np:province:koshi,2,,
np:district:ilam,NP,district,Ilam,,,np:province:koshi,2,,
np:district:jhapa,NP,district,Jhapa,,,np:province:koshi,2,,
np:district:khotang,NP,district,Khotang,,,np:province:koshi,2,,
np:district:morang,NP,district,Morang,,,np:province:koshi,2,,
np:district:okhaldhunga,NP,district,Okhaldhunga,,,np:province:koshi,2,,
np:district:panchthar,NP,district,Panchthar,,,np:province:koshi,2,,
np:district:sankhuwasabha,NP,district,Sankhuwasabha,,,np:province:koshi,2,,
np:district:solukhumbu,NP,district,Solukhumbu,,,np:province:koshi,2,,
np:district:sunsari,NP,district,Sunsari,,,np:province:koshi,2,,
np:district:taplejung,NP,district,Taplejung,,,np:province:koshi,2,,
np:district:tehrathum,NP,district,Tehrathum,,,np:province:koshi,2,,
np:district:udayapur,NP,district,Udayapur,,,np:province:koshi,2,,
np:district:parsa,NP,district,Parsa,,,np:province:madhesh,2,,
np:district:bara,NP,district,Bara,,,np:province:madhesh,2,,
np:district:rautahat,NP,district,Rautahat,,,np:province:madhesh,2,,
np:district:sarlahi,NP,district,Sarlahi,,,np:province:madhesh,2,,
np:district:dhanusha,NP,district,Dhanusha,,,np:province:madhesh,2,,
np:district:siraha,NP,district,Siraha,,,np:province:madhesh,2,,
np:district:mahottari,NP,district,Mahottari,,,np:province:madhesh,2,,
np:district:saptari,NP,district,Saptari,,,np:province:madhesh,2,,
np:district:sindhuli,NP,district,Sindhuli,,,np:province:bagmati,2,,
np:district:ramechhap,NP,district,Ramechhap,,,np:province:bagmati,2,,
np:district:dolakha,NP,district,Dolakha,,,np:province:bagmati,2,,
np:district:bhaktapur,NP,district,Bhaktapur,,,np:province:bagmati,2,,
np:district:dhading,NP,district,Dhading,,,np:province:bagmati,2,,
np:district:kathmandu,NP,district,Kathmandu,,,np:province:bagmati,2,,
np:district:kavrepalanchok,NP,district,Kavrepalanchok,,,np:province:bagmati,2,,
np:district:lalitpur,NP,district,Lalitpur,,,np:province:bagmati,2,,
np:district:nuwakot,NP,district,Nuwakot,,,np:province:bagmati,2,,
np:district:rasuwa,NP,district,Rasuwa,,,np:province:bagmati,2,,
np:district:sindhupalchok,NP,district,Sindhupalchok,,,np:province:bagmati,2,,
np:district:chitwan,NP,district,Chitwan,,,np:province:bagmati,2,,
np:district:makwanpur,NP,district,Makwanpur,,,np:province:bagmati,2,,
np:district:baglung,NP,district,Baglung,,,np:province:gandaki,2,,
np:district:gorkha,NP,district,Gorkha,,,np:province:gandaki,2,,
np:district:kaski,NP,district,Kaski,,,np:province:gandaki,2,,
np:district:lamjung,NP,district,Lamjung,,,np:province:gandaki,2,,
np:district:manang,NP,district,Manang,,,np:province:gandaki,2,,
np:district:mustang,NP,district,Mustang,,,np:province:gandaki,2,,
np:district:myagdi,NP,district,Myagdi,,,np:province:gandaki,2,,
np:district:nawalpur,NP,district,Nawalpur,,,np:province:gandaki,2,,
np:district:parbat,NP,district,Parbat,,,np:province:gandaki,2,,
np:district:syangja,NP,district,Syangja,,,np:province:gandaki,2,,
np:district:tanahun,NP,district,Tanahun,,,np:province:gandaki,2,,
np:district:kapilvastu,NP,district,Kapilvastu,,,np:province:lumbini,2,,
np:district:nawalparasi-west-of-bardaghat-susta,NP,district,Nawalparasi (West of Bardaghat Susta),,,np:province:lumbini,2,,
np:district:rupandehi,NP,district,Rupandehi,,,np:province:lumbini,2,,
np:district:arghakhanchi,NP,district,Arghakhanchi,,,np:province:lumbini,2,,
np:district:gulmi,NP,district,Gulmi,,,np:province:lumbini,2,,
np:district:palpa,NP,district,Palpa,,,np:province:lumbini,2,,
np:district:dang,NP,district,Dang,,,np:province:lumbini,2,,
np:district:pyuthan,NP,district,Pyuthan,,,np:province:lumbini,2,,
np:district:rolpa,NP,district,Rolpa,,,np:province:lumbini,2,,
np:district:eastern-rukum,NP,district,Eastern Rukum,,,np:province:lumbini,2,,
np:district:banke,NP,district,Banke,,,np:province:lumbini,2,,
np:district:bardiya,NP,district,Bardiya,,,np:province:lumbini,2,,
np:district:western-rukum,NP,district,Western Rukum,,,np:province:karnali,2,,
np:district:salyan,NP,district,Salyan,,,np:province:karnali,2,,
np:district:dolpa,NP,district,Dolpa,,,np:province:karnali,2,,
np:district:humla,NP,district,Humla,,,np:province:karnali,2,,
np:district:jumla,NP,district,Jumla,,,np:province:karnali,2,,
np:district:kalikot,NP,district,Kalikot,,,np:province:karnali,2,,
np:district:mugu,NP,district,Mugu,,,np:province:karnali,2,,
np:district:surkhet,NP,district,Surkhet,,,np:province:karnali,2,,
np:district:dailekh,NP,district,Dailekh,,,np:province:karnali,2,,
np:district:jajarkot,NP,district,Jajarkot,,,np:province:karnali,2,,
np:district:kailali,NP,district,Kailali,,,np:province:sudurpashchim,2,,
np:district:achham,NP,district,Achham,,,np:province:sudurpashchim,2,,
np:district:doti,NP,district,Doti,,,np:province:sudurpashchim,2,,
np:district:bajhang,NP,district,Bajhang,,,np:province:sudurpashchim,2,,
np:district:bajura,NP,district,Bajura,,,np:province:sudurpashchim,2,,
np:district:kanchanpur,NP,district,Kanchanpur,,,np:province:sudurpashchim,2,,
np:district:dadeldhura,NP,district,Dadeldhura,,,np:province:sudurpashchim,2,,
np:district:baitadi,NP,district,Baitadi,,,np:province:sudurpashchim,2,,
np:district:darchula,NP,district,Darchula,,,np:province:sudurpashchim,2,,
