country_code,code
NP,10101
NP,10102
NP,10103
NP,10104
NP,10105
NP,10106
NP,10107
NP,10108
NP,10109
NP,10201
NP,10202
NP,10203
NP,10204
NP,10205
NP,10206
NP,10207
NP,10208
NP,10209
NP,10210
NP,10301
NP,10302
NP,10303
NP,10304
NP,10305
NP,10306
NP,10307
NP,10308
NP,10401
NP,10402
NP,10403
NP,10404
NP,10405
NP,10406
NP,10407
NP,10408
NP,10501
NP,10502
NP,10503
NP,10504
NP,10505
NP,10506
NP,10507
NP,10508
NP,10509
NP,10510
NP,10601
NP,10602
NP,10603
NP,10604
NP,10605
NP,10606
NP,10607
NP,10608
NP,10609
NP,10701
NP,10702
NP,10703
NP,10704
NP,10705
NP,10706
NP,10707
NP,10801
NP,10802
NP,10803
NP,10804
NP,10805
NP,10806
NP,10901
NP,10902
NP,10903
NP,10904
NP,10905
NP,10906
NP,10907
NP,10908
NP,11001
NP,11002
NP,11003
NP,11004
NP,11005
NP,11006
NP,11007
NP,11008
NP,11009
NP,11010
NP,11101
NP,11102
NP,11103
NP,11104
NP,11105
NP,11106
NP,11107
NP,11108
NP,11109
NP,11110
NP,11111
NP,11112
NP,11113
NP,11114
NP,11115
NP,11201
NP,11202
NP,11203
NP,11204
NP,11205
NP,11206
NP,11207
NP,11208
NP,11209
NP,11210
NP,11211
NP,11212
NP,11213
NP,11214
NP,11215
NP,11216
NP,11217
NP,11301
NP,11302
NP,11303
NP,11304
NP,11305
NP,11306
NP,11307
NP,11308
NP,11309
NP,11310
NP,11311
NP,11312
NP,11401
NP,11402
NP,11403
NP,11404
NP,11405
NP,11406
NP,11407
NP,11408
NP,20101
NP,20102
NP,20103
NP,20104
NP,20105
NP,20106
NP,20107
NP,20108
NP,20109
NP,20110
NP,20111
NP,20112
NP,20113
NP,20114
NP,20115
NP,20116
NP,20117
NP,20118
NP,20201
NP,20202
NP,20203
NP,20204
NP,20205
NP,20206
NP,20207
NP,20208
NP,20209
NP,20210
NP,20211
NP,20212
NP,20213
NP,20214
NP,20215
NP,20216
NP,20217
NP,20301
NP,20302
NP,20303
NP,20304
NP,20305
NP,20306
NP,20307
NP,20308
NP,20309
NP,20310
NP,20311
NP,20312
NP,20313
NP,20314
NP,20315
NP,20316
NP,20317
NP,20318
NP,20401
NP,20402
NP,20403
NP,20404
NP,20405
NP,20406
NP,20407
NP,20408
NP,20409
NP,20410
NP,20411
NP,20412
NP,20413
NP,20414
NP,20415
NP,20501
NP,20502
NP,20503
NP,20504
NP,20505
NP,20506
NP,20507
NP,20508
NP,20509
NP,20510
NP,20511
NP,20512
NP,20513
NP,20514
NP,20515
NP,20516
NP,20517
NP,20518
NP,20519
NP,20520
NP,20601
NP,20602
NP,20603
NP,20604
NP,20605
NP,20606
NP,20607
NP,20608
NP,20609
NP,20610
NP,20611
NP,20612
NP,20613
NP,20614
NP,20615
NP,20616
NP,20617
NP,20618
NP,20701
NP,20702
NP,20703
NP,20704
NP,20705
NP,20706
NP,20707
NP,20708
NP,20709
NP,20710
NP,20711
NP,20712
NP,20713
NP,20714
NP,20715
NP,20716
NP,20801
NP,20802
NP,20803
NP,20804
NP,20805
NP,20806
NP,20807
NP,20808
NP,20809
NP,20810
NP,20811
NP,20812
NP,20813
NP,20814
NP,30101
NP,30102
NP,30103
NP,30104
NP,30105
NP,30106
NP,30107
NP,30108
NP,30109
NP,30201
NP,30202
NP,30203
NP,30204
NP,30205
NP,30206
NP,30207
NP,30208
NP,30209
NP,30210
NP,30211
NP,30212
NP,30301
NP,30302
NP,30303
NP,30304
NP,30305
NP,30401
NP,30402
NP,30403
NP,30404
NP,30405
NP,30406
NP,30407
NP,30408
NP,30409
NP,30410
NP,30411
NP,30412
NP,30413
NP,30501
NP,30502
NP,30503
NP,30504
NP,30505
NP,30506
NP,30507
NP,30508
NP,30509
NP,30510
NP,30511
NP,30512
NP,30601
NP,30602
NP,30603
NP,30604
NP,30605
NP,30606
NP,30607
NP,30608
NP,30609
NP,30610
NP,30611
NP,30701
NP,30702
NP,30703
NP,30704
NP,30801
NP,30802
NP,30803
NP,30804
NP,30805
NP,30806
NP,30901
NP,30902
NP,30903
NP,30904
NP,30905
NP,30906
NP,30907
NP,30908
NP,30909
NP,30910
NP,30911
NP,30912
NP,30913
NP,31001
NP,31002
NP,31003
NP,31004
NP,31005
NP,31006
NP,31007
NP,31008
NP,31101
NP,31102
NP,31103
NP,31104
NP,31105
NP,31106
NP,31107
NP,31108
NP,31109
NP,31201
NP,31202
NP,31203
NP,31204
NP,31205
NP,31206
NP,31207
NP,31208
NP,31209
NP,31210
NP,31301
NP,31302
NP,31303
NP,31304
NP,31305
NP,31306
