source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
nl:province:drenthe,NL,province,Drenthe,,DR,,1,,
nl:province:flevoland,NL,province,Flevoland,,FL,,1,,
nl:province:friesland,NL,province,Friesland,,FR,,1,,
nl:province:gelderland,NL,province,Gelderland,,GE,,1,,
nl:province:groningen,NL,province,Groningen,,GR,,1,,
nl:province:limburg,NL,province,Limburg,,LI,,1,,
nl:province:noord-brabant,NL,province,Noord-Brabant,,NB,,1,,
nl:province:noord-holland,NL,province,Noord-Holland,,NH,,1,,
nl:province:overijssel,NL,province,Overijssel,,OV,,1,,
nl:province:utrecht,NL,province,Utrecht,,UT,,1,,
nl:province:zeeland,NL,province,Zeeland,,ZE,,1,,
nl:province:zuid-holland,NL,province,Zuid-Holland,,ZH,,1,,
