source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
nz:region:auckland,NZ,region,Auckland,,AUK,,1,,
nz:region:bay-of-plenty,NZ,region,Bay of Plenty,,BOP,,1,,
nz:region:canterbury,NZ,region,Canterbury,,CAN,,1,,
nz:special_island_authority:chatham-islands,NZ,special_island_authority,Chatham Islands,,CIT,,1,,
nz:region:gisborne,NZ,region,Gisborne,,GIS,,1,,
nz:region:hawkes-bay,NZ,region,Hawke's Bay,,HKB,,1,,
nz:region:manawatu-whanganui,NZ,region,Manawatu-Whanganui,,MWT,,1,,
nz:region:marlborough,NZ,region,Marlborough,,MBH,,1,,
nz:region:nelson,NZ,region,Nelson,,NSN,,1,,
nz:region:northland,NZ,region,Northland,,NTL,,1,,
nz:region:otago,NZ,region,Otago,,OTA,,1,,
nz:region:southland,NZ,region,Southland,,STL,,1,,
nz:region:taranaki,NZ,region,Taranaki,,TKI,,1,,
nz:region:tasman,NZ,region,Tasman,,TAS,,1,,
nz:region:waikato,NZ,region,Waikato,,WKO,,1,,
nz:region:wellington,NZ,region,Wellington,,WGN,,1,,
nz:region:west-coast,NZ,region,West Coast,,WTC,,1,,
nz:district:far-north,NZ,district,Far North,,,nz:region:northland,2,,
nz:district:whangarei,NZ,district,Whangārei,,,nz:region:northland,2,,
nz:district:kaipara,NZ,district,Kaipara,,,nz:region:northland,2,,
nz:council:auckland,NZ,council,Auckland,,,nz:region:auckland,2,,
nz:district:thames-coromandel,NZ,district,Thames-Coromandel,,,nz:region:waikato,2,,
nz:district:hauraki,NZ,district,Hauraki,,,nz:region:waikato,2,,
nz:district:waikato,NZ,district,Waikato,,,nz:region:waikato,2,,
nz:district:matamata-piako,NZ,district,Matamata-Piako,,,nz:region:waikato,2,,
nz:city:hamilton,NZ,city,Hamilton,,,nz:region:waikato,2,,
nz:district:waipa,NZ,district,Waipā,,,nz:region:waikato,2,,
nz:district:otorohanga,NZ,district,Ōtorohanga,,,nz:region:waikato,2,,
nz:district:south-waikato,NZ,district,South Waikato,,,nz:region:waikato,2,,
nz:district:waitomo,NZ,district,Waitomo,,,nz:region:waikato,2,,
nz:district:taupo,NZ,district,Taupō,,,nz:region:waikato,2,,
nz:district:western-bay-of-plenty,NZ,district,Western Bay of Plenty,,,nz:region:bay-of-plenty,2,,
nz:city:tauranga,NZ,city,Tauranga,,,nz:region:bay-of-plenty,2,,
nz:district:rotorua,NZ,district,Rotorua,,,nz:region:bay-of-plenty,2,,
nz:district:whakatane,NZ,district,Whakatāne,,,nz:region:bay-of-plenty,2,,
nz:district:kawerau,NZ,district,Kawerau,,,nz:region:bay-of-plenty,2,,
nz:district:opotiki,NZ,district,Ōpōtiki,,,nz:region:bay-of-plenty,2,,
nz:district:gisborne,NZ,district,Gisborne,,,nz:region:gisborne,2,,
nz:district:wairoa,NZ,district,Wairoa,,,nz:region:hawkes-bay,2,,
nz:district:hastings,NZ,district,Hastings,,,nz:region:hawkes-bay,2,,
nz:city:napier,NZ,city,Napier,,,nz:region:hawkes-bay,2,,
nz:district:central-hawke-s-bay,NZ,district,Central Hawke's Bay,,,nz:region:hawkes-bay,2,,
nz:district:new-plymouth,NZ,district,New Plymouth,,,nz:region:taranaki,2,,
