source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
ni:department:boaco,NI,department,Boaco,,BO,,1,,
ni:department:carazo,NI,department,Carazo,,CA,,1,,
ni:department:chinandega,NI,department,Chinandega,,CI,,1,,
ni:department:chontales,NI,department,Chontales,,CO,,1,,
ni:department:esteli,NI,department,Estelí,,ES,,1,,
ni:department:granada,NI,department,Granada,,GR,,1,,
ni:department:jinotega,NI,department,Jinotega,,JI,,1,,
ni:department:leon,NI,department,León,,LE,,1,,
ni:department:madriz,NI,department,Madriz,,MD,,1,,
ni:department:managua,NI,department,Managua,,MN,,1,,
ni:department:masaya,NI,department,Masaya,,MS,,1,,
ni:department:matagalpa,NI,department,Matagalpa,,MT,,1,,
ni:autonomous_region:costa-caribe-norte,NI,autonomous_region,Costa Caribe Norte,,AN,,1,,
ni:department:nueva-segovia,NI,department,Nueva Segovia,,NS,,1,,
ni:department:rio-san-juan,NI,department,Río San Juan,,SJ,,1,,
ni:department:rivas,NI,department,Rivas,,RI,,1,,
ni:autonomous_region:costa-caribe-sur,NI,autonomous_region,Costa Caribe Sur,,AS,,1,,
ni:municipality:achuapa,NI,municipality,Achuapa,,,ni:department:leon,2,,
ni:municipality:acoyapa,NI,municipality,Acoyapa,,,ni:department:chontales,2,,
ni:municipality:altagracia,NI,municipality,Altagracia,,,ni:department:rivas,2,,
ni:municipality:belen,NI,municipality,Belén,,,ni:department:rivas,2,,
ni:municipality:bluefields,NI,municipality,Bluefields,,,ni:autonomous_region:costa-caribe-sur,2,,
ni:municipality:boaco,NI,municipality,Boaco,,,ni:department:boaco,2,,
ni:municipality:bonanza,NI,municipality,Bonanza,,,ni:autonomous_region:costa-caribe-norte,2,,
ni:municipality:buenos-aires,NI,municipality,Buenos Aires,,,ni:department:rivas,2,,
ni:municipality:camoapa,NI,municipality,Camoapa,,,ni:department:boaco,2,,
ni:municipality:cardenas,NI,municipality,Cárdenas,,,ni:department:rivas,2,,
ni:municipality:catarina,NI,municipality,Catarina,,,ni:department:masaya,2,,
ni:municipality:chichigalpa,NI,municipality,Chichigalpa,,,ni:department:chinandega,2,,
ni:municipality:chinandega,NI,municipality,Chinandega,,,ni:department:chinandega,2,,
ni:municipality:cinco-pinos,NI,municipality,Cinco Pinos,,,ni:department:chinandega,2,,
ni:municipality:ciudad-antigua,NI,municipality,Ciudad Antigua,,,ni:department:nueva-segovia,2,,
ni:municipality:ciudad-dario,NI,municipality,Ciudad Darío,,,ni:department:matagalpa,2,,
ni:municipality:ciudad-sandino,NI,municipality,Ciudad Sandino,,,ni:department:managua,2,,
ni:municipality:comalapa,NI,municipality,Comalapa,,,ni:department:chontales,2,,
ni:municipality:condega,NI,municipality,Condega,,,ni:department:esteli,2,,
ni:municipality:corinto,NI,municipality,Corinto,,,ni:department:chinandega,2,,
ni:municipality:corn-island,NI,municipality,Corn Island,,,ni:autonomous_region:costa-caribe-sur,2,,
ni:municipality:desembocadura-de-rio-grande,NI,municipality,Desembocadura de Río Grande,,,ni:autonomous_region:costa-caribe-sur,2,,
ni:municipality:dipilto,NI,municipality,Dipilto,,,ni:department:nueva-segovia,2,,
ni:municipality:diria,NI,municipality,Diriá,,,ni:department:granada,2,,
