source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
ne:region:agadez,NE,region,Agadez,,1,,1,,
ne:region:diffa,NE,region,Diffa,,2,,1,,
ne:region:dosso,NE,region,Dosso,,3,,1,,
ne:region:maradi,NE,region,Maradi,,4,,1,,
ne:urban_community:niamey,NE,urban_community,Niamey,,8,,1,,
ne:region:tahoua,NE,region,Tahoua,,5,,1,,
ne:region:tillaberi,NE,region,Tillabéri,,6,,1,,
ne:region:zinder,NE,region,Zinder,,7,,1,,
ne:department:aderbissina,NE,department,Aderbissina,,,ne:region:agadez,2,,
ne:department:arlit,NE,department,Arlit,,,ne:region:agadez,2,,
ne:department:bilma,NE,department,Bilma,,,ne:region:agadez,2,,
ne:department:iferouane,NE,department,Iferouane,,,ne:region:agadez,2,,
ne:department:in-gall,NE,department,In-Gall,,,ne:region:agadez,2,,
ne:department:tchirozerine,NE,department,Tchirozerine,,,ne:region:agadez,2,,
ne:department:bosso,NE,department,Bosso,,,ne:region:diffa,2,,
ne:department:diffa,NE,department,Diffa,,,ne:region:diffa,2,,
ne:department:goudoumaria,NE,department,Goudoumaria,,,ne:region:diffa,2,,
ne:department:maine-soroa,NE,department,Maine-soroa,,,ne:region:diffa,2,,
ne:department:n-gourti,NE,department,N'Gourti,,,ne:region:diffa,2,,
ne:department:n-guigmi,NE,department,N'guigmi,,,ne:region:diffa,2,,
ne:department:boboye,NE,department,Boboye,,,ne:region:dosso,2,,
ne:department:dioundiou,NE,department,Dioundiou,,,ne:region:dosso,2,,
ne:department:dogondoutchi,NE,department,Dogondoutchi,,,ne:region:dosso,2,,
ne:department:dosso,NE,department,Dosso,,,ne:region:dosso,2,,
ne:department:falmey,NE,department,Falmey,,,ne:region:dosso,2,,
ne:department:gaya,NE,department,Gaya,,,ne:region:dosso,2,,
ne:department:loga,NE,department,Loga,,,ne:region:dosso,2,,
ne:department:tibiri,NE,department,Tibiri,,,ne:region:dosso,2,,
ne:department:aguie,NE,department,Aguie,,,ne:region:maradi,2,,
ne:department:bermo,NE,department,Bermo,,,ne:region:maradi,2,,
ne:department:dakoro,NE,department,Dakoro,,,ne:region:maradi,2,,
ne:department:gazaoua,NE,department,Gazaoua,,,ne:region:maradi,2,,
ne:department:guidan-roumdji,NE,department,Guidan Roumdji,,,ne:region:maradi,2,,
ne:department:madarounfa,NE,department,Madarounfa,,,ne:region:maradi,2,,
ne:department:maradi-city,NE,department,Maradi City,,,ne:region:maradi,2,,
ne:department:mayahi,NE,department,Mayahi,,,ne:region:maradi,2,,
ne:department:tessaoua,NE,department,Tessaoua,,,ne:region:maradi,2,,
ne:department:abalak,NE,department,Abalak,,,ne:region:tahoua,2,,
ne:department:bagaroua,NE,department,Bagaroua,,,ne:region:tahoua,2,,
ne:department:bkonni,NE,department,Bkonni,,,ne:region:tahoua,2,,
ne:department:bouza,NE,department,Bouza,,,ne:region:tahoua,2,,
ne:department:illela,NE,department,Illela,,,ne:region:tahoua,2,,
ne:department:keita,NE,department,Keita,,,ne:region:tahoua,2,,
