source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
kp:province:chagang,KP,province,Chagang,,04,,1,,
kp:metropolitan_city:kaesong,KP,metropolitan_city,Kaesong,,15,,1,,
kp:province:kangwon,KP,province,Kangwon,,07,,1,,
kp:metropolitan_city:nampho,KP,metropolitan_city,Nampho,,14,,1,,
kp:province:north-hamgyong,KP,province,North Hamgyong,,09,,1,,
kp:province:north-hwanghae,KP,province,North Hwanghae,,06,,1,,
kp:province:north-pyongan,KP,province,North Pyongan,,03,,1,,
kp:capital_city:pyongyang,KP,capital_city,Pyongyang,,01,,1,,
kp:special_city:rason,KP,special_city,Rason,,13,,1,,
kp:province:ryanggang,KP,province,Ryanggang,,10,,1,,
kp:province:south-hamgyong,KP,province,South Hamgyong,,08,,1,,
kp:province:south-hwanghae,KP,province,South Hwanghae,,05,,1,,
kp:province:south-pyongan,KP,province,South Pyongan,,02,,1,,
