postcode,area_source_id,relationship_type,is_primary
1000,mk:municipality:centar,served_by,true
1010,mk:municipality:cair,served_by,true
1011,mk:municipality:cucer-sandevo,served_by,true
1020,mk:municipality:karpos,served_by,true
1040,mk:municipality:gazi-baba,served_by,true
1041,mk:municipality:ilinden,served_by,true
1042,mk:municipality:ilinden,served_by,true
1043,mk:municipality:petrovec,served_by,true
1044,mk:municipality:petrovec,served_by,true
1045,mk:municipality:aracinovo,served_by,true
1047,mk:municipality:gazi-baba,served_by,true
1050,mk:municipality:kisela-voda,served_by,true
1051,mk:municipality:studenicani,served_by,true
1052,mk:municipality:studenicani,served_by,true
1053,mk:municipality:zelenikovo,served_by,true
1054,mk:municipality:sopiste,served_by,true
1060,mk:municipality:gjorce-petrov,served_by,true
1061,mk:municipality:cucer-sandevo,served_by,true
1062,mk:municipality:saraj,served_by,true
1063,mk:municipality:saraj,served_by,true
1064,mk:municipality:saraj,served_by,true
1066,mk:municipality:saraj,served_by,true
1101,mk:municipality:centar,served_by,true
1103,mk:municipality:centar,served_by,true
1104,mk:municipality:kisela-voda,served_by,true
1105,mk:municipality:karpos,served_by,true
1106,mk:municipality:centar,served_by,true
1107,mk:municipality:aerodrom,served_by,true
1108,mk:municipality:gazi-baba,served_by,true
1109,mk:municipality:centar,served_by,true
1110,mk:municipality:karpos,served_by,true
1111,mk:municipality:centar,served_by,true
1112,mk:municipality:centar,served_by,true
1113,mk:municipality:gazi-baba,served_by,true
1114,mk:municipality:centar,served_by,true
1115,mk:municipality:butel,served_by,true
1116,mk:municipality:kisela-voda,served_by,true
1117,mk:municipality:cair,served_by,true
1118,mk:municipality:gazi-baba,served_by,true
1119,mk:municipality:karpos,served_by,true
1120,mk:municipality:kisela-voda,served_by,true
1121,mk:municipality:aerodrom,served_by,true
1122,mk:municipality:karpos,served_by,true
1123,mk:municipality:butel,served_by,true
1125,mk:municipality:centar,served_by,true
1126,mk:municipality:aerodrom,served_by,true
1128,mk:municipality:petrovec,served_by,true
1129,mk:municipality:kisela-voda,served_by,true
1130,mk:municipality:centar,served_by,true
1131,mk:municipality:centar,served_by,true
1132,mk:municipality:cair,served_by,true
1133,mk:municipality:gjorce-petrov,served_by,true
1134,mk:municipality:aerodrom,served_by,true
1136,mk:municipality:gazi-baba,served_by,true
1138,mk:municipality:suto-orizari,served_by,true
1139,mk:municipality:karpos,served_by,true
1140,mk:municipality:kisela-voda,served_by,true
1141,mk:municipality:gazi-baba,served_by,true
1142,mk:municipality:butel,served_by,true
1200,mk:municipality:tetovo,served_by,true
1201,mk:municipality:tetovo,served_by,true
1202,mk:municipality:tetovo,served_by,true
1203,mk:municipality:tearce,served_by,true
1204,mk:municipality:tearce,served_by,true
1206,mk:municipality:jegunovce,served_by,true
1207,mk:municipality:tetovo,served_by,true
1210,mk:municipality:bogovinje,served_by,true
1211,mk:municipality:tearce,served_by,true
1212,mk:municipality:tetovo,served_by,true
1213,mk:municipality:bogovinje,served_by,true
1214,mk:municipality:bogovinje,served_by,true
1215,mk:municipality:jegunovce,served_by,true
1216,mk:municipality:brvenica,served_by,true
1217,mk:municipality:tetovo,served_by,true
1218,mk:municipality:zelino,served_by,true
1219,mk:municipality:tetovo,served_by,true
1220,mk:municipality:bogovinje,served_by,true
1221,mk:municipality:bogovinje,served_by,true
1222,mk:municipality:tetovo,served_by,true
1223,mk:municipality:tetovo,served_by,true
1224,mk:municipality:tearce,served_by,true
1225,mk:municipality:jegunovce,served_by,true
1226,mk:municipality:zelino,served_by,true
1227,mk:municipality:brvenica,served_by,true
1228,mk:municipality:jegunovce,served_by,true
1229,mk:municipality:tetovo,served_by,true
1230,mk:municipality:gostivar,served_by,true
1231,mk:municipality:gostivar,served_by,true
1232,mk:municipality:gostivar,served_by,true
1233,mk:municipality:gostivar,served_by,true
1234,mk:municipality:gostivar,served_by,true
1235,mk:municipality:vrapciste,served_by,true
1236,mk:municipality:vrapciste,served_by,true
1237,mk:municipality:gostivar,served_by,true
1238,mk:municipality:vrapciste,served_by,true
1239,mk:municipality:gostivar,served_by,true
1240,mk:municipality:gostivar,served_by,true
1241,mk:municipality:vrapciste,served_by,true
1242,mk:municipality:vrapciste,served_by,true
1243,mk:municipality:gostivar,served_by,true
1250,mk:municipality:debar,served_by,true
1254,mk:municipality:mavrovo-and-rostusa,served_by,true
1255,mk:municipality:mavrovo-and-rostusa,served_by,true
