source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
no:county:agder,NO,county,Agder,,42,,1,,
no:county:akershus,NO,county,Akershus,,32,,1,,
no:county:buskerud,NO,county,Buskerud,,33,,1,,
no:county:finnmark,NO,county,Finnmark,,56,,1,,
no:county:innlandet,NO,county,Innlandet,,34,,1,,
no:arctic_region:jan-mayen,NO,arctic_region,Jan Mayen,,22,,1,,
no:county:mre-og-romsdal,NO,county,Møre og Romsdal,,15,,1,,
no:county:nordland,NO,county,Nordland,,18,,1,,
no:county:oslo,NO,county,Oslo,,03,,1,,
no:county:stfold,NO,county,Østfold,,31,,1,,
no:county:rogaland,NO,county,Rogaland,,11,,1,,
no:arctic_region:svalbard,NO,arctic_region,Svalbard,,21,,1,,
no:county:telemark,NO,county,Telemark,,40,,1,,
no:county:troms,NO,county,Troms,,55,,1,,
no:county:trndelag,NO,county,Trøndelag,,50,,1,,
no:county:vestfold,NO,county,Vestfold,,39,,1,,
no:county:vestland,NO,county,Vestland,,46,,1,,
no:municipality:oslo,NO,municipality,Oslo,,0301,no:county:oslo,2,,
no:municipality:eigersund,NO,municipality,Eigersund,,1101,no:county:rogaland,2,,
no:municipality:stavanger,NO,municipality,Stavanger,,1103,no:county:rogaland,2,,
no:municipality:haugesund,NO,municipality,Haugesund,,1106,no:county:rogaland,2,,
no:municipality:sandnes,NO,municipality,Sandnes,,1108,no:county:rogaland,2,,
no:municipality:sokndal,NO,municipality,Sokndal,,1111,no:county:rogaland,2,,
no:municipality:lund,NO,municipality,Lund,,1112,no:county:rogaland,2,,
no:municipality:bjerkreim,NO,municipality,Bjerkreim,,1114,no:county:rogaland,2,,
no:municipality:ha,NO,municipality,Hå,,1119,no:county:rogaland,2,,
no:municipality:klepp,NO,municipality,Klepp,,1120,no:county:rogaland,2,,
no:municipality:time,NO,municipality,Time,,1121,no:county:rogaland,2,,
no:municipality:gjesdal,NO,municipality,Gjesdal,,1122,no:county:rogaland,2,,
no:municipality:sola,NO,municipality,Sola,,1124,no:county:rogaland,2,,
no:municipality:randaberg,NO,municipality,Randaberg,,1127,no:county:rogaland,2,,
no:municipality:strand,NO,municipality,Strand,,1130,no:county:rogaland,2,,
no:municipality:hjelmeland,NO,municipality,Hjelmeland,,1133,no:county:rogaland,2,,
no:municipality:suldal,NO,municipality,Suldal,,1134,no:county:rogaland,2,,
no:municipality:sauda,NO,municipality,Sauda,,1135,no:county:rogaland,2,,
no:municipality:kvitsoy,NO,municipality,Kvitsøy,,1144,no:county:rogaland,2,,
no:municipality:bokn,NO,municipality,Bokn,,1145,no:county:rogaland,2,,
no:municipality:tysvaer,NO,municipality,Tysvær,,1146,no:county:rogaland,2,,
no:municipality:karmoy,NO,municipality,Karmøy,,1149,no:county:rogaland,2,,
no:municipality:utsira,NO,municipality,Utsira,,1151,no:county:rogaland,2,,
no:municipality:vindafjord,NO,municipality,Vindafjord,,1160,no:county:rogaland,2,,
no:municipality:kristiansund,NO,municipality,Kristiansund,,1505,no:county:mre-og-romsdal,2,,
no:municipality:molde,NO,municipality,Molde,,1506,no:county:mre-og-romsdal,2,,
no:municipality:alesund,NO,municipality,Ålesund,,1508,no:county:mre-og-romsdal,2,,
no:municipality:vanylven,NO,municipality,Vanylven,,1511,no:county:mre-og-romsdal,2,,
no:municipality:sande,NO,municipality,Sande,,1514,no:county:mre-og-romsdal,2,,
no:municipality:heroy,NO,municipality,Herøy,,1515,no:county:mre-og-romsdal,2,,
no:municipality:ulstein,NO,municipality,Ulstein,,1516,no:county:mre-og-romsdal,2,,
no:municipality:hareid,NO,municipality,Hareid,,1517,no:county:mre-og-romsdal,2,,
no:municipality:orsta,NO,municipality,Ørsta,,1520,no:county:mre-og-romsdal,2,,
no:municipality:stranda,NO,municipality,Stranda,,1525,no:county:mre-og-romsdal,2,,
no:municipality:sykkylven,NO,municipality,Sykkylven,,1528,no:county:mre-og-romsdal,2,,
no:municipality:sula,NO,municipality,Sula,,1531,no:county:mre-og-romsdal,2,,
no:municipality:giske,NO,municipality,Giske,,1532,no:county:mre-og-romsdal,2,,
no:municipality:vestnes,NO,municipality,Vestnes,,1535,no:county:mre-og-romsdal,2,,
no:municipality:rauma,NO,municipality,Rauma,,1539,no:county:mre-og-romsdal,2,,
no:municipality:aukra,NO,municipality,Aukra,,1547,no:county:mre-og-romsdal,2,,
no:municipality:averoy,NO,municipality,Averøy,,1554,no:county:mre-og-romsdal,2,,
no:municipality:gjemnes,NO,municipality,Gjemnes,,1557,no:county:mre-og-romsdal,2,,
no:municipality:tingvoll,NO,municipality,Tingvoll,,1560,no:county:mre-og-romsdal,2,,
no:municipality:sunndal,NO,municipality,Sunndal,,1563,no:county:mre-og-romsdal,2,,
no:municipality:surnadal,NO,municipality,Surnadal,,1566,no:county:mre-og-romsdal,2,,
no:municipality:smola,NO,municipality,Smøla,,1573,no:county:mre-og-romsdal,2,,
no:municipality:aure,NO,municipality,Aure,,1576,no:county:mre-og-romsdal,2,,
no:municipality:volda,NO,municipality,Volda,,1577,no:county:mre-og-romsdal,2,,
no:municipality:fjord,NO,municipality,Fjord,,1578,no:county:mre-og-romsdal,2,,
no:municipality:hustadvika,NO,municipality,Hustadvika,,1579,no:county:mre-og-romsdal,2,,
no:municipality:haram,NO,municipality,Haram,,1580,no:county:mre-og-romsdal,2,,
no:municipality:bodo,NO,municipality,Bodø,,1804,no:county:nordland,2,,
no:municipality:narvik,NO,municipality,Narvik,,1806,no:county:nordland,2,,
no:municipality:bindal,NO,municipality,Bindal,,1811,no:county:nordland,2,,
no:municipality:somna,NO,municipality,Sømna,,1812,no:county:nordland,2,,
no:municipality:bronnoy,NO,municipality,Brønnøy,,1813,no:county:nordland,2,,
no:municipality:vega,NO,municipality,Vega,,1815,no:county:nordland,2,,
no:municipality:vevelstad,NO,municipality,Vevelstad,,1816,no:county:nordland,2,,
no:municipality:nordland:heroy,NO,municipality,Herøy,,1818,no:county:nordland,2,,
no:municipality:alstahaug,NO,municipality,Alstahaug,,1820,no:county:nordland,2,,
no:municipality:leirfjord,NO,municipality,Leirfjord,,1822,no:county:nordland,2,,
no:municipality:vefsn,NO,municipality,Vefsn,,1824,no:county:nordland,2,,
