postcode,area_source_id,relationship_type,is_primary
P100,ps:governorate:jerusalem-quds,served_by,true
P101,ps:governorate:jerusalem-quds,served_by,true
P102,ps:governorate:jerusalem-quds,served_by,true
P103,ps:governorate:jerusalem-quds,served_by,true
P104,ps:governorate:jerusalem-quds,served_by,true
P107,ps:governorate:jerusalem-quds,served_by,true
P108,ps:governorate:jerusalem-quds,served_by,true
P109,ps:governorate:jerusalem-quds,served_by,true
P110,ps:governorate:jerusalem-quds,served_by,true
P111,ps:governorate:jerusalem-quds,served_by,true
P112,ps:governorate:jerusalem-quds,served_by,true
P113,ps:governorate:jerusalem-quds,served_by,true
P114,ps:governorate:jerusalem-quds,served_by,true
P115,ps:governorate:jerusalem-quds,served_by,true
P116,ps:governorate:jerusalem-quds,served_by,true
P117,ps:governorate:jerusalem-quds,served_by,true
P118,ps:governorate:jerusalem-quds,served_by,true
P119,ps:governorate:jerusalem-quds,served_by,true
P120,ps:governorate:jerusalem-quds,served_by,true
P121,ps:governorate:jerusalem-quds,served_by,true
P122,ps:governorate:jerusalem-quds,served_by,true
P123,ps:governorate:jerusalem-quds,served_by,true
P124,ps:governorate:jerusalem-quds,served_by,true
P125,ps:governorate:jerusalem-quds,served_by,true
P126,ps:governorate:jerusalem-quds,served_by,true
P127,ps:governorate:jerusalem-quds,served_by,true
P128,ps:governorate:jerusalem-quds,served_by,true
P129,ps:governorate:jerusalem-quds,served_by,true
P130,ps:governorate:jerusalem-quds,served_by,true
P131,ps:governorate:jerusalem-quds,served_by,true
P133,ps:governorate:jerusalem-quds,served_by,true
P134,ps:governorate:jerusalem-quds,served_by,true
P135,ps:governorate:jerusalem-quds,served_by,true
P137,ps:governorate:jerusalem-quds,served_by,true
P139,ps:governorate:jerusalem-quds,served_by,true
P140,ps:governorate:jerusalem-quds,served_by,true
P144,ps:governorate:jerusalem-quds,served_by,true
P145,ps:governorate:jerusalem-quds,served_by,true
P146,ps:governorate:jerusalem-quds,served_by,true
P147,ps:governorate:jerusalem-quds,served_by,true
P148,ps:governorate:jerusalem-quds,served_by,true
P149,ps:governorate:jerusalem-quds,served_by,true
P150,ps:governorate:bethlehem,served_by,true
P151,ps:governorate:bethlehem,served_by,true
P152,ps:governorate:bethlehem,served_by,true
P153,ps:governorate:bethlehem,served_by,true
P154,ps:governorate:bethlehem,served_by,true
P156,ps:governorate:bethlehem,served_by,true
P157,ps:governorate:bethlehem,served_by,true
P158,ps:governorate:bethlehem,served_by,true
P159,ps:governorate:bethlehem,served_by,true
P160,ps:governorate:bethlehem,served_by,true
P161,ps:governorate:bethlehem,served_by,true
P162,ps:governorate:bethlehem,served_by,true
P163,ps:governorate:bethlehem,served_by,true
P164,ps:governorate:bethlehem,served_by,true
P165,ps:governorate:bethlehem,served_by,true
P167,ps:governorate:bethlehem,served_by,true
P169,ps:governorate:bethlehem,served_by,true
P170,ps:governorate:bethlehem,served_by,true
P172,ps:governorate:bethlehem,served_by,true
P173,ps:governorate:bethlehem,served_by,true
P174,ps:governorate:bethlehem,served_by,true
P175,ps:governorate:bethlehem,served_by,true
P176,ps:governorate:bethlehem,served_by,true
P178,ps:governorate:bethlehem,served_by,true
P179,ps:governorate:bethlehem,served_by,true
P180,ps:governorate:bethlehem,served_by,true
P181,ps:governorate:bethlehem,served_by,true
P182,ps:governorate:bethlehem,served_by,true
P183,ps:governorate:bethlehem,served_by,true
P184,ps:governorate:bethlehem,served_by,true
