source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
pa:province:bocas-del-toro,PA,province,Bocas del Toro,,1,,1,,
pa:province:chiriqui-province,PA,province,Chiriquí Province,,4,,1,,
pa:province:cocle,PA,province,Coclé,,2,,1,,
pa:province:colon,PA,province,Colón,,3,,1,,
pa:province:darien,PA,province,Darién,,5,,1,,
pa:indigenous_region:embera-wounaan-comarca,PA,indigenous_region,Emberá-Wounaan Comarca,,EM,,1,,
pa:indigenous_region:guna-yala,PA,indigenous_region,Guna Yala,,KY,,1,,
pa:province:herrera,PA,province,Herrera,,6,,1,,
pa:province:los-santos,PA,province,Los Santos,,7,,1,,
pa:indigenous_region:naso-tjer-di,PA,indigenous_region,Naso Tjër Di,,NT,,1,,
pa:indigenous_region:ngabe-bugle-comarca,PA,indigenous_region,Ngäbe-Buglé Comarca,,NB,,1,,
pa:province:panama,PA,province,Panamá,,8,,1,,
pa:province:panama-oeste,PA,province,Panamá Oeste,,10,,1,,
pa:province:veraguas,PA,province,Veraguas,,9,,1,,
pa:district:almirante,PA,district,Almirante,,,pa:province:bocas-del-toro,2,,
pa:district:bocas-del-toro,PA,district,Bocas del Toro,,,pa:province:bocas-del-toro,2,,
pa:district:changuinola,PA,district,Changuinola,,,pa:province:bocas-del-toro,2,,
pa:district:chiriqui-grande,PA,district,Chiriquí Grande,,,pa:province:bocas-del-toro,2,,
pa:district:alanje,PA,district,Alanje,,,pa:province:chiriqui-province,2,,
pa:district:baru,PA,district,Barú,,,pa:province:chiriqui-province,2,,
pa:district:boqueron,PA,district,Boquerón,,,pa:province:chiriqui-province,2,,
pa:district:boquete,PA,district,Boquete,,,pa:province:chiriqui-province,2,,
pa:district:bugaba,PA,district,Bugaba,,,pa:province:chiriqui-province,2,,
pa:district:david,PA,district,David,,,pa:province:chiriqui-province,2,,
pa:district:dolega,PA,district,Dolega,,,pa:province:chiriqui-province,2,,
pa:district:gualaca,PA,district,Gualaca,,,pa:province:chiriqui-province,2,,
pa:district:remedios,PA,district,Remedios,,,pa:province:chiriqui-province,2,,
pa:district:renacimiento,PA,district,Renacimiento,,,pa:province:chiriqui-province,2,,
pa:district:san-felix,PA,district,San Félix,,,pa:province:chiriqui-province,2,,
pa:district:san-lorenzo,PA,district,San Lorenzo,,,pa:province:chiriqui-province,2,,
pa:district:tole,PA,district,Tolé,,,pa:province:chiriqui-province,2,,
pa:district:tierras-altas,PA,district,Tierras Altas,,,pa:province:chiriqui-province,2,,
pa:district:aguadulce,PA,district,Aguadulce,,,pa:province:cocle,2,,
pa:district:anton,PA,district,Antón,,,pa:province:cocle,2,,
pa:district:la-pintada,PA,district,La Pintada,,,pa:province:cocle,2,,
pa:district:nata,PA,district,Natá,,,pa:province:cocle,2,,
pa:district:ola,PA,district,Olá,,,pa:province:cocle,2,,
pa:district:penonome,PA,district,Penonomé,,,pa:province:cocle,2,,
pa:district:colon,PA,district,Colón,,,pa:province:colon,2,,
pa:district:chagres,PA,district,Chagres,,,pa:province:colon,2,,
pa:district:donoso,PA,district,Donoso,,,pa:province:colon,2,,
pa:district:omar-torrijos-herrera,PA,district,Omar Torrijos Herrera,,,pa:province:colon,2,,
pa:district:portobelo,PA,district,Portobelo,,,pa:province:colon,2,,
pa:district:santa-isabel,PA,district,Santa Isabel,,,pa:province:colon,2,,
pa:district:chepigana,PA,district,Chepigana,,,pa:province:darien,2,,
pa:district:pinogana,PA,district,Pinogana,,,pa:province:darien,2,,
pa:district:santa-fe,PA,district,Santa Fe,,,pa:province:darien,2,,
pa:district:cemaco,PA,district,Cémaco,,,pa:indigenous_region:embera-wounaan-comarca,2,,
pa:district:sambu,PA,district,Sambú,,,pa:indigenous_region:embera-wounaan-comarca,2,,
pa:district:chitre,PA,district,Chitré,,,pa:province:herrera,2,,
pa:district:las-minas,PA,district,Las Minas,,,pa:province:herrera,2,,
pa:district:los-pozos,PA,district,Los Pozos,,,pa:province:herrera,2,,
pa:district:ocu,PA,district,Ocú,,,pa:province:herrera,2,,
pa:district:parita,PA,district,Parita,,,pa:province:herrera,2,,
pa:district:pese,PA,district,Pesé,,,pa:province:herrera,2,,
pa:district:santa-maria,PA,district,Santa María,,,pa:province:herrera,2,,
pa:district:guarare,PA,district,Guararé,,,pa:province:los-santos,2,,
pa:district:las-tablas,PA,district,Las Tablas,,,pa:province:los-santos,2,,
pa:district:los-santos,PA,district,Los Santos,,,pa:province:los-santos,2,,
pa:district:macaracas,PA,district,Macaracas,,,pa:province:los-santos,2,,
pa:district:pedasi,PA,district,Pedasí,,,pa:province:los-santos,2,,
pa:district:pocri,PA,district,Pocrí,,,pa:province:los-santos,2,,
pa:district:tonosi,PA,district,Tonosí,,,pa:province:los-santos,2,,
pa:district:besiko,PA,district,Besikó,,,pa:indigenous_region:ngabe-bugle-comarca,2,,
pa:district:jirondai,PA,district,Jirondai,,,pa:indigenous_region:ngabe-bugle-comarca,2,,
pa:district:kankintu,PA,district,Kankintú,,,pa:indigenous_region:ngabe-bugle-comarca,2,,
pa:district:kusapin,PA,district,Kusapín,,,pa:indigenous_region:ngabe-bugle-comarca,2,,
pa:district:mirono,PA,district,Mironó,,,pa:indigenous_region:ngabe-bugle-comarca,2,,
pa:district:muna,PA,district,Müna,,,pa:indigenous_region:ngabe-bugle-comarca,2,,
pa:district:nole-duima,PA,district,Nole Duima,,,pa:indigenous_region:ngabe-bugle-comarca,2,,
pa:district:nurum,PA,district,Ñürüm,,,pa:indigenous_region:ngabe-bugle-comarca,2,,
pa:district:santa-catalina-o-calovebora,PA,district,Santa Catalina o Calovébora,,,pa:indigenous_region:ngabe-bugle-comarca,2,,
pa:district:balboa,PA,district,Balboa,,,pa:province:panama,2,,
pa:district:chepo,PA,district,Chepo,,,pa:province:panama,2,,
pa:district:chiman,PA,district,Chimán,,,pa:province:panama,2,,
pa:district:panama,PA,district,Panamá,,,pa:province:panama,2,,
pa:district:san-miguelito,PA,district,San Miguelito,,,pa:province:panama,2,,
pa:district:taboga,PA,district,Taboga,,,pa:province:panama,2,,
pa:district:arraijan,PA,district,Arraiján,,,pa:province:panama-oeste,2,,
pa:district:capira,PA,district,Capira,,,pa:province:panama-oeste,2,,
pa:district:chame,PA,district,Chame,,,pa:province:panama-oeste,2,,
pa:district:la-chorrera,PA,district,La Chorrera,,,pa:province:panama-oeste,2,,
pa:district:san-carlos,PA,district,San Carlos,,,pa:province:panama-oeste,2,,
pa:district:atalaya,PA,district,Atalaya,,,pa:province:veraguas,2,,
pa:district:calobre,PA,district,Calobre,,,pa:province:veraguas,2,,
pa:district:canazas,PA,district,Cañazas,,,pa:province:veraguas,2,,
pa:district:la-mesa,PA,district,La Mesa,,,pa:province:veraguas,2,,
pa:district:las-palmas,PA,district,Las Palmas,,,pa:province:veraguas,2,,
pa:district:mariato,PA,district,Mariato,,,pa:province:veraguas,2,,
pa:district:montijo,PA,district,Montijo,,,pa:province:veraguas,2,,
pa:district:rio-de-jesus,PA,district,Río de Jesús,,,pa:province:veraguas,2,,
pa:district:san-francisco,PA,district,San Francisco,,,pa:province:veraguas,2,,
pa:district:veraguas:santa-fe,PA,district,Santa Fe,,,pa:province:veraguas,2,,
pa:district:santiago,PA,district,Santiago,,,pa:province:veraguas,2,,
pa:district:sona,PA,district,Soná,,,pa:province:veraguas,2,,
