source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
py:department:alto-paraguay,PY,department,Alto Paraguay,,16,,1,,
py:department:alto-parana,PY,department,Alto Paraná,,10,,1,,
py:department:amambay,PY,department,Amambay,,13,,1,,
py:capital_district:asuncion,PY,capital_district,Asunción,,ASU,,1,,
py:department:boqueron,PY,department,Boquerón,,19,,1,,
py:department:caaguazu,PY,department,Caaguazú,,5,,1,,
py:department:caazapa,PY,department,Caazapá,,6,,1,,
py:department:canindeyu,PY,department,Canindeyú,,14,,1,,
py:department:central,PY,department,Central,,11,,1,,
py:department:concepcion,PY,department,Concepción,,1,,1,,
py:department:cordillera,PY,department,Cordillera,,3,,1,,
py:department:guaira,PY,department,Guairá,,4,,1,,
py:department:itapua,PY,department,Itapúa,,7,,1,,
py:department:misiones,PY,department,Misiones,,8,,1,,
py:department:neembucu,PY,department,Ñeembucú,,12,,1,,
py:department:paraguari,PY,department,Paraguarí,,9,,1,,
py:department:presidente-hayes,PY,department,Presidente Hayes,,15,,1,,
py:department:san-pedro,PY,department,San Pedro,,2,,1,,
py:district:bahia-negra,PY,district,Bahía Negra,,,py:department:alto-paraguay,2,,
py:district:capitan-carmelo-peralta,PY,district,Capitán Carmelo Peralta,,,py:department:alto-paraguay,2,,
py:district:fuerte-olimpo,PY,district,Fuerte Olimpo,,,py:department:alto-paraguay,2,,
py:district:puerto-casado,PY,district,Puerto Casado,,,py:department:alto-paraguay,2,,
py:district:ciudad-del-este,PY,district,Ciudad del Este,,,py:department:alto-parana,2,,
py:district:doctor-juan-leon-mallorquin,PY,district,Doctor Juan León Mallorquín,,,py:department:alto-parana,2,,
py:district:doctor-raul-pena,PY,district,Doctor Raúl Peña,,,py:department:alto-parana,2,,
py:district:domingo-martinez-de-irala,PY,district,Domingo Martínez de Irala,,,py:department:alto-parana,2,,
py:district:hernandarias,PY,district,Hernandarias,,,py:department:alto-parana,2,,
py:district:iruna,PY,district,Iruña,,,py:department:alto-parana,2,,
py:district:itakyry,PY,district,Itakyry,,,py:department:alto-parana,2,,
py:district:juan-emiliano-o-leary,PY,district,Juan Emiliano O'Leary,,,py:department:alto-parana,2,,
py:district:los-cedrales,PY,district,Los Cedrales,,,py:department:alto-parana,2,,
py:district:mbaracayu,PY,district,Mbaracayú,,,py:department:alto-parana,2,,
py:district:minga-guazu,PY,district,Minga Guazú,,,py:department:alto-parana,2,,
py:district:minga-pora,PY,district,Minga Porá,,,py:department:alto-parana,2,,
py:district:naranjal,PY,district,Naranjal,,,py:department:alto-parana,2,,
py:district:nacunday,PY,district,Ñacunday,,,py:department:alto-parana,2,,
py:district:presidente-franco,PY,district,Presidente Franco,,,py:department:alto-parana,2,,
py:district:san-alberto,PY,district,San Alberto,,,py:department:alto-parana,2,,
py:district:san-cristobal,PY,district,San Cristóbal,,,py:department:alto-parana,2,,
py:district:santa-fe-del-parana,PY,district,Santa Fe del Paraná,,,py:department:alto-parana,2,,
py:district:santa-rita,PY,district,Santa Rita,,,py:department:alto-parana,2,,
py:district:santa-rosa-del-monday,PY,district,Santa Rosa del Monday,,,py:department:alto-parana,2,,
py:district:tavapy,PY,district,Tavapy,,,py:department:alto-parana,2,,
py:district:yguazu,PY,district,Yguazú,,,py:department:alto-parana,2,,
py:district:bella-vista-norte,PY,district,Bella Vista Norte,,,py:department:amambay,2,,
py:district:capitan-bado,PY,district,Capitán Bado,,,py:department:amambay,2,,
py:district:cerro-cora,PY,district,Cerro Corá,,,py:department:amambay,2,,
py:district:karapai,PY,district,Karapaí,,,py:department:amambay,2,,
py:district:pedro-juan-caballero,PY,district,Pedro Juan Caballero,,,py:department:amambay,2,,
py:district:zanja-pyta,PY,district,Zanja Pytá,,,py:department:amambay,2,,
py:district:asuncion,PY,district,Asunción,,,py:capital_district:asuncion,2,,
py:district:boqueron,PY,district,Boquerón,,,py:department:boqueron,2,,
py:district:filadelfia,PY,district,Filadelfia,,,py:department:boqueron,2,,
py:district:loma-plata,PY,district,Loma Plata,,,py:department:boqueron,2,,
py:district:mariscal-jose-felix-estigarribia,PY,district,Mariscal José Félix Estigarribia,,,py:department:boqueron,2,,
py:district:caaguazu,PY,district,Caaguazú,,,py:department:caaguazu,2,,
py:district:carayao,PY,district,Carayaó,,,py:department:caaguazu,2,,
py:district:coronel-oviedo,PY,district,Coronel Oviedo,,,py:department:caaguazu,2,,
py:district:doctor-cecilio-baez,PY,district,Doctor Cecilio Báez,,,py:department:caaguazu,2,,
py:district:doctor-juan-eulogio-estigarribia,PY,district,Doctor Juan Eulogio Estigarribia,,,py:department:caaguazu,2,,
py:district:doctor-juan-manuel-frutos,PY,district,Doctor Juan Manuel Frutos,,,py:department:caaguazu,2,,
py:district:jose-domingo-ocampos,PY,district,José Domingo Ocampos,,,py:department:caaguazu,2,,
py:district:la-pastora,PY,district,La Pastora,,,py:department:caaguazu,2,,
py:district:mariscal-francisco-solano-lopez,PY,district,Mariscal Francisco Solano López,,,py:department:caaguazu,2,,
