source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
pe:region:amazonas,PE,region,Amazonas,,AMA,,1,,
pe:region:ancash,PE,region,Áncash,,ANC,,1,,
pe:region:apurimac,PE,region,Apurímac,,APU,,1,,
pe:region:arequipa,PE,region,Arequipa,,ARE,,1,,
pe:region:ayacucho,PE,region,Ayacucho,,AYA,,1,,
pe:region:cajamarca,PE,region,Cajamarca,,CAJ,,1,,
pe:region:callao,PE,region,Callao,,CAL,,1,,
pe:region:cusco,PE,region,Cusco,,CUS,,1,,
pe:region:huanuco,PE,region,Huánuco,,HUC,,1,,
pe:region:huancavelica,PE,region,Huancavelica,,HUV,,1,,
pe:region:ica,PE,region,Ica,,ICA,,1,,
pe:region:junin,PE,region,Junín,,JUN,,1,,
pe:region:la-libertad,PE,region,La Libertad,,LAL,,1,,
pe:region:lambayeque,PE,region,Lambayeque,,LAM,,1,,
pe:region:lima,PE,region,Lima,,LIM,,1,,
pe:municipality:municipalidad-metropolitana-de-lima,PE,municipality,Municipalidad Metropolitana de Lima,,LMA,,1,,
pe:region:loreto,PE,region,Loreto,,LOR,,1,,
pe:region:madre-de-dios,PE,region,Madre de Dios,,MDD,,1,,
pe:region:moquegua,PE,region,Moquegua,,MOQ,,1,,
pe:region:pasco,PE,region,Pasco,,PAS,,1,,
pe:region:piura,PE,region,Piura,,PIU,,1,,
pe:region:puno,PE,region,Puno,,PUN,,1,,
pe:region:san-martin,PE,region,San Martín,,SAM,,1,,
pe:region:tacna,PE,region,Tacna,,TAC,,1,,
pe:region:tumbes,PE,region,Tumbes,,TUM,,1,,
pe:region:ucayali,PE,region,Ucayali,,UCA,,1,,
