source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
pl:voivodeship:lower-silesia,PL,voivodeship,Lower Silesia,,02,,1,,
pl:voivodeship:kuyavia-pomerania,PL,voivodeship,Kuyavia-Pomerania,,04,,1,,
pl:voivodeship:lublin,PL,voivodeship,Lublin,,06,,1,,
pl:voivodeship:lubusz,PL,voivodeship,Lubusz,,08,,1,,
pl:voivodeship:odz,PL,voivodeship,Łódź,,10,,1,,
pl:voivodeship:lesser-poland,PL,voivodeship,Lesser Poland,,12,,1,,
pl:voivodeship:mazovia,PL,voivodeship,Mazovia,,14,,1,,
pl:voivodeship:opole,PL,voivodeship,Opole,,16,,1,,
pl:voivodeship:subcarpathia,PL,voivodeship,Subcarpathia,,18,,1,,
pl:voivodeship:podlaskie,PL,voivodeship,Podlaskie,,20,,1,,
pl:voivodeship:pomerania,PL,voivodeship,Pomerania,,22,,1,,
pl:voivodeship:silesia,PL,voivodeship,Silesia,,24,,1,,
pl:voivodeship:holy-cross,PL,voivodeship,Holy Cross,,26,,1,,
pl:voivodeship:warmia-masuria,PL,voivodeship,Warmia-Masuria,,28,,1,,
pl:voivodeship:greater-poland,PL,voivodeship,Greater Poland,,30,,1,,
pl:voivodeship:west-pomerania,PL,voivodeship,West Pomerania,,32,,1,,
pl:land_county:powiat-aleksandrowski,PL,land_county,powiat aleksandrowski,,,pl:voivodeship:kuyavia-pomerania,2,,
pl:land_county:powiat-augustowski,PL,land_county,powiat augustowski,,,pl:voivodeship:podlaskie,2,,
pl:land_county:powiat-bartoszycki,PL,land_county,powiat bartoszycki,,,pl:voivodeship:warmia-masuria,2,,
pl:land_county:powiat-belchatowski,PL,land_county,powiat bełchatowski,,,pl:voivodeship:odz,2,,
pl:land_county:powiat-bedzinski,PL,land_county,powiat będziński,,,pl:voivodeship:silesia,2,,
pl:land_county:powiat-bialski,PL,land_county,powiat bialski,,,pl:voivodeship:lublin,2,,
pl:city_county:biala-podlaska,PL,city_county,Biała Podlaska,,,pl:voivodeship:lublin,2,,
pl:land_county:powiat-bialobrzeski,PL,land_county,powiat białobrzeski,,,pl:voivodeship:mazovia,2,,
pl:land_county:powiat-bialogardzki,PL,land_county,powiat białogardzki,,,pl:voivodeship:west-pomerania,2,,
pl:land_county:powiat-bialostocki,PL,land_county,powiat białostocki,,,pl:voivodeship:podlaskie,2,,
pl:city_county:bialystok,PL,city_county,Białystok,,,pl:voivodeship:podlaskie,2,,
pl:land_county:powiat-bielski,PL,land_county,powiat bielski,,,pl:voivodeship:podlaskie,2,,
pl:land_county:silesia:powiat-bielski,PL,land_county,powiat bielski,,,pl:voivodeship:silesia,2,,
pl:city_county:bielsko-biala,PL,city_county,Bielsko-Biała,,,pl:voivodeship:silesia,2,,
pl:land_county:powiat-bierunsko-ledzinski,PL,land_county,powiat bieruńsko-lędziński,,,pl:voivodeship:silesia,2,,
pl:land_county:powiat-bieszczadzki,PL,land_county,powiat bieszczadzki,,,pl:voivodeship:subcarpathia,2,,
pl:land_county:powiat-bilgorajski,PL,land_county,powiat biłgorajski,,,pl:voivodeship:lublin,2,,
pl:land_county:powiat-bochenski,PL,land_county,powiat bocheński,,,pl:voivodeship:lesser-poland,2,,
pl:land_county:powiat-boleslawiecki,PL,land_county,powiat bolesławiecki,,,pl:voivodeship:lower-silesia,2,,
pl:land_county:powiat-braniewski,PL,land_county,powiat braniewski,,,pl:voivodeship:warmia-masuria,2,,
pl:land_county:powiat-brodnicki,PL,land_county,powiat brodnicki,,,pl:voivodeship:kuyavia-pomerania,2,,
pl:land_county:powiat-brzeski,PL,land_county,powiat brzeski,,,pl:voivodeship:lesser-poland,2,,
pl:land_county:opole:powiat-brzeski,PL,land_county,powiat brzeski,,,pl:voivodeship:opole,2,,
pl:land_county:powiat-brzezinski,PL,land_county,powiat brzeziński,,,pl:voivodeship:odz,2,,
pl:land_county:powiat-brzozowski,PL,land_county,powiat brzozowski,,,pl:voivodeship:subcarpathia,2,,
pl:land_county:powiat-buski,PL,land_county,powiat buski,,,pl:voivodeship:holy-cross,2,,
pl:land_county:powiat-bydgoski,PL,land_county,powiat bydgoski,,,pl:voivodeship:kuyavia-pomerania,2,,
pl:city_county:bydgoszcz,PL,city_county,Bydgoszcz,,,pl:voivodeship:kuyavia-pomerania,2,,
pl:city_county:bytom,PL,city_county,Bytom,,,pl:voivodeship:silesia,2,,
pl:land_county:powiat-bytowski,PL,land_county,powiat bytowski,,,pl:voivodeship:pomerania,2,,
pl:city_county:chelm,PL,city_county,Chełm,,,pl:voivodeship:lublin,2,,
pl:land_county:powiat-chelminski,PL,land_county,powiat chełmiński,,,pl:voivodeship:kuyavia-pomerania,2,,
pl:land_county:powiat-chelmski,PL,land_county,powiat chełmski,,,pl:voivodeship:lublin,2,,
pl:land_county:powiat-chodzieski,PL,land_county,powiat chodzieski,,,pl:voivodeship:greater-poland,2,,
pl:land_county:powiat-chojnicki,PL,land_county,powiat chojnicki,,,pl:voivodeship:pomerania,2,,
