source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
pr:municipality:adjuntas,PR,municipality,Adjuntas,,001,,1,,
pr:municipality:aguada,PR,municipality,Aguada,,003,,1,,
pr:municipality:aguadilla,PR,municipality,Aguadilla,,005,,1,,
pr:municipality:aguas-buenas,PR,municipality,Aguas Buenas,,007,,1,,
pr:municipality:aibonito,PR,municipality,Aibonito,,009,,1,,
pr:municipality:anasco,PR,municipality,Añasco,,011,,1,,
pr:municipality:arecibo,PR,municipality,Arecibo,,013,,1,,
pr:municipality:arroyo,PR,municipality,Arroyo,,015,,1,,
pr:municipality:barceloneta,PR,municipality,Barceloneta,,017,,1,,
pr:municipality:barranquitas,PR,municipality,Barranquitas,,019,,1,,
pr:municipality:bayamon,PR,municipality,Bayamón,,021,,1,,
pr:municipality:cabo-rojo,PR,municipality,Cabo Rojo,,023,,1,,
pr:municipality:caguas,PR,municipality,Caguas,,025,,1,,
pr:municipality:camuy,PR,municipality,Camuy,,027,,1,,
pr:municipality:canovanas,PR,municipality,Canóvanas,,029,,1,,
pr:municipality:carolina,PR,municipality,Carolina,,031,,1,,
pr:municipality:catano,PR,municipality,Cataño,,033,,1,,
pr:municipality:cayey,PR,municipality,Cayey,,035,,1,,
pr:municipality:ceiba,PR,municipality,Ceiba,,037,,1,,
pr:municipality:ciales,PR,municipality,Ciales,,039,,1,,
pr:municipality:cidra,PR,municipality,Cidra,,041,,1,,
pr:municipality:coamo,PR,municipality,Coamo,,043,,1,,
pr:municipality:comerio,PR,municipality,Comerío,,045,,1,,
pr:municipality:corozal,PR,municipality,Corozal,,047,,1,,
pr:municipality:culebra,PR,municipality,Culebra,,049,,1,,
pr:municipality:dorado,PR,municipality,Dorado,,051,,1,,
pr:municipality:fajardo,PR,municipality,Fajardo,,053,,1,,
pr:municipality:florida,PR,municipality,Florida,,054,,1,,
pr:municipality:guanica,PR,municipality,Guánica,,055,,1,,
pr:municipality:guayama,PR,municipality,Guayama,,057,,1,,
pr:municipality:guayanilla,PR,municipality,Guayanilla,,059,,1,,
pr:municipality:guaynabo,PR,municipality,Guaynabo,,061,,1,,
pr:municipality:gurabo,PR,municipality,Gurabo,,063,,1,,
pr:municipality:hatillo,PR,municipality,Hatillo,,065,,1,,
pr:municipality:hormigueros,PR,municipality,Hormigueros,,067,,1,,
pr:municipality:humacao,PR,municipality,Humacao,,069,,1,,
pr:municipality:isabela,PR,municipality,Isabela,,071,,1,,
pr:municipality:jayuya,PR,municipality,Jayuya,,073,,1,,
pr:municipality:juana-diaz,PR,municipality,Juana Díaz,,075,,1,,
pr:municipality:juncos,PR,municipality,Juncos,,077,,1,,
pr:municipality:lajas,PR,municipality,Lajas,,079,,1,,
pr:municipality:lares,PR,municipality,Lares,,081,,1,,
pr:municipality:las-marias,PR,municipality,Las Marías,,083,,1,,
pr:municipality:las-piedras,PR,municipality,Las Piedras,,085,,1,,
pr:municipality:loiza,PR,municipality,Loíza,,087,,1,,
pr:municipality:luquillo,PR,municipality,Luquillo,,089,,1,,
pr:municipality:manati,PR,municipality,Manatí,,091,,1,,
pr:municipality:maricao,PR,municipality,Maricao,,093,,1,,
pr:municipality:maunabo,PR,municipality,Maunabo,,095,,1,,
pr:municipality:mayaguez,PR,municipality,Mayagüez,,097,,1,,
pr:municipality:moca,PR,municipality,Moca,,099,,1,,
pr:municipality:morovis,PR,municipality,Morovis,,101,,1,,
pr:municipality:naguabo,PR,municipality,Naguabo,,103,,1,,
pr:municipality:naranjito,PR,municipality,Naranjito,,105,,1,,
pr:municipality:orocovis,PR,municipality,Orocovis,,107,,1,,
pr:municipality:patillas,PR,municipality,Patillas,,109,,1,,
pr:municipality:penuelas,PR,municipality,Peñuelas,,111,,1,,
pr:municipality:ponce,PR,municipality,Ponce,,113,,1,,
pr:municipality:quebradillas,PR,municipality,Quebradillas,,115,,1,,
pr:municipality:rincon,PR,municipality,Rincón,,117,,1,,
pr:municipality:rio-grande,PR,municipality,Río Grande,,119,,1,,
pr:municipality:sabana-grande,PR,municipality,Sabana Grande,,121,,1,,
pr:municipality:salinas,PR,municipality,Salinas,,123,,1,,
pr:municipality:san-german,PR,municipality,San Germán,,125,,1,,
pr:municipality:san-juan,PR,municipality,San Juan,,127,,1,,
pr:municipality:san-lorenzo,PR,municipality,San Lorenzo,,129,,1,,
pr:municipality:san-sebastian,PR,municipality,San Sebastián,,131,,1,,
pr:municipality:santa-isabel,PR,municipality,Santa Isabel,,133,,1,,
pr:municipality:toa-alta,PR,municipality,Toa Alta,,135,,1,,
pr:municipality:toa-baja,PR,municipality,Toa Baja,,137,,1,,
pr:municipality:trujillo-alto,PR,municipality,Trujillo Alto,,139,,1,,
pr:municipality:utuado,PR,municipality,Utuado,,141,,1,,
pr:municipality:vega-alta,PR,municipality,Vega Alta,,143,,1,,
pr:municipality:vega-baja,PR,municipality,Vega Baja,,145,,1,,
pr:municipality:vieques,PR,municipality,Vieques,,147,,1,,
