postcode,area_source_id,relationship_type,is_primary
010011,ro:municipality:bucharest,served_by,true
010012,ro:municipality:bucharest,served_by,true
010013,ro:municipality:bucharest,served_by,true
010014,ro:municipality:bucharest,served_by,true
010015,ro:municipality:bucharest,served_by,true
010016,ro:municipality:bucharest,served_by,true
010017,ro:municipality:bucharest,served_by,true
010018,ro:municipality:bucharest,served_by,true
010019,ro:municipality:bucharest,served_by,true
010021,ro:municipality:bucharest,served_by,true
010022,ro:municipality:bucharest,served_by,true
010023,ro:municipality:bucharest,served_by,true
010024,ro:municipality:bucharest,served_by,true
010025,ro:municipality:bucharest,served_by,true
010026,ro:municipality:bucharest,served_by,true
010027,ro:municipality:bucharest,served_by,true
010028,ro:municipality:bucharest,served_by,true
010031,ro:municipality:bucharest,served_by,true
010032,ro:municipality:bucharest,served_by,true
010033,ro:municipality:bucharest,served_by,true
010034,ro:municipality:bucharest,served_by,true
010035,ro:municipality:bucharest,served_by,true
010036,ro:municipality:bucharest,served_by,true
010037,ro:municipality:bucharest,served_by,true
010038,ro:municipality:bucharest,served_by,true
010039,ro:municipality:bucharest,served_by,true
010041,ro:municipality:bucharest,served_by,true
010042,ro:municipality:bucharest,served_by,true
010043,ro:municipality:bucharest,served_by,true
010044,ro:municipality:bucharest,served_by,true
010045,ro:municipality:bucharest,served_by,true
010046,ro:municipality:bucharest,served_by,true
010051,ro:municipality:bucharest,served_by,true
010052,ro:municipality:bucharest,served_by,true
010053,ro:municipality:bucharest,served_by,true
010054,ro:municipality:bucharest,served_by,true
010055,ro:municipality:bucharest,served_by,true
010056,ro:municipality:bucharest,served_by,true
010061,ro:municipality:bucharest,served_by,true
010062,ro:municipality:bucharest,served_by,true
010063,ro:municipality:bucharest,served_by,true
010064,ro:municipality:bucharest,served_by,true
010065,ro:municipality:bucharest,served_by,true
010066,ro:municipality:bucharest,served_by,true
010067,ro:municipality:bucharest,served_by,true
010068,ro:municipality:bucharest,served_by,true
010069,ro:municipality:bucharest,served_by,true
010071,ro:municipality:bucharest,served_by,true
010072,ro:municipality:bucharest,served_by,true
010073,ro:municipality:bucharest,served_by,true
010074,ro:municipality:bucharest,served_by,true
010081,ro:municipality:bucharest,served_by,true
010082,ro:municipality:bucharest,served_by,true
010083,ro:municipality:bucharest,served_by,true
010084,ro:municipality:bucharest,served_by,true
010085,ro:municipality:bucharest,served_by,true
010086,ro:municipality:bucharest,served_by,true
010091,ro:municipality:bucharest,served_by,true
010092,ro:municipality:bucharest,served_by,true
010093,ro:municipality:bucharest,served_by,true
010094,ro:municipality:bucharest,served_by,true
010095,ro:municipality:bucharest,served_by,true
010096,ro:municipality:bucharest,served_by,true
010097,ro:municipality:bucharest,served_by,true
010098,ro:municipality:bucharest,served_by,true
010099,ro:municipality:bucharest,served_by,true
010101,ro:municipality:bucharest,served_by,true
010102,ro:municipality:bucharest,served_by,true
010103,ro:municipality:bucharest,served_by,true
010104,ro:municipality:bucharest,served_by,true
010105,ro:municipality:bucharest,served_by,true
010106,ro:municipality:bucharest,served_by,true
