source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
ru:republic:adygea,RU,republic,Adygea,,AD,,1,,
ru:republic:altai,RU,republic,Altai,,AL,,1,,
ru:krai:altai-krai,RU,krai,Altai Krai,,ALT,,1,,
ru:oblast:amur,RU,oblast,Amur,,AMU,,1,,
ru:oblast:arkhangelsk,RU,oblast,Arkhangelsk,,ARK,,1,,
ru:oblast:astrakhan,RU,oblast,Astrakhan,,AST,,1,,
ru:republic:bashkortostan,RU,republic,Bashkortostan,,BA,,1,,
ru:oblast:belgorod,RU,oblast,Belgorod,,BEL,,1,,
ru:oblast:bryansk,RU,oblast,Bryansk,,BRY,,1,,
ru:republic:buryatia,RU,republic,Buryatia,,BU,,1,,
ru:republic:chechnya,RU,republic,Chechnya,,CE,,1,,
ru:oblast:chelyabinsk,RU,oblast,Chelyabinsk,,CHE,,1,,
ru:okrug:chukotka-okrug,RU,okrug,Chukotka Okrug,,CHU,,1,,
ru:republic:chuvashia,RU,republic,Chuvashia,,CU,,1,,
ru:republic:dagestan,RU,republic,Dagestan,,DA,,1,,
ru:republic:ingushetia,RU,republic,Ingushetia,,IN,,1,,
ru:oblast:irkutsk,RU,oblast,Irkutsk,,IRK,,1,,
ru:oblast:ivanovo,RU,oblast,Ivanovo,,IVA,,1,,
ru:krai:kamchatka-krai,RU,krai,Kamchatka Krai,,KAM,,1,,
ru:republic:kabardino-balkaria,RU,republic,Kabardino-Balkaria,,KB,,1,,
ru:republic:karachay-cherkessia,RU,republic,Karachay-Cherkessia,,KC,,1,,
ru:krai:krasnodar-krai,RU,krai,Krasnodar Krai,,KDA,,1,,
ru:oblast:kemerovo,RU,oblast,Kemerovo,,KEM,,1,,
ru:oblast:kaliningrad,RU,oblast,Kaliningrad,,KGD,,1,,
ru:oblast:kurgan,RU,oblast,Kurgan,,KGN,,1,,
ru:krai:khabarovsk-krai,RU,krai,Khabarovsk Krai,,KHA,,1,,
ru:okrug:khanty-mansi-okrug,RU,okrug,Khanty-Mansi Okrug,,KHM,,1,,
ru:oblast:kirov,RU,oblast,Kirov,,KIR,,1,,
ru:republic:khakassia,RU,republic,Khakassia,,KK,,1,,
ru:republic:kalmykia,RU,republic,Kalmykia,,KL,,1,,
ru:oblast:kaluga,RU,oblast,Kaluga,,KLU,,1,,
ru:republic:komi,RU,republic,Komi,,KO,,1,,
ru:oblast:kostroma,RU,oblast,Kostroma,,KOS,,1,,
ru:republic:karelia,RU,republic,Karelia,,KR,,1,,
ru:oblast:kursk,RU,oblast,Kursk,,KRS,,1,,
ru:krai:krasnoyarsk-krai,RU,krai,Krasnoyarsk Krai,,KYA,,1,,
ru:oblast:leningrad,RU,oblast,Leningrad,,LEN,,1,,
ru:oblast:lipetsk,RU,oblast,Lipetsk,,LIP,,1,,
ru:oblast:magadan,RU,oblast,Magadan,,MAG,,1,,
ru:republic:mari-el,RU,republic,Mari El,,ME,,1,,
ru:republic:mordovia,RU,republic,Mordovia,,MO,,1,,
ru:oblast:moscow-oblast,RU,oblast,Moscow Oblast,,MOS,,1,,
ru:federal_city:moscow,RU,federal_city,Moscow,,MOW,,1,,
ru:oblast:murmansk,RU,oblast,Murmansk,,MUR,,1,,
ru:okrug:nenets-okrug,RU,okrug,Nenets Okrug,,NEN,,1,,
ru:oblast:novgorod,RU,oblast,Novgorod,,NGR,,1,,
ru:oblast:nizhny-novgorod,RU,oblast,Nizhny Novgorod,,NIZ,,1,,
ru:oblast:novosibirsk,RU,oblast,Novosibirsk,,NVS,,1,,
ru:oblast:omsk,RU,oblast,Omsk,,OMS,,1,,
ru:oblast:orenburg,RU,oblast,Orenburg,,ORE,,1,,
ru:oblast:oryol,RU,oblast,Oryol,,ORL,,1,,
ru:krai:perm-krai,RU,krai,Perm Krai,,PER,,1,,
ru:oblast:penza,RU,oblast,Penza,,PNZ,,1,,
ru:krai:primorsky-krai,RU,krai,Primorsky Krai,,PRI,,1,,
ru:oblast:pskov,RU,oblast,Pskov,,PSK,,1,,
ru:oblast:rostov,RU,oblast,Rostov,,ROS,,1,,
ru:oblast:ryazan,RU,oblast,Ryazan,,RYA,,1,,
ru:republic:sakha-yakutia,RU,republic,Sakha (Yakutia),,SA,,1,,
ru:oblast:sakhalin,RU,oblast,Sakhalin,,SAK,,1,,
ru:oblast:samara,RU,oblast,Samara,,SAM,,1,,
ru:oblast:saratov,RU,oblast,Saratov,,SAR,,1,,
ru:republic:north-ossetia-alania,RU,republic,North Ossetia-Alania,,SE,,1,,
ru:oblast:smolensk,RU,oblast,Smolensk,,SMO,,1,,
ru:federal_city:saint-petersburg,RU,federal_city,Saint Petersburg,,SPE,,1,,
ru:krai:stavropol-krai,RU,krai,Stavropol Krai,,STA,,1,,
ru:oblast:sverdlovsk,RU,oblast,Sverdlovsk,,SVE,,1,,
ru:republic:tatarstan,RU,republic,Tatarstan,,TA,,1,,
ru:oblast:tambov,RU,oblast,Tambov,,TAM,,1,,
ru:oblast:tomsk,RU,oblast,Tomsk,,TOM,,1,,
ru:oblast:tula,RU,oblast,Tula,,TUL,,1,,
ru:oblast:tver,RU,oblast,Tver,,TVE,,1,,
ru:republic:tuva,RU,republic,Tuva,,TY,,1,,
ru:oblast:tyumen,RU,oblast,Tyumen,,TYU,,1,,
ru:republic:udmurtia,RU,republic,Udmurtia,,UD,,1,,
ru:oblast:ulyanovsk,RU,oblast,Ulyanovsk,,ULY,,1,,
ru:oblast:volgograd,RU,oblast,Volgograd,,VGG,,1,,
ru:oblast:vladimir,RU,oblast,Vladimir,,VLA,,1,,
ru:oblast:vologda,RU,oblast,Vologda,,VLG,,1,,
ru:oblast:voronezh,RU,oblast,Voronezh,,VOR,,1,,
ru:okrug:yamalo-nenets-okrug,RU,okrug,Yamalo-Nenets Okrug,,YAN,,1,,
ru:oblast:yaroslavl,RU,oblast,Yaroslavl,,YAR,,1,,
ru:autonomous_oblast:jewish-autonomous-oblast,RU,autonomous_oblast,Jewish Autonomous Oblast,,YEV,,1,,
ru:krai:zabaykalsky-krai,RU,krai,Zabaykalsky Krai,,ZAB,,1,,
