source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
kn:state:nevis,KN,state,Nevis,,N,,1,,
kn:state:saint-kitts,KN,state,Saint Kitts,,K,,1,,
kn:parish:christ-church-nichola-town,KN,parish,Christ Church Nichola Town,,01,kn:state:saint-kitts,2,,
kn:parish:saint-anne-sandy-point,KN,parish,Saint Anne Sandy Point,,02,kn:state:saint-kitts,2,,
kn:parish:saint-george-basseterre,KN,parish,Saint George Basseterre,,03,kn:state:saint-kitts,2,,
kn:parish:saint-george-gingerland,KN,parish,Saint George Gingerland,,04,kn:state:nevis,2,,
kn:parish:saint-james-windward,KN,parish,Saint James Windward,,05,kn:state:nevis,2,,
kn:parish:saint-john-capisterre,KN,parish,Saint John Capisterre,,06,kn:state:saint-kitts,2,,
kn:parish:saint-john-figtree,KN,parish,Saint John Figtree,,07,kn:state:nevis,2,,
kn:parish:saint-mary-cayon,KN,parish,Saint Mary Cayon,,08,kn:state:saint-kitts,2,,
kn:parish:saint-paul-capisterre,KN,parish,Saint Paul Capisterre,,09,kn:state:saint-kitts,2,,
kn:parish:saint-paul-charlestown,KN,parish,Saint Paul Charlestown,,10,kn:state:nevis,2,,
kn:parish:saint-peter-basseterre,KN,parish,Saint Peter Basseterre,,11,kn:state:saint-kitts,2,,
kn:parish:saint-thomas-lowland,KN,parish,Saint Thomas Lowland,,12,kn:state:nevis,2,,
kn:parish:saint-thomas-middle-island,KN,parish,Saint Thomas Middle Island,,13,kn:state:saint-kitts,2,,
kn:parish:trinity-palmetto-point,KN,parish,Trinity Palmetto Point,,15,kn:state:saint-kitts,2,,
kn:village:nichola-town,KN,village,Nichola Town,,,kn:parish:christ-church-nichola-town,3,,
kn:village:bourryeux,KN,village,Bourryeux,,,kn:parish:christ-church-nichola-town,3,,
kn:village:lodge-village,KN,village,Lodge Village,,,kn:parish:christ-church-nichola-town,3,,
kn:village:mansion,KN,village,Mansion,,,kn:parish:christ-church-nichola-town,3,,
kn:village:molyneux,KN,village,Molyneux,,,kn:parish:christ-church-nichola-town,3,,
kn:village:phillips,KN,village,Phillips,,,kn:parish:christ-church-nichola-town,3,,
kn:village:sandy-point-town,KN,village,Sandy Point Town,,,kn:parish:saint-anne-sandy-point,3,,
kn:village:fig-tree,KN,village,Fig Tree,,,kn:parish:saint-anne-sandy-point,3,,
kn:village:la-vall-e,KN,village,La Vallée,,,kn:parish:saint-anne-sandy-point,3,,
kn:village:sir-gillees,KN,village,Sir Gillee's,,,kn:parish:saint-anne-sandy-point,3,,
kn:village:basseterre,KN,village,Basseterre,,,kn:parish:saint-george-basseterre,3,,
kn:village:frigate-bay,KN,village,Frigate Bay,,,kn:parish:saint-george-basseterre,3,,
kn:village:bird-rock,KN,village,Bird Rock,,,kn:parish:saint-george-basseterre,3,,
kn:village:harbour-view,KN,village,Harbour View,,,kn:parish:saint-george-basseterre,3,,
kn:village:saddlers,KN,village,Saddlers,,,kn:parish:saint-john-capisterre,3,,
kn:village:tabernacle,KN,village,Tabernacle,,,kn:parish:saint-john-capisterre,3,,
kn:village:dieppe-bay,KN,village,Dieppe Bay,,,kn:parish:saint-john-capisterre,3,,
kn:village:parsons,KN,village,Parsons,,,kn:parish:saint-john-capisterre,3,,
kn:village:pogson,KN,village,Pogson,,,kn:parish:saint-john-capisterre,3,,
kn:village:lynchs,KN,village,Lynch's,,,kn:parish:saint-john-capisterre,3,,
kn:village:harris,KN,village,Harris',,,kn:parish:saint-john-capisterre,3,,
