postcode,area_source_id,relationship_type,is_primary
KN0101,kn:parish:saint-george-basseterre,served_by,true
KN0102,kn:parish:saint-george-basseterre,served_by,true
KN0103,kn:parish:saint-george-basseterre,served_by,true
KN0104,kn:parish:saint-george-basseterre,served_by,true
KN0105,kn:parish:saint-george-basseterre,served_by,true
KN0106,kn:parish:saint-george-basseterre,served_by,true
KN0107,kn:parish:saint-peter-basseterre,served_by,true
KN0108,kn:parish:saint-peter-basseterre,served_by,true
KN0108,kn:parish:saint-george-basseterre,served_by,false
KN0109,kn:parish:saint-peter-basseterre,served_by,true
KN0110,kn:parish:saint-peter-basseterre,served_by,true
KN0111,kn:parish:saint-peter-basseterre,served_by,true
KN0111,kn:parish:saint-mary-cayon,served_by,false
KN0201,kn:parish:saint-thomas-middle-island,served_by,true
KN0202,kn:parish:trinity-palmetto-point,served_by,true
KN0202,kn:parish:saint-thomas-middle-island,served_by,false
KN0301,kn:parish:saint-anne-sandy-point,served_by,true
KN0302,kn:parish:saint-anne-sandy-point,served_by,true
KN0401,kn:parish:saint-paul-capisterre,served_by,true
KN0402,kn:parish:saint-john-capisterre,served_by,true
KN0403,kn:parish:saint-john-capisterre,served_by,true
KN0403,kn:parish:saint-paul-capisterre,served_by,false
KN0501,kn:parish:saint-john-capisterre,served_by,true
KN0501,kn:parish:christ-church-nichola-town,served_by,false
KN0601,kn:parish:christ-church-nichola-town,served_by,true
KN0602,kn:parish:saint-mary-cayon,served_by,true
KN0801,kn:parish:saint-paul-charlestown,served_by,true
KN0802,kn:parish:saint-paul-charlestown,served_by,true
KN0802,kn:parish:saint-john-figtree,served_by,false
KN0901,kn:parish:saint-john-figtree,served_by,true
KN0902,kn:parish:saint-john-figtree,served_by,true
KN1001,kn:parish:saint-george-gingerland,served_by,true
KN1002,kn:parish:saint-george-gingerland,served_by,true
KN1101,kn:parish:saint-james-windward,served_by,true
KN1102,kn:parish:saint-james-windward,served_by,true
KN1201,kn:parish:saint-thomas-lowland,served_by,true
KN1201,kn:parish:saint-paul-charlestown,served_by,false
KN1202,kn:parish:saint-thomas-lowland,served_by,true
KN7000,kn:parish:saint-george-basseterre,served_by,true
