country_code,code
LC,LC01 101
LC,LC01 201
LC,LC01 301
LC,LC01 401
LC,LC01 501
LC,LC02 101
LC,LC02 201
LC,LC02 301
LC,LC02 401
LC,LC02 501
LC,LC03 101
LC,LC03 201
LC,LC04 101
LC,LC04 201
LC,LC04 301
LC,LC04 401
LC,LC05 101
LC,LC05 201
LC,LC06 101
LC,LC06 201
LC,LC06 301
LC,LC06 401
LC,LC07 101
LC,LC07 201
LC,LC08 101
LC,LC08 301
LC,LC08 401
LC,LC08 501
LC,LC09 101
LC,LC09 201
LC,LC10 101
LC,LC10 201
LC,LC10 301
LC,LC11 101
LC,LC12 101
LC,LC12 201
LC,LC13 101
LC,LC14 101
LC,LC14 201
LC,LC15 101
LC,LC15 201
LC,LC16 101
LC,LC17 101
LC,LC17 201
LC,LC17 301
LC,LC17 401
LC,LC18 101
