postcode,area_source_id,relationship_type,is_primary
VC0110,vc:parish:saint-george,served_by,true
VC0120,vc:parish:saint-george,served_by,true
VC0130,vc:parish:saint-george,served_by,true
VC0150,vc:parish:saint-george,served_by,true
VC0160,vc:parish:saint-george,served_by,true
VC0170,vc:parish:saint-andrew,served_by,true
VC0200,vc:parish:charlotte,served_by,true
VC0202,vc:parish:charlotte,served_by,true
VC0204,vc:parish:charlotte,served_by,true
VC0206,vc:parish:charlotte,served_by,true
VC0210,vc:parish:charlotte,served_by,true
VC0212,vc:parish:charlotte,served_by,true
VC0214,vc:parish:charlotte,served_by,true
VC0216,vc:parish:charlotte,served_by,true
VC0218,vc:parish:charlotte,served_by,true
VC0220,vc:parish:charlotte,served_by,true
VC0250,vc:parish:charlotte,served_by,true
VC0252,vc:parish:charlotte,served_by,true
VC0254,vc:parish:charlotte,served_by,true
VC0256,vc:parish:charlotte,served_by,true
VC0258,vc:parish:charlotte,served_by,true
VC0260,vc:parish:charlotte,served_by,true
VC0262,vc:parish:charlotte,served_by,true
VC0264,vc:parish:saint-george,served_by,true
VC0266,vc:parish:saint-george,served_by,true
VC0270,vc:parish:saint-george,served_by,true
VC0272,vc:parish:saint-george,served_by,true
VC0274,vc:parish:saint-george,served_by,true
VC0280,vc:parish:saint-george,served_by,true
VC0282,vc:parish:saint-george,served_by,true
VC0284,vc:parish:saint-george,served_by,true
VC0290,vc:parish:saint-george,served_by,true
VC0294,vc:parish:charlotte,served_by,true
VC0300,vc:parish:saint-david,served_by,true
VC0302,vc:parish:saint-david,served_by,true
VC0310,vc:parish:saint-david,served_by,true
VC0312,vc:parish:saint-david,served_by,true
VC0314,vc:parish:saint-david,served_by,true
VC0316,vc:parish:saint-david,served_by,true
VC0318,vc:parish:saint-patrick,served_by,true
VC0350,vc:parish:saint-patrick,served_by,true
VC0360,vc:parish:saint-patrick,served_by,true
VC0370,vc:parish:saint-andrew,served_by,true
VC0372,vc:parish:saint-andrew,served_by,true
VC0374,vc:parish:saint-andrew,served_by,true
VC0376,vc:parish:saint-andrew,served_by,true
VC0378,vc:parish:saint-andrew,served_by,true
VC0380,vc:parish:saint-andrew,served_by,true
VC0390,vc:parish:saint-andrew,served_by,true
VC0400,vc:parish:grenadines,served_by,true
VC0402,vc:parish:grenadines,served_by,true
VC0410,vc:parish:grenadines,served_by,true
VC0450,vc:parish:grenadines,served_by,true
VC0460,vc:parish:grenadines,served_by,true
VC0470,vc:parish:grenadines,served_by,true
VC0472,vc:parish:grenadines,served_by,true
