country_code,code
VC,VC0110
VC,VC0120
VC,VC0130
VC,VC0150
VC,VC0160
VC,VC0170
VC,VC0200
VC,VC0202
VC,VC0204
VC,VC0206
VC,VC0210
VC,VC0212
VC,VC0214
VC,VC0216
VC,VC0218
VC,VC0220
VC,VC0250
VC,VC0252
VC,VC0254
VC,VC0256
VC,VC0258
VC,VC0260
VC,VC0262
VC,VC0264
VC,VC0266
VC,VC0270
VC,VC0272
VC,VC0274
VC,VC0280
VC,VC0282
VC,VC0284
VC,VC0290
VC,VC0294
VC,VC0300
VC,VC0302
VC,VC0310
VC,VC0312
VC,VC0314
VC,VC0316
VC,VC0318
VC,VC0350
VC,VC0360
VC,VC0370
VC,VC0372
VC,VC0374
VC,VC0376
VC,VC0378
VC,VC0380
VC,VC0390
VC,VC0400
VC,VC0402
VC,VC0410
VC,VC0450
VC,VC0460
VC,VC0470
VC,VC0472
