source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
ws:district:aana,WS,district,Aʻana,,AA,,1,,
ws:district:aiga-i-le-tai,WS,district,Aiga-i-le-Tai,,AL,,1,,
ws:district:atua,WS,district,Atua,,AT,,1,,
ws:district:faasaleleaga,WS,district,Faʻasaleleaga,,FA,,1,,
ws:district:gagaemauga,WS,district,Gagaʻemauga,,GE,,1,,
ws:district:gagaifomauga,WS,district,Gagaifomauga,,GI,,1,,
ws:district:palauli,WS,district,Palauli,,PA,,1,,
ws:district:satupaitea,WS,district,Satupaʻitea,,SA,,1,,
ws:district:tuamasaga,WS,district,Tuamasaga,,TU,,1,,
ws:district:vaa-o-fonoti,WS,district,Vaʻa-o-Fonoti,,VF,,1,,
ws:district:vaisigano,WS,district,Vaisigano,,VS,,1,,
