source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
sa:region:riyadh,SA,region,Riyadh,,01,,1,,
sa:region:makkah,SA,region,Makkah,,02,,1,,
sa:region:al-madinah,SA,region,Al Madinah,,03,,1,,
sa:region:eastern-province,SA,region,Eastern Province,,04,,1,,
sa:region:al-qassim,SA,region,Al-Qassim,,05,,1,,
sa:region:ha-il,SA,region,Ha'il,,06,,1,,
sa:region:tabuk,SA,region,Tabuk,,07,,1,,
sa:region:northern-borders,SA,region,Northern Borders,,08,,1,,
sa:region:jizan,SA,region,Jizan,,09,,1,,
sa:region:najran,SA,region,Najran,,10,,1,,
sa:region:al-bahah,SA,region,Al Bahah,,11,,1,,
sa:region:al-jawf,SA,region,Al Jawf,,12,,1,,
sa:region:asir,SA,region,Asir,,14,,1,,
sa:governorate:umluj,SA,governorate,Umluj,,,sa:region:tabuk,2,,
sa:governorate:al-wajh,SA,governorate,Al-Wajh,,,sa:region:tabuk,2,,
sa:governorate:duba,SA,governorate,Duba,,,sa:region:tabuk,2,,
sa:governorate:tayma,SA,governorate,Tayma,,,sa:region:tabuk,2,,
sa:governorate:haql,SA,governorate,Haql,,,sa:region:tabuk,2,,
sa:governorate:al-bad,SA,governorate,Al-Bad',,,sa:region:tabuk,2,,
sa:governorate:hait,SA,governorate,Hait,,,sa:region:ha-il,2,,
sa:governorate:baqaa,SA,governorate,Baqaa,,,sa:region:ha-il,2,,
sa:governorate:shanan,SA,governorate,Shanan,,,sa:region:ha-il,2,,
sa:governorate:shamli,SA,governorate,Shamli,,,sa:region:ha-il,2,,
sa:governorate:sumairah,SA,governorate,Sumairah,,,sa:region:ha-il,2,,
sa:governorate:sulaimi,SA,governorate,Sulaimi,,,sa:region:ha-il,2,,
sa:governorate:mawqaq,SA,governorate,Mawqaq,,,sa:region:ha-il,2,,
sa:governorate:ghazalah,SA,governorate,Ghazalah,,,sa:region:ha-il,2,,
sa:governorate:rafha,SA,governorate,Rafha,,,sa:region:northern-borders,2,,
sa:governorate:turaif,SA,governorate,Turaif,,,sa:region:northern-borders,2,,
sa:governorate:al-uwayqilah,SA,governorate,Al-Uwayqilah,,,sa:region:northern-borders,2,,
