source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
sn:region:dakar,SN,region,Dakar,,DK,,1,,
sn:region:diourbel,SN,region,Diourbel,,DB,,1,,
sn:region:fatick,SN,region,Fatick,,FK,,1,,
sn:region:kaffrine,SN,region,Kaffrine,,KA,,1,,
sn:region:kaolack,SN,region,Kaolack,,KL,,1,,
sn:region:kedougou,SN,region,Kédougou,,KE,,1,,
sn:region:kolda,SN,region,Kolda,,KD,,1,,
sn:region:louga,SN,region,Louga,,LG,,1,,
sn:region:matam,SN,region,Matam,,MT,,1,,
sn:region:saint-louis,SN,region,Saint-Louis,,SL,,1,,
sn:region:sedhiou,SN,region,Sédhiou,,SE,,1,,
sn:region:tambacounda,SN,region,Tambacounda,,TC,,1,,
sn:region:thies,SN,region,Thiès,,TH,,1,,
sn:region:ziguinchor,SN,region,Ziguinchor,,ZG,,1,,
sn:department:dakar,SN,department,Dakar,,,sn:region:dakar,2,,
sn:department:guediawaye,SN,department,Guédiawaye,,,sn:region:dakar,2,,
sn:department:keur-massar,SN,department,Keur Massar,,,sn:region:dakar,2,,
sn:department:pikine,SN,department,Pikine,,,sn:region:dakar,2,,
sn:department:rufisque,SN,department,Rufisque,,,sn:region:dakar,2,,
sn:department:bambey,SN,department,Bambey,,,sn:region:diourbel,2,,
sn:department:diourbel,SN,department,Diourbel,,,sn:region:diourbel,2,,
sn:department:mbacke,SN,department,Mbacké,,,sn:region:diourbel,2,,
sn:department:fatick,SN,department,Fatick,,,sn:region:fatick,2,,
sn:department:foundiougne,SN,department,Foundiougne,,,sn:region:fatick,2,,
sn:department:gossas,SN,department,Gossas,,,sn:region:fatick,2,,
sn:department:kaffrine,SN,department,Kaffrine,,,sn:region:kaffrine,2,,
sn:department:birkilane,SN,department,Birkilane,,,sn:region:kaffrine,2,,
sn:department:koungheul,SN,department,Koungheul,,,sn:region:kaffrine,2,,
sn:department:malem-hoddar,SN,department,Malem Hoddar,,,sn:region:kaffrine,2,,
sn:department:guinguineo,SN,department,Guinguinéo,,,sn:region:kaolack,2,,
sn:department:kaolack,SN,department,Kaolack,,,sn:region:kaolack,2,,
sn:department:nioro-du-rip,SN,department,Nioro du Rip,,,sn:region:kaolack,2,,
sn:department:kedougou,SN,department,Kédougou,,,sn:region:kedougou,2,,
sn:department:salemata,SN,department,Salémata,,,sn:region:kedougou,2,,
sn:department:saraya,SN,department,Saraya,,,sn:region:kedougou,2,,
sn:department:kolda,SN,department,Kolda,,,sn:region:kolda,2,,
sn:department:medina-yoro-foulah,SN,department,Médina Yoro Foulah,,,sn:region:kolda,2,,
sn:department:velingara,SN,department,Vélingara,,,sn:region:kolda,2,,
sn:department:kebemer,SN,department,Kébémer,,,sn:region:louga,2,,
sn:department:linguere,SN,department,Linguère,,,sn:region:louga,2,,
sn:department:louga,SN,department,Louga,,,sn:region:louga,2,,
sn:department:kanel,SN,department,Kanel,,,sn:region:matam,2,,
sn:department:matam,SN,department,Matam,,,sn:region:matam,2,,
sn:department:ranerou-ferlo,SN,department,Ranérou Ferlo,,,sn:region:matam,2,,
sn:department:podor,SN,department,Podor,,,sn:region:saint-louis,2,,
sn:department:saint-louis,SN,department,Saint-Louis,,,sn:region:saint-louis,2,,
sn:department:bounkiling,SN,department,Bounkiling,,,sn:region:sedhiou,2,,
sn:department:goudomp,SN,department,Goudomp,,,sn:region:sedhiou,2,,
sn:department:sedhiou,SN,department,Sédhiou,,,sn:region:sedhiou,2,,
sn:department:bakel,SN,department,Bakel,,,sn:region:tambacounda,2,,
sn:department:goudiry,SN,department,Goudiry,,,sn:region:tambacounda,2,,
sn:department:koumpentoum,SN,department,Koumpentoum,,,sn:region:tambacounda,2,,
sn:department:tambacounda,SN,department,Tambacounda,,,sn:region:tambacounda,2,,
sn:department:m-bour,SN,department,M'bour,,,sn:region:thies,2,,
sn:department:thies,SN,department,Thiès,,,sn:region:thies,2,,
sn:department:tivaouane,SN,department,Tivaouane,,,sn:region:thies,2,,
sn:department:bignona,SN,department,Bignona,,,sn:region:ziguinchor,2,,
sn:department:oussouye,SN,department,Oussouye,,,sn:region:ziguinchor,2,,
sn:department:ziguinchor,SN,department,Ziguinchor,,,sn:region:ziguinchor,2,,
sn:department:dagana,SN,department,Dagana,,,sn:region:saint-louis,2,,
