postcode,area_source_id,relationship_type,is_primary
10000,sn:department:dakar,served_by,true
10200,sn:department:dakar,served_by,true
10300,sn:department:dakar,served_by,true
10500,sn:department:dakar,served_by,true
10700,sn:department:dakar,served_by,true
11000,sn:department:dakar,served_by,true
11500,sn:department:dakar,served_by,true
11500,sn:department:pikine,served_by,false
12000,sn:department:dakar,served_by,true
12300,sn:department:dakar,served_by,true
12900,sn:department:dakar,served_by,true
13000,sn:department:dakar,served_by,true
13500,sn:department:dakar,served_by,true
14000,sn:department:dakar,served_by,true
15000,sn:department:guediawaye,served_by,true
16000,sn:department:pikine,served_by,true
16000,sn:department:dakar,served_by,false
16500,sn:department:pikine,served_by,true
17000,sn:department:pikine,served_by,true
17000,sn:department:keur-massar,served_by,false
20000,sn:department:rufisque,served_by,true
20012,sn:department:thies,served_by,true
20100,sn:department:rufisque,served_by,true
20400,sn:department:rufisque,served_by,true
20600,sn:department:thies,served_by,true
21000,sn:department:thies,served_by,true
21001,sn:department:thies,served_by,true
21001,sn:department:tivaouane,served_by,false
21200,sn:department:thies,served_by,true
21400,sn:department:bambey,served_by,true
21600,sn:department:diourbel,served_by,true
21800,sn:department:diourbel,served_by,true
22100,sn:department:mbacke,served_by,true
22100,sn:department:diourbel,served_by,false
22300,sn:department:mbacke,served_by,true
22600,sn:department:m-bour,served_by,true
23000,sn:department:m-bour,served_by,true
23002,sn:department:m-bour,served_by,true
23012,sn:department:m-bour,served_by,true
23015,sn:department:m-bour,served_by,true
23018,sn:department:fatick,served_by,true
23020,sn:department:foundiougne,served_by,true
23200,sn:department:m-bour,served_by,true
23200,sn:department:thies,served_by,false
23400,sn:department:fatick,served_by,true
23600,sn:department:fatick,served_by,true
23605,sn:department:fatick,served_by,true
23800,sn:department:kaolack,served_by,true
24000,sn:department:kaolack,served_by,true
24000,sn:department:guinguineo,served_by,false
24001,sn:department:kaolack,served_by,true
24006,sn:department:guinguineo,served_by,true
24008,sn:department:guinguineo,served_by,true
24010,sn:department:gossas,served_by,true
24012,sn:department:foundiougne,served_by,true
24014,sn:department:foundiougne,served_by,true
24016,sn:department:foundiougne,served_by,true
24018,sn:department:foundiougne,served_by,true
24018,sn:department:gossas,served_by,false
24020,sn:department:foundiougne,served_by,true
24022,sn:department:foundiougne,served_by,true
24025,sn:department:foundiougne,served_by,true
24025,sn:department:fatick,served_by,false
24027,sn:department:foundiougne,served_by,true
24030,sn:department:kaolack,served_by,true
24030,sn:department:nioro-du-rip,served_by,false
24032,sn:department:kaolack,served_by,true
24034,sn:department:kaolack,served_by,true
24200,sn:department:nioro-du-rip,served_by,true
24200,sn:department:kaolack,served_by,false
24400,sn:department:birkilane,served_by,true
24600,sn:department:kaffrine,served_by,true
24600,sn:department:malem-hoddar,served_by,false
24800,sn:department:malem-hoddar,served_by,true
25200,sn:department:koungheul,served_by,true
25400,sn:department:koumpentoum,served_by,true
25400,sn:department:tambacounda,served_by,false
25600,sn:department:tambacounda,served_by,true
25800,sn:department:tambacounda,served_by,true
26000,sn:department:tambacounda,served_by,true
26000,sn:department:goudiry,served_by,false
26002,sn:department:tambacounda,served_by,true
26005,sn:department:kedougou,served_by,true
26007,sn:department:salemata,served_by,true
26009,sn:department:saraya,served_by,true
26011,sn:department:saraya,served_by,true
26013,sn:department:kedougou,served_by,true
26015,sn:department:nioro-du-rip,served_by,true
26015,sn:department:velingara,served_by,false
26018,sn:department:goudiry,served_by,true
26018,sn:department:tambacounda,served_by,false
26020,sn:department:goudiry,served_by,true
26020,sn:department:bakel,served_by,false
26022,sn:department:bakel,served_by,true
26022,sn:department:goudiry,served_by,false
26024,sn:department:bakel,served_by,true
26500,sn:department:bakel,served_by,true
26502,sn:department:bakel,served_by,true
26504,sn:department:bakel,served_by,true
26506,sn:department:bakel,served_by,true
26508,sn:department:bakel,served_by,true
26510,sn:department:bakel,served_by,true
26512,sn:department:bakel,served_by,true
27000,sn:department:ziguinchor,served_by,true
27001,sn:department:ziguinchor,served_by,true
27005,sn:department:oussouye,served_by,true
27009,sn:department:oussouye,served_by,true
27009,sn:department:ziguinchor,served_by,false
27011,sn:department:ziguinchor,served_by,true
27013,sn:department:goudomp,served_by,true
27015,sn:department:goudomp,served_by,true
27017,sn:department:bignona,served_by,true
27019,sn:department:sedhiou,served_by,true
27022,sn:department:sedhiou,served_by,true
27022,sn:department:goudomp,served_by,false
27022,sn:department:bounkiling,served_by,false
27024,sn:department:bounkiling,served_by,true
27026,sn:department:sedhiou,served_by,true
27026,sn:department:goudomp,served_by,false
27200,sn:department:bignona,served_by,true
27200,sn:department:oussouye,served_by,false
27202,sn:department:bignona,served_by,true
27204,sn:department:bignona,served_by,true
27206,sn:department:bignona,served_by,true
27208,sn:department:bignona,served_by,true
27400,sn:department:kolda,served_by,true
27400,sn:department:medina-yoro-foulah,served_by,false
27400,sn:department:velingara,served_by,false
27402,sn:department:goudomp,served_by,true
27404,sn:department:velingara,served_by,true
27406,sn:department:velingara,served_by,true
27406,sn:department:kolda,served_by,false
30000,sn:department:tivaouane,served_by,true
30005,sn:department:tivaouane,served_by,true
30200,sn:department:tivaouane,served_by,true
30400,sn:department:tivaouane,served_by,true
30402,sn:department:tivaouane,served_by,true
30404,sn:department:tivaouane,served_by,true
30500,sn:department:tivaouane,served_by,true
30600,sn:department:kebemer,served_by,true
30600,sn:department:louga,served_by,false
30800,sn:department:kebemer,served_by,true
30802,sn:department:kebemer,served_by,true
30804,sn:department:kebemer,served_by,true
30806,sn:department:kebemer,served_by,true
30900,sn:department:kebemer,served_by,true
31000,sn:department:louga,served_by,true
31000,sn:department:kebemer,served_by,false
31009,sn:department:louga,served_by,true
31011,sn:department:linguere,served_by,true
31011,sn:department:kebemer,served_by,false
31013,sn:department:linguere,served_by,true
31020,sn:department:linguere,served_by,true
31022,sn:department:louga,served_by,true
31500,sn:department:louga,served_by,true
32000,sn:department:saint-louis,served_by,true
32200,sn:department:dagana,served_by,true
