country_code,code
RS,11000
RS,11010
RS,11011
RS,11030
RS,11031
RS,11032
RS,11040
RS,11050
RS,11051
RS,11052
RS,11060
RS,11061
RS,11070
RS,11071
RS,11072
RS,11073
RS,11075
RS,11076
RS,11077
RS,11078
RS,11080
RS,11084
RS,11090
RS,11091
RS,11092
RS,11093
RS,11101
RS,11102
RS,11103
RS,11104
RS,11105
RS,11106
RS,11107
RS,11108
RS,11109
RS,11110
RS,11111
RS,11112
RS,11113
RS,11114
RS,11115
RS,11116
RS,11117
RS,11118
RS,11119
RS,11120
RS,11121
RS,11122
RS,11123
RS,11124
RS,11125
RS,11126
RS,11127
RS,11129
RS,11130
RS,11131
RS,11133
RS,11134
RS,11135
RS,11136
RS,11137
RS,11138
RS,11139
RS,11140
RS,11141
RS,11142
RS,11143
RS,11144
RS,11145
RS,11146
RS,11147
RS,11148
RS,11149
RS,11150
RS,11151
RS,11152
RS,11154
RS,11156
RS,11158
RS,11159
RS,11160
RS,11161
RS,11162
RS,11163
RS,11164
RS,11165
RS,11166
RS,11167
RS,11168
RS,11169
RS,11170
RS,11172
RS,11173
RS,11174
RS,11175
RS,11176
RS,11177
RS,11178
RS,11179
RS,11182
RS,11183
RS,11184
RS,11185
RS,11186
RS,11187
RS,11188
RS,11189
RS,11190
RS,11191
RS,11192
RS,11193
RS,11194
RS,11195
RS,11196
RS,11198
RS,11199
RS,11210
RS,11211
RS,11212
RS,11213
RS,11214
RS,11215
RS,11221
RS,11222
RS,11223
RS,11224
RS,11225
RS,11226
RS,11231
RS,11232
RS,11233
RS,11234
RS,11235
RS,11236
RS,11250
RS,11251
RS,11252
RS,11253
RS,11254
RS,11255
RS,11260
RS,11261
RS,11262
RS,11271
RS,11272
RS,11273
RS,11275
RS,11276
RS,11277
RS,11278
RS,11279
RS,11280
RS,11281
RS,11282
RS,11283
RS,11300
RS,11306
RS,11307
RS,11308
RS,11309
RS,11310
RS,11311
RS,11312
RS,11313
RS,11314
RS,11315
RS,11316
RS,11317
RS,11318
RS,11319
RS,11320
RS,11321
RS,11322
RS,11323
RS,11324
RS,11325
RS,11328
RS,11329
RS,11351
RS,11400
RS,11405
RS,11406
RS,11407
RS,11408
RS,11409
RS,11411
RS,11412
RS,11413
RS,11414
RS,11415
RS,11420
RS,11423
RS,11425
RS,11426
RS,11427
RS,11430
RS,11431
RS,11432
RS,11433
RS,11450
RS,11453
RS,11454
RS,11460
RS,11461
RS,11462
RS,11467
RS,11500
RS,11504
RS,11505
RS,11506
RS,11507
RS,11508
RS,11509
RS,11550
RS,11560
RS,11561
RS,11562
RS,11563
RS,11564
RS,11565
RS,11566
RS,11567
RS,12000
RS,12206
RS,12207
RS,12208
RS,12209
RS,12220
RS,12221
RS,12222
RS,12223
RS,12224
RS,12226
RS,12227
RS,12229
RS,12230
RS,12240
RS,12242
RS,12253
RS,12254
RS,12255
RS,12256
RS,12257
RS,12258
RS,12300
RS,12304
RS,12305
RS,12306
RS,12307
RS,12308
RS,12309
RS,12311
RS,12312
RS,12313
RS,12315
RS,12316
RS,12317
RS,12318
RS,12320
RS,12321
RS,12322
RS,12370
RS,12372
RS,12373
RS,12374
RS,12375
RS,14000
RS,14104
RS,14106
RS,14201
RS,14202
RS,14203
RS,14204
RS,14205
RS,14206
RS,14207
RS,14210
RS,14211
RS,14212
RS,14213
RS,14214
RS,14221
RS,14222
RS,14223
RS,14224
RS,14225
RS,14226
RS,14240
RS,14242
RS,14243
RS,14244
RS,14245
RS,14246
RS,14251
RS,14252
RS,14253
RS,14254
RS,14255
RS,15000
RS,15211
RS,15212
RS,15213
RS,15214
RS,15215
RS,15220
RS,15221
RS,15222
RS,15224
RS,15225
RS,15226
RS,15227
RS,15232
RS,15233
RS,15234
RS,15235
RS,15300
RS,15302
RS,15303
RS,15304
RS,15305
RS,15306
