source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
sc:district:anse-boileau,SC,district,Anse Boileau,,02,,1,,
sc:district:anse-etoile,SC,district,Anse Etoile,,03,,1,,
sc:district:anse-royale,SC,district,Anse Royale,,05,,1,,
sc:district:anse-aux-pins,SC,district,Anse-aux-Pins,,01,,1,,
sc:district:au-cap,SC,district,Au Cap,,04,,1,,
sc:district:baie-lazare,SC,district,Baie Lazare,,06,,1,,
sc:district:baie-sainte-anne,SC,district,Baie Sainte Anne,,07,,1,,
sc:district:beau-vallon,SC,district,Beau Vallon,,08,,1,,
sc:district:bel-air,SC,district,Bel Air,,09,,1,,
sc:district:bel-ombre,SC,district,Bel Ombre,,10,,1,,
sc:district:cascade,SC,district,Cascade,,11,,1,,
sc:district:glacis,SC,district,Glacis,,12,,1,,
sc:district:grandanse-mahe,SC,district,Grand'Anse Mahé,,13,,1,,
sc:district:grandanse-praslin,SC,district,Grand'Anse Praslin,,14,,1,,
sc:district:ile-perseverance-i,SC,district,Ile Perseverance I,,26,,1,,
sc:district:ile-perseverance-ii,SC,district,Ile Perseverance II,,27,,1,,
sc:district:la-digue,SC,district,La Digue,,15,,1,,
sc:district:la-riviere-anglaise,SC,district,La Rivière Anglaise,,16,,1,,
sc:district:les-mamelles,SC,district,Les Mamelles,,24,,1,,
sc:district:mont-buxton,SC,district,Mont Buxton,,17,,1,,
sc:district:mont-fleuri,SC,district,Mont Fleuri,,18,,1,,
sc:district:plaisance,SC,district,Plaisance,,19,,1,,
sc:district:pointe-la-rue,SC,district,Pointe La Rue,,20,,1,,
sc:district:port-glaud,SC,district,Port Glaud,,21,,1,,
sc:district:roche-caiman,SC,district,Roche Caiman,,25,,1,,
sc:district:saint-louis,SC,district,Saint Louis,,22,,1,,
sc:district:takamaka,SC,district,Takamaka,,23,,1,,
