source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
sl:province:eastern,SL,province,Eastern,,E,,1,,
sl:province:north-western,SL,province,North Western,,NW,,1,,
sl:province:northern,SL,province,Northern,,N,,1,,
sl:province:southern,SL,province,Southern,,S,,1,,
sl:area:western,SL,area,Western,,W,,1,,
sl:district:kailahun,SL,district,Kailahun,,,sl:province:eastern,2,,
sl:district:kenema,SL,district,Kenema,,,sl:province:eastern,2,,
sl:district:kono,SL,district,Kono,,,sl:province:eastern,2,,
sl:district:bombali,SL,district,Bombali,,,sl:province:northern,2,,
sl:district:falaba,SL,district,Falaba,,,sl:province:northern,2,,
sl:district:koinadugu,SL,district,Koinadugu,,,sl:province:northern,2,,
sl:district:tonkolili,SL,district,Tonkolili,,,sl:province:northern,2,,
sl:district:kambia,SL,district,Kambia,,,sl:province:north-western,2,,
sl:district:karene,SL,district,Karene,,,sl:province:north-western,2,,
sl:district:port-loko,SL,district,Port Loko,,,sl:province:north-western,2,,
sl:district:bo,SL,district,Bo,,,sl:province:southern,2,,
sl:district:bonthe,SL,district,Bonthe,,,sl:province:southern,2,,
sl:district:moyamba,SL,district,Moyamba,,,sl:province:southern,2,,
sl:district:pujehun,SL,district,Pujehun,,,sl:province:southern,2,,
sl:district:western-rural,SL,district,Western Rural,,,sl:area:western,2,,
sl:district:western-urban,SL,district,Western Urban,,,sl:area:western,2,,
