source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
sk:region:banska-bystrica,SK,region,Banská Bystrica,,BC,,1,,
sk:region:bratislava,SK,region,Bratislava,,BL,,1,,
sk:region:kosice,SK,region,Košice,,KI,,1,,
sk:region:nitra,SK,region,Nitra,,NI,,1,,
sk:region:presov,SK,region,Prešov,,PV,,1,,
sk:region:trencin,SK,region,Trenčín,,TC,,1,,
sk:region:trnava,SK,region,Trnava,,TA,,1,,
sk:region:zilina,SK,region,Žilina,,ZI,,1,,
sk:district:banovce-nad-bebravou,SK,district,Bánovce nad Bebravou,,,sk:region:trencin,2,,
sk:district:banska-bystrica,SK,district,Banská Bystrica,,,sk:region:banska-bystrica,2,,
sk:district:banska-stiavnica,SK,district,Banská Štiavnica,,,sk:region:banska-bystrica,2,,
sk:district:bardejov,SK,district,Bardejov,,,sk:region:presov,2,,
sk:district:bratislava-i,SK,district,Bratislava I,,,sk:region:bratislava,2,,
sk:district:bratislava-ii,SK,district,Bratislava II,,,sk:region:bratislava,2,,
sk:district:bratislava-iii,SK,district,Bratislava III,,,sk:region:bratislava,2,,
sk:district:bratislava-iv,SK,district,Bratislava IV,,,sk:region:bratislava,2,,
sk:district:bratislava-v,SK,district,Bratislava V,,,sk:region:bratislava,2,,
sk:district:brezno,SK,district,Brezno,,,sk:region:banska-bystrica,2,,
sk:district:bytca,SK,district,Bytča,,,sk:region:zilina,2,,
sk:district:cadca,SK,district,Čadca,,,sk:region:zilina,2,,
sk:district:detva,SK,district,Detva,,,sk:region:banska-bystrica,2,,
sk:district:dolny-kubin,SK,district,Dolný Kubín,,,sk:region:zilina,2,,
sk:district:dunajska-streda,SK,district,Dunajská Streda,,,sk:region:trnava,2,,
sk:district:galanta,SK,district,Galanta,,,sk:region:trnava,2,,
sk:district:gelnica,SK,district,Gelnica,,,sk:region:kosice,2,,
sk:district:hlohovec,SK,district,Hlohovec,,,sk:region:trnava,2,,
sk:district:humenne,SK,district,Humenné,,,sk:region:presov,2,,
sk:district:ilava,SK,district,Ilava,,,sk:region:trencin,2,,
sk:district:kezmarok,SK,district,Kežmarok,,,sk:region:presov,2,,
sk:district:komarno,SK,district,Komárno,,,sk:region:nitra,2,,
sk:district:kosice-iii,SK,district,Košice III,,,sk:region:kosice,2,,
sk:district:kosice-ii,SK,district,Košice II,,,sk:region:kosice,2,,
sk:district:kosice-i,SK,district,Košice I,,,sk:region:kosice,2,,
sk:district:kosice-iv,SK,district,Košice IV,,,sk:region:kosice,2,,
sk:district:kosice-okolie,SK,district,Košice-okolie,,,sk:region:kosice,2,,
sk:district:krupina,SK,district,Krupina,,,sk:region:banska-bystrica,2,,
sk:district:kysucke-nove-mesto,SK,district,Kysucké Nové Mesto,,,sk:region:zilina,2,,
sk:district:levice,SK,district,Levice,,,sk:region:nitra,2,,
sk:district:levoca,SK,district,Levoča,,,sk:region:presov,2,,
sk:district:liptovsky-mikulas,SK,district,Liptovský Mikuláš,,,sk:region:zilina,2,,
sk:district:lucenec,SK,district,Lučenec,,,sk:region:banska-bystrica,2,,
sk:district:malacky,SK,district,Malacky,,,sk:region:bratislava,2,,
sk:district:martin,SK,district,Martin,,,sk:region:zilina,2,,
sk:district:medzilaborce,SK,district,Medzilaborce,,,sk:region:presov,2,,
sk:district:michalovce,SK,district,Michalovce,,,sk:region:kosice,2,,
sk:district:myjava,SK,district,Myjava,,,sk:region:trencin,2,,
sk:district:namestovo,SK,district,Námestovo,,,sk:region:zilina,2,,
sk:district:nitra,SK,district,Nitra,,,sk:region:nitra,2,,
sk:district:nove-mesto-nad-vahom,SK,district,Nové Mesto nad Váhom,,,sk:region:trencin,2,,
sk:district:nove-zamky,SK,district,Nové Zámky,,,sk:region:nitra,2,,
sk:district:partizanske,SK,district,Partizánske,,,sk:region:trencin,2,,
sk:district:pezinok,SK,district,Pezinok,,,sk:region:bratislava,2,,
sk:district:piestany,SK,district,Piešťany,,,sk:region:trnava,2,,
sk:district:poltar,SK,district,Poltár,,,sk:region:banska-bystrica,2,,
sk:district:poprad,SK,district,Poprad,,,sk:region:presov,2,,
sk:district:povazska-bystrica,SK,district,Považská Bystrica,,,sk:region:trencin,2,,
sk:district:presov,SK,district,Prešov,,,sk:region:presov,2,,
sk:district:prievidza,SK,district,Prievidza,,,sk:region:trencin,2,,
sk:district:puchov,SK,district,Púchov,,,sk:region:trencin,2,,
sk:district:revuca,SK,district,Revúca,,,sk:region:banska-bystrica,2,,
sk:district:rimavska-sobota,SK,district,Rimavská Sobota,,,sk:region:banska-bystrica,2,,
sk:district:roznava,SK,district,Rožňava,,,sk:region:kosice,2,,
sk:district:ruzomberok,SK,district,Ružomberok,,,sk:region:zilina,2,,
sk:district:sabinov,SK,district,Sabinov,,,sk:region:presov,2,,
sk:district:senec,SK,district,Senec,,,sk:region:bratislava,2,,
sk:district:senica,SK,district,Senica,,,sk:region:trnava,2,,
sk:district:skalica,SK,district,Skalica,,,sk:region:trnava,2,,
sk:district:snina,SK,district,Snina,,,sk:region:presov,2,,
sk:district:sobrance,SK,district,Sobrance,,,sk:region:kosice,2,,
sk:district:spisska-nova-ves,SK,district,Spišská Nová Ves,,,sk:region:kosice,2,,
sk:district:stara-lubovna,SK,district,Stará Ľubovňa,,,sk:region:presov,2,,
sk:district:stropkov,SK,district,Stropkov,,,sk:region:presov,2,,
sk:district:svidnik,SK,district,Svidník,,,sk:region:presov,2,,
sk:district:sala,SK,district,Šaľa,,,sk:region:nitra,2,,
sk:district:topolcany,SK,district,Topoľčany,,,sk:region:nitra,2,,
sk:district:trebisov,SK,district,Trebišov,,,sk:region:kosice,2,,
sk:district:trencin,SK,district,Trenčín,,,sk:region:trencin,2,,
sk:district:trnava,SK,district,Trnava,,,sk:region:trnava,2,,
sk:district:turcianske-teplice,SK,district,Turčianske Teplice,,,sk:region:zilina,2,,
sk:district:tvrdosin,SK,district,Tvrdošín,,,sk:region:zilina,2,,
sk:district:velky-krtis,SK,district,Veľký Krtíš,,,sk:region:banska-bystrica,2,,
sk:district:vranov-nad-toplou,SK,district,Vranov nad Topľou,,,sk:region:presov,2,,
sk:district:zlate-moravce,SK,district,Zlaté Moravce,,,sk:region:nitra,2,,
sk:district:zvolen,SK,district,Zvolen,,,sk:region:banska-bystrica,2,,
sk:district:zarnovica,SK,district,Žarnovica,,,sk:region:banska-bystrica,2,,
sk:district:ziar-nad-hronom,SK,district,Žiar nad Hronom,,,sk:region:banska-bystrica,2,,
