postcode,area_source_id,relationship_type,is_primary
010 01,sk:district:zilina,served_by,true
010 02,sk:district:zilina,served_by,true
010 03,sk:district:zilina,served_by,true
010 04,sk:district:zilina,served_by,true
010 07,sk:district:zilina,served_by,true
010 08,sk:district:zilina,served_by,true
010 09,sk:district:zilina,served_by,true
010 10,sk:district:zilina,served_by,true
010 14,sk:district:zilina,served_by,true
010 15,sk:district:zilina,served_by,true
010 24,sk:district:zilina,served_by,true
010 25,sk:district:zilina,served_by,true
010 26,sk:district:zilina,served_by,true
010 28,sk:district:zilina,served_by,true
010 29,sk:district:zilina,served_by,true
010 32,sk:district:zilina,served_by,true
010 33,sk:district:zilina,served_by,true
010 36,sk:district:zilina,served_by,true
010 37,sk:district:zilina,served_by,true
010 38,sk:district:zilina,served_by,true
010 40,sk:district:zilina,served_by,true
010 43,sk:district:zilina,served_by,true
010 46,sk:district:zilina,served_by,true
010 50,sk:district:zilina,served_by,true
010 51,sk:district:zilina,served_by,true
010 53,sk:district:zilina,served_by,true
010 55,sk:district:zilina,served_by,true
010 56,sk:district:zilina,served_by,true
010 58,sk:district:zilina,served_by,true
010 59,sk:district:zilina,served_by,true
010 60,sk:district:zilina,served_by,true
010 63,sk:district:zilina,served_by,true
010 65,sk:district:zilina,served_by,true
010 66,sk:district:zilina,served_by,true
010 69,sk:district:zilina,served_by,true
010 75,sk:district:zilina,served_by,true
010 77,sk:district:zilina,served_by,true
010 80,sk:district:zilina,served_by,true
010 83,sk:district:zilina,served_by,true
010 85,sk:district:zilina,served_by,true
010 86,sk:district:zilina,served_by,true
010 88,sk:district:zilina,served_by,true
010 91,sk:district:zilina,served_by,true
010 93,sk:district:zilina,served_by,true
010 94,sk:district:zilina,served_by,true
010 98,sk:district:zilina,served_by,true
010 99,sk:district:zilina,served_by,true
011 00,sk:district:zilina,served_by,true
011 01,sk:district:zilina,served_by,true
011 04,sk:district:zilina,served_by,true
011 06,sk:district:zilina,served_by,true
011 09,sk:district:zilina,served_by,true
011 11,sk:district:zilina,served_by,true
011 12,sk:district:zilina,served_by,true
011 14,sk:district:zilina,served_by,true
011 15,sk:district:zilina,served_by,true
011 18,sk:district:zilina,served_by,true
011 19,sk:district:zilina,served_by,true
011 20,sk:district:zilina,served_by,true
011 21,sk:district:zilina,served_by,true
011 23,sk:district:zilina,served_by,true
011 24,sk:district:zilina,served_by,true
011 26,sk:district:zilina,served_by,true
011 28,sk:district:zilina,served_by,true
011 29,sk:district:zilina,served_by,true
011 30,sk:district:zilina,served_by,true
011 31,sk:district:zilina,served_by,true
011 35,sk:district:zilina,served_by,true
011 36,sk:district:zilina,served_by,true
011 37,sk:district:zilina,served_by,true
011 40,sk:district:zilina,served_by,true
011 41,sk:district:zilina,served_by,true
011 43,sk:district:zilina,served_by,true
011 45,sk:district:zilina,served_by,true
011 47,sk:district:zilina,served_by,true
011 48,sk:district:zilina,served_by,true
011 55,sk:district:zilina,served_by,true
011 56,sk:district:zilina,served_by,true
011 57,sk:district:zilina,served_by,true
011 58,sk:district:zilina,served_by,true
011 59,sk:district:zilina,served_by,true
011 61,sk:district:zilina,served_by,true
011 62,sk:district:zilina,served_by,true
011 63,sk:district:zilina,served_by,true
011 65,sk:district:zilina,served_by,true
011 67,sk:district:zilina,served_by,true
011 69,sk:district:zilina,served_by,true
011 70,sk:district:zilina,served_by,true
011 71,sk:district:zilina,served_by,true
011 74,sk:district:zilina,served_by,true
011 77,sk:district:zilina,served_by,true
011 78,sk:district:zilina,served_by,true
011 79,sk:district:zilina,served_by,true
011 80,sk:district:zilina,served_by,true
011 84,sk:district:zilina,served_by,true
011 86,sk:district:zilina,served_by,true
011 87,sk:district:zilina,served_by,true
011 88,sk:district:zilina,served_by,true
011 91,sk:district:zilina,served_by,true
011 92,sk:district:zilina,served_by,true
011 93,sk:district:zilina,served_by,true
011 94,sk:district:zilina,served_by,true
011 95,sk:district:zilina,served_by,true
011 96,sk:district:zilina,served_by,true
011 97,sk:district:zilina,served_by,true
011 98,sk:district:zilina,served_by,true
012 00,sk:district:zilina,served_by,true
012 02,sk:district:zilina,served_by,true
012 05,sk:district:zilina,served_by,true
012 06,sk:district:zilina,served_by,true
012 07,sk:district:zilina,served_by,true
012 08,sk:district:zilina,served_by,true
012 09,sk:district:zilina,served_by,true
012 14,sk:district:zilina,served_by,true
012 15,sk:district:zilina,served_by,true
012 17,sk:district:zilina,served_by,true
012 19,sk:district:zilina,served_by,true
012 23,sk:district:zilina,served_by,true
012 25,sk:district:zilina,served_by,true
012 27,sk:district:zilina,served_by,true
012 28,sk:district:zilina,served_by,true
012 32,sk:district:zilina,served_by,true
012 35,sk:district:zilina,served_by,true
012 41,sk:district:zilina,served_by,true
012 45,sk:district:zilina,served_by,true
012 47,sk:district:zilina,served_by,true
012 51,sk:district:zilina,served_by,true
012 52,sk:district:zilina,served_by,true
012 53,sk:district:zilina,served_by,true
013 01,sk:district:zilina,served_by,true
013 02,sk:district:zilina,served_by,true
013 03,sk:district:zilina,served_by,true
013 04,sk:district:zilina,served_by,true
013 05,sk:district:zilina,served_by,true
013 06,sk:district:zilina,served_by,true
013 11,sk:district:zilina,served_by,true
013 12,sk:district:zilina,served_by,true
013 13,sk:district:zilina,served_by,true
013 14,sk:district:zilina,served_by,true
013 15,sk:district:zilina,served_by,true
013 18,sk:district:zilina,served_by,true
013 19,sk:district:zilina,served_by,true
013 22,sk:district:zilina,served_by,true
013 23,sk:district:zilina,served_by,true
013 24,sk:district:zilina,served_by,true
013 25,sk:district:zilina,served_by,true
013 31,sk:district:zilina,served_by,true
013 32,sk:district:zilina,served_by,true
013 41,sk:district:zilina,served_by,true
013 42,sk:district:zilina,served_by,true
013 51,sk:district:bytca,served_by,true
013 52,sk:district:bytca,served_by,true
013 53,sk:district:bytca,served_by,true
013 54,sk:district:bytca,served_by,true
013 55,sk:district:bytca,served_by,true
013 56,sk:district:bytca,served_by,true
013 61,sk:district:bytca,served_by,true
013 62,sk:district:bytca,served_by,true
014 01,sk:district:bytca,served_by,true
014 18,sk:district:bytca,served_by,true
014 35,sk:district:bytca,served_by,true
014 38,sk:district:bytca,served_by,true
014 44,sk:district:bytca,served_by,true
014 83,sk:district:bytca,served_by,true
015 01,sk:district:zilina,served_by,true
015 14,sk:district:zilina,served_by,true
015 21,sk:district:zilina,served_by,true
015 22,sk:district:zilina,served_by,true
015 26,sk:district:zilina,served_by,true
015 41,sk:district:zilina,served_by,true
017 01,sk:district:povazska-bystrica,served_by,true
017 04,sk:district:povazska-bystrica,served_by,true
017 05,sk:district:povazska-bystrica,served_by,true
017 06,sk:district:povazska-bystrica,served_by,true
017 07,sk:district:povazska-bystrica,served_by,true
017 13,sk:district:povazska-bystrica,served_by,true
017 21,sk:district:povazska-bystrica,served_by,true
017 23,sk:district:povazska-bystrica,served_by,true
017 26,sk:district:povazska-bystrica,served_by,true
017 33,sk:district:povazska-bystrica,served_by,true
017 34,sk:district:povazska-bystrica,served_by,true
017 36,sk:district:povazska-bystrica,served_by,true
017 39,sk:district:povazska-bystrica,served_by,true
017 46,sk:district:povazska-bystrica,served_by,true
017 53,sk:district:povazska-bystrica,served_by,true
017 80,sk:district:povazska-bystrica,served_by,true
018 01,sk:district:povazska-bystrica,served_by,true
018 02,sk:district:povazska-bystrica,served_by,true
018 03,sk:district:povazska-bystrica,served_by,true
018 12,sk:district:povazska-bystrica,served_by,true
018 13,sk:district:povazska-bystrica,served_by,true
018 15,sk:district:povazska-bystrica,served_by,true
018 16,sk:district:povazska-bystrica,served_by,true
