source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
so:region:awdal,SO,region,Awdal,,AW,,1,,
so:region:bakool,SO,region,Bakool,,BK,,1,,
so:region:banaadir,SO,region,Banaadir,,BN,,1,,
so:region:bari,SO,region,Bari,,BR,,1,,
so:region:bay,SO,region,Bay,,BY,,1,,
so:region:galguduud,SO,region,Galguduud,,GA,,1,,
so:region:gedo,SO,region,Gedo,,GE,,1,,
so:region:hiran,SO,region,Hiran,,HI,,1,,
so:region:lower-juba,SO,region,Lower Juba,,JH,,1,,
so:region:lower-shebelle,SO,region,Lower Shebelle,,SH,,1,,
so:region:middle-juba,SO,region,Middle Juba,,JD,,1,,
so:region:middle-shebelle,SO,region,Middle Shebelle,,SD,,1,,
so:region:mudug,SO,region,Mudug,,MU,,1,,
so:region:nugal,SO,region,Nugal,,NU,,1,,
so:region:sanaag,SO,region,Sanaag,,SA,,1,,
so:region:sool,SO,region,Sool,,SO,,1,,
so:region:togdheer,SO,region,Togdheer,,TO,,1,,
so:region:woqooyi-galbeed,SO,region,Woqooyi Galbeed,,WO,,1,,
so:district:borama,SO,district,Borama,,,so:region:awdal,2,,
so:district:zeila,SO,district,Zeila,,,so:region:awdal,2,,
so:district:lughaya,SO,district,Lughaya,,,so:region:awdal,2,,
so:district:baki,SO,district,Baki,,,so:region:awdal,2,,
so:district:el-barde,SO,district,El Barde,,,so:region:bakool,2,,
so:district:hudur,SO,district,Hudur,,,so:region:bakool,2,,
so:district:tiyeglow,SO,district,Tiyeglow,,,so:region:bakool,2,,
so:district:wajid,SO,district,Wajid,,,so:region:bakool,2,,
so:district:rabdhure,SO,district,Rabdhure,,,so:region:bakool,2,,
so:district:abdiaziz,SO,district,Abdiaziz,,,so:region:banaadir,2,,
so:district:bondhere,SO,district,Bondhere,,,so:region:banaadir,2,,
so:district:daynile,SO,district,Daynile,,,so:region:banaadir,2,,
so:district:dharkenley,SO,district,Dharkenley,,,so:region:banaadir,2,,
so:district:hamar-jajab,SO,district,Hamar Jajab,,,so:region:banaadir,2,,
so:district:hamar-weyne,SO,district,Hamar Weyne,,,so:region:banaadir,2,,
so:district:hodan,SO,district,Hodan,,,so:region:banaadir,2,,
so:district:howlwadaag,SO,district,Howlwadaag,,,so:region:banaadir,2,,
so:district:huriwa,SO,district,Huriwa,,,so:region:banaadir,2,,
so:district:karan,SO,district,Karan,,,so:region:banaadir,2,,
so:district:shibis,SO,district,Shibis,,,so:region:banaadir,2,,
so:district:shangani,SO,district,Shangani,,,so:region:banaadir,2,,
so:district:waberi,SO,district,Waberi,,,so:region:banaadir,2,,
so:district:wadajir,SO,district,Wadajir,,,so:region:banaadir,2,,
so:district:warta-nabada,SO,district,Warta Nabada,,,so:region:banaadir,2,,
so:district:yaqshid,SO,district,Yaqshid,,,so:region:banaadir,2,,
so:district:bayla,SO,district,Bayla,,,so:region:bari,2,,
so:district:bosaso,SO,district,Bosaso,,,so:region:bari,2,,
so:district:alula,SO,district,Alula,,,so:region:bari,2,,
so:district:iskushuban,SO,district,Iskushuban,,,so:region:bari,2,,
so:district:qandala,SO,district,Qandala,,,so:region:bari,2,,
so:district:qardho,SO,district,Qardho,,,so:region:bari,2,,
so:district:baidoa,SO,district,Baidoa,,,so:region:bay,2,,
so:district:burhakaba,SO,district,Burhakaba,,,so:region:bay,2,,
so:district:dinsoor,SO,district,Dinsoor,,,so:region:bay,2,,
so:district:qasahdhere,SO,district,Qasahdhere,,,so:region:bay,2,,
so:district:abudwak,SO,district,Abudwak,,,so:region:galguduud,2,,
so:district:adado,SO,district,Adado,,,so:region:galguduud,2,,
so:district:dusmareb,SO,district,Dusmareb,,,so:region:galguduud,2,,
so:district:el-buur,SO,district,El Buur,,,so:region:galguduud,2,,
so:district:el-dher,SO,district,El Dher,,,so:region:galguduud,2,,
so:district:bardhere,SO,district,Bardhere,,,so:region:gedo,2,,
so:district:beled-hawo,SO,district,Beled Hawo,,,so:region:gedo,2,,
so:district:el-wak,SO,district,El Wak,,,so:region:gedo,2,,
so:district:dolow,SO,district,Dolow,,,so:region:gedo,2,,
so:district:garbaharey,SO,district,Garbaharey,,,so:region:gedo,2,,
so:district:luuq,SO,district,Luuq,,,so:region:gedo,2,,
so:district:beledweyne,SO,district,Beledweyne,,,so:region:hiran,2,,
so:district:buloburde,SO,district,Buloburde,,,so:region:hiran,2,,
so:district:jalalaqsi,SO,district,Jalalaqsi,,,so:region:hiran,2,,
so:district:afmadow,SO,district,Afmadow,,,so:region:lower-juba,2,,
so:district:badhadhe,SO,district,Badhadhe,,,so:region:lower-juba,2,,
so:district:jamame,SO,district,Jamame,,,so:region:lower-juba,2,,
so:district:kismayo,SO,district,Kismayo,,,so:region:lower-juba,2,,
so:district:afgooye,SO,district,Afgooye,,,so:region:lower-shebelle,2,,
so:district:barawa,SO,district,Barawa,,,so:region:lower-shebelle,2,,
so:district:kurtunwarey,SO,district,Kurtunwarey,,,so:region:lower-shebelle,2,,
so:district:merca,SO,district,Merca,,,so:region:lower-shebelle,2,,
so:district:qoriyoley,SO,district,Qoriyoley,,,so:region:lower-shebelle,2,,
so:district:sablale,SO,district,Sablale,,,so:region:lower-shebelle,2,,
so:district:wanlaweyn,SO,district,Wanlaweyn,,,so:region:lower-shebelle,2,,
so:district:bu-ale,SO,district,Bu'ale,,,so:region:middle-juba,2,,
so:district:jilib,SO,district,Jilib,,,so:region:middle-juba,2,,
so:district:sakow,SO,district,Sakow,,,so:region:middle-juba,2,,
so:district:adale,SO,district,Adale,,,so:region:middle-shebelle,2,,
so:district:adan-yabal,SO,district,Adan Yabal,,,so:region:middle-shebelle,2,,
so:district:balad,SO,district,Balad,,,so:region:middle-shebelle,2,,
so:district:jowhar,SO,district,Jowhar,,,so:region:middle-shebelle,2,,
so:district:galkayo,SO,district,Galkayo,,,so:region:mudug,2,,
so:district:galdogob,SO,district,Galdogob,,,so:region:mudug,2,,
so:district:harardhere,SO,district,Harardhere,,,so:region:mudug,2,,
so:district:hobyo,SO,district,Hobyo,,,so:region:mudug,2,,
so:district:jariban,SO,district,Jariban,,,so:region:mudug,2,,
so:district:garowe,SO,district,Garowe,,,so:region:nugal,2,,
so:district:burtinle,SO,district,Burtinle,,,so:region:nugal,2,,
so:district:eyl,SO,district,Eyl,,,so:region:nugal,2,,
so:district:erigavo,SO,district,Erigavo,,,so:region:sanaag,2,,
so:district:badhan,SO,district,Badhan,,,so:region:sanaag,2,,
so:district:el-afweyn,SO,district,El Afweyn,,,so:region:sanaag,2,,
so:district:las-anod,SO,district,Las Anod,,,so:region:sool,2,,
so:district:hudun,SO,district,Hudun,,,so:region:sool,2,,
so:district:taleh,SO,district,Taleh,,,so:region:sool,2,,
so:district:aynaba,SO,district,Aynaba,,,so:region:sool,2,,
so:district:burao,SO,district,Burao,,,so:region:togdheer,2,,
so:district:oodweyne,SO,district,Oodweyne,,,so:region:togdheer,2,,
so:district:buhoodle,SO,district,Buhoodle,,,so:region:togdheer,2,,
so:district:sheikh,SO,district,Sheikh,,,so:region:togdheer,2,,
so:district:hargeisa,SO,district,Hargeisa,,,so:region:woqooyi-galbeed,2,,
so:district:berbera,SO,district,Berbera,,,so:region:woqooyi-galbeed,2,,
so:district:gabiley,SO,district,Gabiley,,,so:region:woqooyi-galbeed,2,,
