postcode,area_source_id,relationship_type,is_primary
0002,za:city_municipality:city-of-tshwane,served_by,true
0003,za:city_municipality:city-of-tshwane,served_by,true
0004,za:city_municipality:city-of-tshwane,served_by,true
0005,za:city_municipality:city-of-tshwane,served_by,true
0006,za:city_municipality:city-of-tshwane,served_by,true
0007,za:city_municipality:city-of-tshwane,served_by,true
0008,za:city_municipality:city-of-tshwane,served_by,true
0009,za:city_municipality:city-of-tshwane,served_by,true
0010,za:city_municipality:city-of-tshwane,served_by,true
0011,za:city_municipality:city-of-tshwane,served_by,true
0012,za:city_municipality:city-of-tshwane,served_by,true
0014,za:city_municipality:city-of-tshwane,served_by,true
0016,za:city_municipality:city-of-tshwane,served_by,true
0017,za:city_municipality:city-of-tshwane,served_by,true
0018,za:city_municipality:city-of-tshwane,served_by,true
0019,za:city_municipality:city-of-tshwane,served_by,true
0020,za:city_municipality:city-of-tshwane,served_by,true
0021,za:city_municipality:city-of-tshwane,served_by,true
0022,za:city_municipality:city-of-tshwane,served_by,true
0023,za:city_municipality:city-of-tshwane,served_by,true
0024,za:city_municipality:city-of-tshwane,served_by,true
0025,za:city_municipality:city-of-tshwane,served_by,true
0026,za:city_municipality:city-of-tshwane,served_by,true
0027,za:city_municipality:city-of-tshwane,served_by,true
0028,za:city_municipality:city-of-tshwane,served_by,true
0029,za:city_municipality:city-of-tshwane,served_by,true
0030,za:city_municipality:city-of-tshwane,served_by,true
0031,za:city_municipality:city-of-tshwane,served_by,true
0032,za:city_municipality:city-of-tshwane,served_by,true
0033,za:city_municipality:city-of-tshwane,served_by,true
0035,za:city_municipality:city-of-tshwane,served_by,true
0036,za:city_municipality:city-of-tshwane,served_by,true
0037,za:city_municipality:city-of-tshwane,served_by,true
0039,za:city_municipality:city-of-tshwane,served_by,true
0040,za:city_municipality:city-of-tshwane,served_by,true
0041,za:city_municipality:city-of-tshwane,served_by,true
0042,za:city_municipality:city-of-tshwane,served_by,true
0043,za:city_municipality:city-of-tshwane,served_by,true
0044,za:city_municipality:city-of-tshwane,served_by,true
0045,za:city_municipality:city-of-tshwane,served_by,true
0046,za:city_municipality:city-of-tshwane,served_by,true
0047,za:city_municipality:city-of-tshwane,served_by,true
0048,za:city_municipality:city-of-tshwane,served_by,true
0049,za:city_municipality:city-of-tshwane,served_by,true
0050,za:city_municipality:city-of-tshwane,served_by,true
0051,za:city_municipality:city-of-tshwane,served_by,true
0052,za:city_municipality:city-of-tshwane,served_by,true
