source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
es:autonomous_community:andalusia,ES,autonomous_community,Andalusia,,AN,,1,,
es:autonomous_community:aragon,ES,autonomous_community,Aragon,,AR,,1,,
es:autonomous_community:asturias,ES,autonomous_community,Asturias,,AS,,1,,
es:autonomous_community:cantabria,ES,autonomous_community,Cantabria,,CB,,1,,
es:autonomous_city:ceuta,ES,autonomous_city,Ceuta,,CE,,1,,
es:autonomous_community:castile-and-leon,ES,autonomous_community,Castile and León,,CL,,1,,
es:autonomous_community:castilla-la-mancha,ES,autonomous_community,Castilla-La Mancha,,CM,,1,,
es:autonomous_community:canary-islands,ES,autonomous_community,Canary Islands,,CN,,1,,
es:autonomous_community:catalonia,ES,autonomous_community,Catalonia,,CT,,1,,
es:autonomous_community:extremadura,ES,autonomous_community,Extremadura,,EX,,1,,
es:autonomous_community:galicia,ES,autonomous_community,Galicia,,GA,,1,,
es:autonomous_community:balearic-islands,ES,autonomous_community,Balearic Islands,,IB,,1,,
es:autonomous_community:murcia,ES,autonomous_community,Murcia,,MC,,1,,
es:autonomous_community:madrid,ES,autonomous_community,Madrid,,MD,,1,,
es:autonomous_city:melilla,ES,autonomous_city,Melilla,,ML,,1,,
es:autonomous_community:navarre,ES,autonomous_community,Navarre,,NC,,1,,
es:autonomous_community:basque-country,ES,autonomous_community,Basque Country,,PV,,1,,
es:autonomous_community:la-rioja,ES,autonomous_community,La Rioja,,RI,,1,,
es:autonomous_community:valencian-community,ES,autonomous_community,Valencian Community,,VC,,1,,
es:province:almeria,ES,province,Almería,,AL,es:autonomous_community:andalusia,2,,
es:province:cadiz,ES,province,Cádiz,,CA,es:autonomous_community:andalusia,2,,
es:province:cordoba,ES,province,Córdoba,,CO,es:autonomous_community:andalusia,2,,
es:province:granada,ES,province,Granada,,GR,es:autonomous_community:andalusia,2,,
es:province:huelva,ES,province,Huelva,,H,es:autonomous_community:andalusia,2,,
es:province:jaen,ES,province,Jaén,,J,es:autonomous_community:andalusia,2,,
es:province:malaga,ES,province,Málaga,,MA,es:autonomous_community:andalusia,2,,
es:province:sevilla,ES,province,Sevilla,,SE,es:autonomous_community:andalusia,2,,
es:province:huesca,ES,province,Huesca,,HU,es:autonomous_community:aragon,2,,
es:province:teruel,ES,province,Teruel,,TE,es:autonomous_community:aragon,2,,
es:province:zaragoza,ES,province,Zaragoza,,Z,es:autonomous_community:aragon,2,,
es:province:asturias,ES,province,Asturias,,O,es:autonomous_community:asturias,2,,
es:province:las-palmas,ES,province,Las Palmas,,GC,es:autonomous_community:canary-islands,2,,
es:province:santa-cruz-de-tenerife,ES,province,Santa Cruz de Tenerife,,TF,es:autonomous_community:canary-islands,2,,
es:province:cantabria,ES,province,Cantabria,,S,es:autonomous_community:cantabria,2,,
es:province:avila,ES,province,Ávila,,AV,es:autonomous_community:castile-and-leon,2,,
es:province:burgos,ES,province,Burgos,,BU,es:autonomous_community:castile-and-leon,2,,
es:province:leon,ES,province,León,,LE,es:autonomous_community:castile-and-leon,2,,
es:province:palencia,ES,province,Palencia,,P,es:autonomous_community:castile-and-leon,2,,
es:province:salamanca,ES,province,Salamanca,,SA,es:autonomous_community:castile-and-leon,2,,
es:province:segovia,ES,province,Segovia,,SG,es:autonomous_community:castile-and-leon,2,,
es:province:soria,ES,province,Soria,,SO,es:autonomous_community:castile-and-leon,2,,
es:province:valladolid,ES,province,Valladolid,,VA,es:autonomous_community:castile-and-leon,2,,
es:province:zamora,ES,province,Zamora,,ZA,es:autonomous_community:castile-and-leon,2,,
es:province:albacete,ES,province,Albacete,,AB,es:autonomous_community:castilla-la-mancha,2,,
es:province:ciudad-real,ES,province,Ciudad Real,,CR,es:autonomous_community:castilla-la-mancha,2,,
es:province:cuenca,ES,province,Cuenca,,CU,es:autonomous_community:castilla-la-mancha,2,,
es:province:guadalajara,ES,province,Guadalajara,,GU,es:autonomous_community:castilla-la-mancha,2,,
es:province:toledo,ES,province,Toledo,,TO,es:autonomous_community:castilla-la-mancha,2,,
es:province:barcelona,ES,province,Barcelona,,B,es:autonomous_community:catalonia,2,,
es:province:girona,ES,province,Girona,,GI,es:autonomous_community:catalonia,2,,
es:province:lleida,ES,province,Lleida,,L,es:autonomous_community:catalonia,2,,
es:province:tarragona,ES,province,Tarragona,,T,es:autonomous_community:catalonia,2,,
es:province:badajoz,ES,province,Badajoz,,BA,es:autonomous_community:extremadura,2,,
es:province:caceres,ES,province,Cáceres,,CC,es:autonomous_community:extremadura,2,,
es:province:a-coruna,ES,province,A Coruña,,C,es:autonomous_community:galicia,2,,
es:province:lugo,ES,province,Lugo,,LU,es:autonomous_community:galicia,2,,
es:province:ourense,ES,province,Ourense,,OR,es:autonomous_community:galicia,2,,
es:province:pontevedra,ES,province,Pontevedra,,PO,es:autonomous_community:galicia,2,,
es:province:illes-balears,ES,province,Illes Balears,,PM,es:autonomous_community:balearic-islands,2,,
es:province:la-rioja,ES,province,La Rioja,,LO,es:autonomous_community:la-rioja,2,,
es:province:madrid,ES,province,Madrid,,M,es:autonomous_community:madrid,2,,
es:province:murcia,ES,province,Murcia,,MU,es:autonomous_community:murcia,2,,
es:province:navarra,ES,province,Navarra,,NA,es:autonomous_community:navarre,2,,
es:province:bizkaia,ES,province,Bizkaia,,BI,es:autonomous_community:basque-country,2,,
es:province:gipuzkoa,ES,province,Gipuzkoa,,SS,es:autonomous_community:basque-country,2,,
es:province:araba,ES,province,Araba,,VI,es:autonomous_community:basque-country,2,,
es:province:alicante,ES,province,Alicante,,A,es:autonomous_community:valencian-community,2,,
es:province:castellon,ES,province,Castellón,,CS,es:autonomous_community:valencian-community,2,,
es:province:valencia,ES,province,Valencia,,V,es:autonomous_community:valencian-community,2,,
