source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
lk:province:central,LK,province,Central,,2,,1,,
lk:province:eastern,LK,province,Eastern,,5,,1,,
lk:province:north-central,LK,province,North Central,,7,,1,,
lk:province:north-western,LK,province,North Western,,6,,1,,
lk:province:northern,LK,province,Northern,,4,,1,,
lk:province:sabaragamuwa,LK,province,Sabaragamuwa,,9,,1,,
lk:province:southern,LK,province,Southern,,3,,1,,
lk:province:uva,LK,province,Uva,,8,,1,,
lk:province:western,LK,province,Western,,1,,1,,
lk:district:ampara,LK,district,Ampara,,52,lk:province:eastern,2,,
lk:district:anuradhapura,LK,district,Anuradhapura,,71,lk:province:north-central,2,,
lk:district:badulla,LK,district,Badulla,,81,lk:province:uva,2,,
lk:district:batticaloa,LK,district,Batticaloa,,51,lk:province:eastern,2,,
lk:district:colombo,LK,district,Colombo,,11,lk:province:western,2,,
lk:district:galle,LK,district,Galle,,31,lk:province:southern,2,,
lk:district:gampaha,LK,district,Gampaha,,12,lk:province:western,2,,
lk:district:hambantota,LK,district,Hambantota,,33,lk:province:southern,2,,
lk:district:jaffna,LK,district,Jaffna,,41,lk:province:northern,2,,
lk:district:kalutara,LK,district,Kalutara,,13,lk:province:western,2,,
lk:district:kandy,LK,district,Kandy,,21,lk:province:central,2,,
lk:district:kegalle,LK,district,Kegalle,,92,lk:province:sabaragamuwa,2,,
lk:district:kilinochchi,LK,district,Kilinochchi,,42,lk:province:northern,2,,
lk:district:kurunegala,LK,district,Kurunegala,,61,lk:province:north-western,2,,
lk:district:mannar,LK,district,Mannar,,43,lk:province:northern,2,,
lk:district:matale,LK,district,Matale,,22,lk:province:central,2,,
lk:district:matara,LK,district,Matara,,32,lk:province:southern,2,,
lk:district:monaragala,LK,district,Monaragala,,82,lk:province:uva,2,,
lk:district:mullaitivu,LK,district,Mullaitivu,,45,lk:province:northern,2,,
lk:district:nuwara-eliya,LK,district,Nuwara Eliya,,23,lk:province:central,2,,
lk:district:polonnaruwa,LK,district,Polonnaruwa,,72,lk:province:north-central,2,,
lk:district:puttalam,LK,district,Puttalam,,62,lk:province:north-western,2,,
lk:district:ratnapura,LK,district,Ratnapura,,91,lk:province:sabaragamuwa,2,,
lk:district:trincomalee,LK,district,Trincomalee,,53,lk:province:eastern,2,,
lk:district:vavuniya,LK,district,Vavuniya,,44,lk:province:northern,2,,
