source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
sd:state:central-darfur,SD,state,Central Darfur,,DC,,1,,
sd:state:east-darfur,SD,state,East Darfur,,DE,,1,,
sd:state:north-darfur,SD,state,North Darfur,,DN,,1,,
sd:state:south-darfur,SD,state,South Darfur,,DS,,1,,
sd:state:west-darfur,SD,state,West Darfur,,DW,,1,,
sd:state:al-qadarif,SD,state,Al Qadarif,,GD,,1,,
sd:state:west-kordofan,SD,state,West Kordofan,,GK,,1,,
sd:state:al-jazirah,SD,state,Al Jazirah,,GZ,,1,,
sd:state:kassala,SD,state,Kassala,,KA,,1,,
sd:state:khartoum,SD,state,Khartoum,,KH,,1,,
sd:state:north-kordofan,SD,state,North Kordofan,,KN,,1,,
sd:state:south-kordofan,SD,state,South Kordofan,,KS,,1,,
sd:state:blue-nile,SD,state,Blue Nile,,NB,,1,,
sd:state:northern,SD,state,Northern,,NO,,1,,
sd:state:river-nile,SD,state,River Nile,,NR,,1,,
sd:state:white-nile,SD,state,White Nile,,NW,,1,,
sd:state:red-sea,SD,state,Red Sea,,RS,,1,,
sd:state:sennar,SD,state,Sennar,,SI,,1,,
sd:district:al-hasahisa,SD,district,Al Hasahisa,,,sd:state:al-jazirah,2,,
sd:district:al-kamlin,SD,district,Al Kamlin,,,sd:state:al-jazirah,2,,
sd:district:al-manaqil,SD,district,Al Manaqil,,,sd:state:al-jazirah,2,,
sd:district:al-qurashi,SD,district,Al Qurashi,,,sd:state:al-jazirah,2,,
sd:district:janub-al-jazirah,SD,district,Janub Al Jazirah,,,sd:state:al-jazirah,2,,
sd:district:medani-al-kubra,SD,district,Medani Al Kubra,,,sd:state:al-jazirah,2,,
sd:district:sharg-al-jazirah,SD,district,Sharg Al Jazirah,,,sd:state:al-jazirah,2,,
sd:district:um-algura,SD,district,Um Algura,,,sd:state:al-jazirah,2,,
sd:district:al-kurmuk,SD,district,Al Kurmuk,,,sd:state:blue-nile,2,,
sd:district:ar-rusayris,SD,district,Ar Rusayris,,,sd:state:blue-nile,2,,
sd:district:at-tadamon-bn,SD,district,At Tadamon - BN,,,sd:state:blue-nile,2,,
sd:district:baw,SD,district,Baw,,,sd:state:blue-nile,2,,
sd:district:ed-damazine,SD,district,Ed Damazine,,,sd:state:blue-nile,2,,
sd:district:geisan,SD,district,Geisan,,,sd:state:blue-nile,2,,
sd:district:wad-al-mahi,SD,district,Wad Al Mahi,,,sd:state:blue-nile,2,,
sd:district:azum,SD,district,Azum,,,sd:state:central-darfur,2,,
sd:district:bendasi,SD,district,Bendasi,,,sd:state:central-darfur,2,,
sd:district:gharb-jabal-marrah,SD,district,Gharb Jabal Marrah,,,sd:state:central-darfur,2,,
sd:district:mukjar,SD,district,Mukjar,,,sd:state:central-darfur,2,,
sd:district:shamal-jabal-marrah,SD,district,Shamal Jabal Marrah,,,sd:state:central-darfur,2,,
sd:district:um-dukhun,SD,district,Um Dukhun,,,sd:state:central-darfur,2,,
sd:district:wadi-salih,SD,district,Wadi Salih,,,sd:state:central-darfur,2,,
sd:district:wasat-jabal-marrah,SD,district,Wasat Jabal Marrah,,,sd:state:central-darfur,2,,
