postcode,area_source_id,relationship_type,is_primary
11111,sd:state:khartoum,served_by,true
12217,sd:state:khartoum,served_by,true
13315,sd:state:khartoum,served_by,true
13321,sd:state:khartoum,served_by,true
13323,sd:state:khartoum,served_by,true
14419,sd:state:khartoum,served_by,true
21111,sd:state:al-jazirah,served_by,true
21112,sd:state:al-jazirah,served_by,true
21113,sd:state:al-jazirah,served_by,true
21114,sd:state:al-jazirah,served_by,true
21115,sd:state:al-jazirah,served_by,true
21115,sd:state:sennar,served_by,false
21121,sd:state:al-jazirah,served_by,true
22211,sd:state:al-jazirah,served_by,true
22212,sd:state:al-jazirah,served_by,true
22213,sd:state:al-jazirah,served_by,true
22214,sd:state:al-jazirah,served_by,true
22217,sd:state:al-jazirah,served_by,true
24414,sd:state:sennar,served_by,true
25511,sd:state:sennar,served_by,true
25512,sd:state:sennar,served_by,true
25513,sd:state:sennar,served_by,true
25514,sd:state:blue-nile,served_by,true
25514,sd:state:sennar,served_by,false
25516,sd:state:sennar,served_by,true
26611,sd:state:blue-nile,served_by,true
26612,sd:state:blue-nile,served_by,true
26613,sd:state:blue-nile,served_by,true
26614,sd:state:blue-nile,served_by,true
27716,sd:state:white-nile,served_by,true
28812,sd:state:white-nile,served_by,true
28815,sd:state:white-nile,served_by,true
31111,sd:state:kassala,served_by,true
31112,sd:state:kassala,served_by,true
31113,sd:state:kassala,served_by,true
31114,sd:state:kassala,served_by,true
31115,sd:state:kassala,served_by,true
31116,sd:state:al-qadarif,served_by,true
31116,sd:state:kassala,served_by,false
31117,sd:state:kassala,served_by,true
31118,sd:state:kassala,served_by,true
32210,sd:state:al-qadarif,served_by,true
32211,sd:state:al-qadarif,served_by,true
32212,sd:state:al-qadarif,served_by,true
32213,sd:state:al-qadarif,served_by,true
32214,sd:state:al-qadarif,served_by,true
32215,sd:state:al-qadarif,served_by,true
33311,sd:state:red-sea,served_by,true
33312,sd:state:red-sea,served_by,true
33313,sd:state:red-sea,served_by,true
33315,sd:state:red-sea,served_by,true
33317,sd:state:red-sea,served_by,true
33318,sd:state:red-sea,served_by,true
33319,sd:state:red-sea,served_by,true
33321,sd:state:red-sea,served_by,true
41112,sd:state:northern,served_by,true
41114,sd:state:northern,served_by,true
41115,sd:state:northern,served_by,true
41118,sd:state:northern,served_by,true
41119,sd:state:northern,served_by,true
41121,sd:state:northern,served_by,true
41125,sd:state:northern,served_by,true
42216,sd:state:northern,served_by,true
45512,sd:state:river-nile,served_by,true
45515,sd:state:river-nile,served_by,true
45516,sd:state:river-nile,served_by,true
45518,sd:state:river-nile,served_by,true
51111,sd:state:north-kordofan,served_by,true
51111,sd:state:west-kordofan,served_by,false
51112,sd:state:north-kordofan,served_by,true
51113,sd:state:north-kordofan,served_by,true
51113,sd:state:west-kordofan,served_by,false
52211,sd:state:north-kordofan,served_by,true
52212,sd:state:north-kordofan,served_by,true
52214,sd:state:north-kordofan,served_by,true
52215,sd:state:south-kordofan,served_by,true
52218,sd:state:south-kordofan,served_by,true
52221,sd:state:north-kordofan,served_by,true
52221,sd:state:south-kordofan,served_by,false
53314,sd:state:south-kordofan,served_by,true
53315,sd:state:west-kordofan,served_by,true
53316,sd:state:south-kordofan,served_by,true
54411,sd:state:west-kordofan,served_by,true
54412,sd:state:west-kordofan,served_by,true
54413,sd:state:west-kordofan,served_by,true
54414,sd:state:west-kordofan,served_by,true
55512,sd:state:west-kordofan,served_by,true
61111,sd:state:north-darfur,served_by,true
61112,sd:state:north-darfur,served_by,true
61114,sd:state:north-darfur,served_by,true
61115,sd:state:west-darfur,served_by,true
62212,sd:state:west-darfur,served_by,true
63311,sd:state:south-darfur,served_by,true
63312,sd:state:south-darfur,served_by,true
63313,sd:state:south-darfur,served_by,true
63314,sd:state:west-darfur,served_by,true
