source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
se:county:blekinge,SE,county,Blekinge,,K,,1,,
se:county:dalarna,SE,county,Dalarna,,W,,1,,
se:county:gavleborg,SE,county,Gävleborg,,X,,1,,
se:county:gotland,SE,county,Gotland,,I,,1,,
se:county:halland,SE,county,Halland,,N,,1,,
se:county:jamtland,SE,county,Jämtland,,Z,,1,,
se:county:jonkoping,SE,county,Jönköping,,F,,1,,
se:county:kalmar,SE,county,Kalmar,,H,,1,,
se:county:kronoberg,SE,county,Kronoberg,,G,,1,,
se:county:norrbotten,SE,county,Norrbotten,,BD,,1,,
se:county:orebro,SE,county,Örebro,,T,,1,,
se:county:ostergotland,SE,county,Östergötland,,E,,1,,
se:county:skane,SE,county,Skåne,,M,,1,,
se:county:sodermanland,SE,county,Södermanland,,D,,1,,
se:county:stockholm,SE,county,Stockholm,,AB,,1,,
se:county:uppsala,SE,county,Uppsala,,C,,1,,
se:county:varmland,SE,county,Värmland,,S,,1,,
se:county:vasterbotten,SE,county,Västerbotten,,AC,,1,,
se:county:vasternorrland,SE,county,Västernorrland,,Y,,1,,
se:county:vastmanland,SE,county,Västmanland,,U,,1,,
se:county:vastra-gotaland,SE,county,Västra Götaland,,O,,1,,
