source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
sy:province:al-hasakah,SY,province,Al-Hasakah,,HA,,1,,
sy:province:al-raqqah,SY,province,Al-Raqqah,,RA,,1,,
sy:province:aleppo,SY,province,Aleppo,,HL,,1,,
sy:province:as-suwayda,SY,province,As-Suwayda,,SU,,1,,
sy:province:damascus,SY,province,Damascus,,DI,,1,,
sy:province:daraa,SY,province,Daraa,,DR,,1,,
sy:province:deir-ez-zor,SY,province,Deir ez-Zor,,DY,,1,,
sy:province:hama,SY,province,Hama,,HM,,1,,
sy:province:homs,SY,province,Homs,,HI,,1,,
sy:province:idlib,SY,province,Idlib,,ID,,1,,
sy:province:latakia,SY,province,Latakia,,LA,,1,,
sy:province:quneitra,SY,province,Quneitra,,QU,,1,,
sy:province:rif-dimashq,SY,province,Rif Dimashq,,RD,,1,,
sy:province:tartus,SY,province,Tartus,,TA,,1,,
