source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
tw:county:changhua,TW,county,Changhua,,CHA,,1,,
tw:city:chiayi,TW,city,Chiayi,,CYI,,1,,
tw:county:chiayi-county,TW,county,Chiayi County,,CYQ,,1,,
tw:county:hsinchu-county,TW,county,Hsinchu County,,HSQ,,1,,
tw:city:hsinchu,TW,city,Hsinchu,,HSZ,,1,,
tw:county:hualien,TW,county,Hualien,,HUA,,1,,
tw:county:yilan,TW,county,Yilan,,ILA,,1,,
tw:city:keelung,TW,city,Keelung,,KEE,,1,,
tw:special_municipality:kaohsiung,TW,special_municipality,Kaohsiung,,KHH,,1,,
tw:county:kinmen,TW,county,Kinmen,,KIN,,1,,
tw:county:lienchiang,TW,county,Lienchiang,,LIE,,1,,
tw:county:miaoli,TW,county,Miaoli,,MIA,,1,,
tw:county:nantou,TW,county,Nantou,,NAN,,1,,
tw:special_municipality:new-taipei,TW,special_municipality,New Taipei,,NWT,,1,,
tw:county:penghu,TW,county,Penghu,,PEN,,1,,
tw:county:pingtung,TW,county,Pingtung,,PIF,,1,,
tw:special_municipality:taoyuan,TW,special_municipality,Taoyuan,,TAO,,1,,
tw:special_municipality:tainan,TW,special_municipality,Tainan,,TNN,,1,,
tw:special_municipality:taipei,TW,special_municipality,Taipei,,TPE,,1,,
tw:county:taitung,TW,county,Taitung,,TTT,,1,,
tw:special_municipality:taichung,TW,special_municipality,Taichung,,TXG,,1,,
tw:county:yunlin,TW,county,Yunlin,,YUN,,1,,
tw:district:banqiao-district,TW,district,Banqiao District,板橋區,65000010,tw:special_municipality:new-taipei,2,,
tw:district:sanchong-district,TW,district,Sanchong District,三重區,65000020,tw:special_municipality:new-taipei,2,,
tw:district:zhonghe-district,TW,district,Zhonghe District,中和區,65000030,tw:special_municipality:new-taipei,2,,
tw:district:yonghe-district,TW,district,Yonghe District,永和區,65000040,tw:special_municipality:new-taipei,2,,
tw:district:xinzhuang-district,TW,district,Xinzhuang District,新莊區,65000050,tw:special_municipality:new-taipei,2,,
tw:district:xindian-district,TW,district,Xindian District,新店區,65000060,tw:special_municipality:new-taipei,2,,
tw:district:shulin-district,TW,district,Shulin District,樹林區,65000070,tw:special_municipality:new-taipei,2,,
tw:district:yingge-district,TW,district,Yingge District,鶯歌區,65000080,tw:special_municipality:new-taipei,2,,
tw:district:sanxia-district,TW,district,Sanxia District,三峽區,65000090,tw:special_municipality:new-taipei,2,,
tw:district:tamsui-district,TW,district,Tamsui District,淡水區,65000100,tw:special_municipality:new-taipei,2,,
tw:district:xizhi-district,TW,district,Xizhi District,汐止區,65000110,tw:special_municipality:new-taipei,2,,
tw:district:ruifang-district,TW,district,Ruifang District,瑞芳區,65000120,tw:special_municipality:new-taipei,2,,
tw:district:tucheng-district,TW,district,Tucheng District,土城區,65000130,tw:special_municipality:new-taipei,2,,
tw:district:luzhou-district,TW,district,Luzhou District,蘆洲區,65000140,tw:special_municipality:new-taipei,2,,
tw:district:wugu-district,TW,district,Wugu District,五股區,65000150,tw:special_municipality:new-taipei,2,,
tw:district:taishan-district,TW,district,Taishan District,泰山區,65000160,tw:special_municipality:new-taipei,2,,
tw:district:linkou-district,TW,district,Linkou District,林口區,65000170,tw:special_municipality:new-taipei,2,,
tw:district:shenkeng-district,TW,district,Shenkeng District,深坑區,65000180,tw:special_municipality:new-taipei,2,,
tw:district:shiding-district,TW,district,Shiding District,石碇區,65000190,tw:special_municipality:new-taipei,2,,
tw:district:pinglin-district,TW,district,Pinglin District,坪林區,65000200,tw:special_municipality:new-taipei,2,,
tw:district:sanzhi-district,TW,district,Sanzhi District,三芝區,65000210,tw:special_municipality:new-taipei,2,,
tw:district:shimen-district,TW,district,Shimen District,石門區,65000220,tw:special_municipality:new-taipei,2,,
tw:district:bali-district,TW,district,Bali District,八里區,65000230,tw:special_municipality:new-taipei,2,,
tw:district:pingxi-district,TW,district,Pingxi District,平溪區,65000240,tw:special_municipality:new-taipei,2,,
tw:district:shuangxi-district,TW,district,Shuangxi District,雙溪區,65000250,tw:special_municipality:new-taipei,2,,
tw:district:gongliao-district,TW,district,Gongliao District,貢寮區,65000260,tw:special_municipality:new-taipei,2,,
tw:district:jinshan-district,TW,district,Jinshan District,金山區,65000270,tw:special_municipality:new-taipei,2,,
tw:district:wanli-district,TW,district,Wanli District,萬里區,65000280,tw:special_municipality:new-taipei,2,,
tw:mountain_indigenous_district:wulai-district,TW,mountain_indigenous_district,Wulai District,烏來區,65000290,tw:special_municipality:new-taipei,2,,
tw:district:songshan-district,TW,district,Songshan District,松山區,63000010,tw:special_municipality:taipei,2,,
tw:district:xinyi-district,TW,district,Xinyi District,信義區,63000020,tw:special_municipality:taipei,2,,
tw:district:daan-district,TW,district,Daan District,大安區,63000030,tw:special_municipality:taipei,2,,
tw:district:zhongshan-district,TW,district,Zhongshan District,中山區,63000040,tw:special_municipality:taipei,2,,
tw:district:zhongzheng-district,TW,district,Zhongzheng District,中正區,63000050,tw:special_municipality:taipei,2,,
tw:district:datong-district,TW,district,Datong District,大同區,63000060,tw:special_municipality:taipei,2,,
tw:district:wanhua-district,TW,district,Wanhua District,萬華區,63000070,tw:special_municipality:taipei,2,,
tw:district:wenshan-district,TW,district,Wenshan District,文山區,63000080,tw:special_municipality:taipei,2,,
tw:district:nangang-district,TW,district,Nangang District,南港區,63000090,tw:special_municipality:taipei,2,,
tw:district:neihu-district,TW,district,Neihu District,內湖區,63000100,tw:special_municipality:taipei,2,,
tw:district:shilin-district,TW,district,Shilin District,士林區,63000110,tw:special_municipality:taipei,2,,
tw:district:beitou-district,TW,district,Beitou District,北投區,63000120,tw:special_municipality:taipei,2,,
tw:district:taoyuan-district,TW,district,Taoyuan District,桃園區,68000010,tw:special_municipality:taoyuan,2,,
tw:district:zhongli-district,TW,district,Zhongli District,中壢區,68000020,tw:special_municipality:taoyuan,2,,
tw:district:daxi-district,TW,district,Daxi District,大溪區,68000030,tw:special_municipality:taoyuan,2,,
tw:district:yangmei-district,TW,district,Yangmei District,楊梅區,68000040,tw:special_municipality:taoyuan,2,,
tw:district:luzhu-district,TW,district,Luzhu District,蘆竹區,68000050,tw:special_municipality:taoyuan,2,,
tw:district:dayuan-district,TW,district,Dayuan District,大園區,68000060,tw:special_municipality:taoyuan,2,,
tw:district:guishan-district,TW,district,Guishan District,龜山區,68000070,tw:special_municipality:taoyuan,2,,
tw:district:bade-district,TW,district,Bade District,八德區,68000080,tw:special_municipality:taoyuan,2,,
tw:district:longtan-district,TW,district,Longtan District,龍潭區,68000090,tw:special_municipality:taoyuan,2,,
