country_code,code
TH,10100
TH,10110
TH,10120
TH,10130
TH,10140
TH,10150
TH,10160
TH,10170
TH,10200
TH,10210
TH,10220
TH,10230
TH,10240
TH,10250
TH,10260
TH,10270
TH,10290
TH,10300
TH,10310
TH,10320
TH,10330
TH,10400
TH,10500
TH,10510
TH,10520
TH,10530
TH,10540
TH,10560
TH,10600
TH,10700
TH,10800
TH,11000
TH,11110
TH,11120
TH,11130
TH,11140
TH,11150
TH,12000
TH,12110
TH,12120
TH,12140
TH,12150
TH,12160
TH,12170
TH,13000
TH,13110
TH,13120
TH,13130
TH,13140
TH,13150
TH,13160
TH,13170
TH,13190
TH,13210
TH,13220
TH,13230
TH,13240
TH,13250
TH,13260
TH,13270
TH,14000
TH,14110
TH,14120
TH,14130
TH,14140
TH,14150
TH,14160
TH,15000
TH,15110
TH,15120
TH,15130
TH,15140
TH,15150
TH,15170
TH,15190
TH,15240
TH,15250
TH,16000
TH,16110
TH,16120
TH,16130
TH,16140
TH,16150
TH,17000
TH,17100
TH,17110
TH,17120
TH,17130
TH,17140
TH,17150
TH,18000
TH,18110
TH,18120
TH,18130
TH,18140
TH,18150
TH,18160
TH,18170
TH,18180
TH,18190
TH,18210
TH,18220
TH,20000
TH,20110
TH,20120
TH,20140
TH,20150
TH,20160
TH,20170
TH,20180
TH,20190
TH,20240
TH,20270
TH,21000
TH,21110
TH,21120
TH,21130
TH,21140
TH,21180
TH,21210
TH,22000
TH,22110
TH,22120
TH,22130
TH,22140
TH,22150
TH,22160
TH,22180
TH,22210
TH,23000
TH,23110
TH,23120
TH,23130
TH,23140
TH,24000
TH,24110
TH,24120
TH,24130
TH,24140
TH,24150
TH,24160
TH,24190
TH,25000
TH,25110
TH,25130
TH,25140
TH,25150
TH,25190
TH,25220
TH,26000
TH,26110
TH,26120
TH,26130
TH,27000
TH,27120
TH,27160
TH,27180
TH,27250
TH,27260
TH,30000
TH,30110
TH,30120
TH,30130
TH,30140
TH,30150
TH,30160
TH,30170
TH,30180
TH,30190
TH,30210
TH,30220
TH,30230
TH,30240
TH,30250
TH,30260
TH,30270
TH,30280
TH,30290
TH,30330
TH,30350
TH,30360
TH,30370
TH,30410
TH,30430
TH,30440
TH,31000
TH,31110
TH,31120
TH,31130
TH,31140
TH,31150
TH,31160
TH,31170
TH,31180
TH,31190
TH,31210
TH,31220
TH,31230
TH,31240
TH,31250
TH,31260
TH,33000
TH,33110
TH,33120
TH,33130
TH,33140
TH,33150
TH,33160
TH,33170
TH,33180
TH,33190
TH,33210
TH,33220
TH,33230
TH,33240
TH,33250
TH,33270
TH,34000
TH,34110
TH,34130
TH,34140
TH,34150
TH,34160
TH,34170
TH,34190
TH,34220
TH,34230
TH,34250
TH,34260
TH,34270
TH,34280
TH,34330
TH,34340
TH,34350
TH,34360
TH,35000
TH,35110
TH,35120
TH,35130
TH,35140
TH,35150
TH,35160
TH,35170
TH,36000
TH,36110
TH,36120
TH,36130
TH,36140
TH,36150
TH,36160
TH,36170
TH,36180
TH,36190
TH,36210
TH,36230
TH,36250
TH,36260
TH,37000
TH,37110
TH,37180
TH,37210
TH,37240
TH,37290
TH,39000
TH,39140
TH,39170
TH,39180
TH,39270
TH,40000
TH,40110
TH,40120
TH,40130
TH,40140
TH,40150
TH,40160
TH,40170
TH,40180
TH,40190
TH,40210
TH,40220
TH,40230
TH,40250
TH,40270
TH,40280
TH,40320
TH,40330
TH,40340
TH,40350
TH,41000
TH,41110
TH,41130
TH,41150
TH,41190
TH,41210
TH,41220
TH,41230
TH,41240
TH,41250
TH,41260
TH,41290
TH,41310
TH,41340
TH,41380
TH,42000
TH,42110
TH,42120
TH,42130
TH,42140
TH,42150
TH,42160
TH,42170
TH,42180
TH,42210
TH,42230
TH,42240
TH,43000
TH,43100
TH,43110
TH,43120
TH,43130
TH,43140
TH,43150
TH,43160
TH,43170
TH,43180
TH,43190
TH,43210
TH,43220
TH,44000
TH,44110
TH,44120
TH,44130
TH,44140
TH,44150
TH,44160
TH,44170
TH,44180
TH,44190
TH,44210
TH,45000
TH,45110
TH,45120
TH,45130
TH,45140
TH,45150
TH,45160
TH,45170
TH,45180
TH,45190
TH,45210
TH,45220
TH,45230
TH,45240
TH,45250
TH,46000
TH,46110
TH,46120
TH,46130
TH,46140
TH,46150
TH,46160
TH,46170
TH,46180
TH,46190
TH,46210
TH,46220
TH,46230
TH,46240
TH,47000
TH,47110
TH,47120
TH,47130
TH,47140
TH,47150
TH,47160
TH,47170
TH,47180
TH,47190
TH,47210
TH,47230
TH,47250
TH,47260
TH,47270
TH,47280
TH,47290
TH,48000
TH,48110
TH,48120
TH,48130
TH,48140
TH,48150
TH,48160
TH,48170
TH,48180
TH,48190
TH,49000
TH,49110
TH,49120
TH,49130
TH,49140
TH,49150
TH,49160
TH,50000
TH,50110
TH,50120
TH,50130
TH,50140
TH,50150
TH,50160
TH,50170
TH,50180
TH,50190
TH,50210
TH,50220
TH,50230
TH,50240
TH,50250
TH,50260
TH,50270
TH,50280
TH,50310
TH,50320
TH,50350
TH,50360
TH,51000
TH,51110
TH,51120
TH,51130
TH,51140
TH,51160
TH,51180
TH,52000
TH,52110
TH,52120
TH,52130
TH,52140
TH,52150
TH,52160
TH,52170
TH,52180
TH,52190
TH,52210
TH,52220
TH,52240
TH,53000
TH,53110
TH,53120
TH,53130
TH,53140
TH,53150
TH,53160
TH,53180
TH,53230
TH,54000
TH,54120
TH,54130
TH,54140
TH,54150
TH,54160
TH,54170
TH,55000
TH,55110
TH,55120
TH,55130
TH,55140
TH,55150
TH,55160
TH,55170
TH,55180
TH,55190
TH,55220
TH,56000
TH,56110
TH,56120
TH,56130
TH,56140
TH,56150
TH,56160
TH,57000
TH,57110
TH,57120
TH,57130
TH,57140
TH,57150
TH,57160
TH,57170
TH,57180
TH,57190
TH,57210
TH,57250
TH,57290
TH,57310
TH,57340
TH,58000
TH,58110
TH,58120
TH,58130
TH,58140
TH,58150
TH,60000
TH,60110
TH,60120
TH,60130
TH,60140
TH,60150
TH,60160
TH,60170
TH,60180
TH,60190
TH,60220
TH,60230
TH,61000
TH,61110
TH,61120
TH,61130
TH,61140
TH,61150
TH,61160
TH,61170
TH,62000
TH,62110
TH,62120
