source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
tl:municipality:aileu,TL,municipality,Aileu,,AL,,1,,
tl:municipality:ainaro,TL,municipality,Ainaro,,AN,,1,,
tl:municipality:baucau,TL,municipality,Baucau,,BA,,1,,
tl:municipality:bobonaro,TL,municipality,Bobonaro,,BO,,1,,
tl:municipality:cova-lima,TL,municipality,Cova Lima,,CO,,1,,
tl:municipality:dili,TL,municipality,Dili,,DI,,1,,
tl:municipality:ermera,TL,municipality,Ermera,,ER,,1,,
tl:municipality:lautem,TL,municipality,Lautém,,LA,,1,,
tl:municipality:liquica,TL,municipality,Liquiçá,,LI,,1,,
tl:municipality:manatuto,TL,municipality,Manatuto,,MT,,1,,
tl:municipality:manufahi,TL,municipality,Manufahi,,MF,,1,,
tl:special_administrative_region:oecusse,TL,special_administrative_region,Oecusse,,OE,,1,,
tl:municipality:viqueque,TL,municipality,Viqueque,,VI,,1,,
tl:municipality:atauro,TL,municipality,Atauro,,AT,,1,,
tl:administrative_post:aileu,TL,administrative_post,Aileu,,,tl:municipality:aileu,2,,
tl:administrative_post:laulara,TL,administrative_post,Laulara,,,tl:municipality:aileu,2,,
tl:administrative_post:lequidoe,TL,administrative_post,Lequidoe,,,tl:municipality:aileu,2,,
tl:administrative_post:remexio,TL,administrative_post,Remexio,,,tl:municipality:aileu,2,,
tl:administrative_post:ainaro,TL,administrative_post,Ainaro,,,tl:municipality:ainaro,2,,
tl:administrative_post:hato-udo,TL,administrative_post,Hato-Udo,,,tl:municipality:ainaro,2,,
tl:administrative_post:hato-builico,TL,administrative_post,Hato-Builico,,,tl:municipality:ainaro,2,,
tl:administrative_post:maubisse,TL,administrative_post,Maubisse,,,tl:municipality:ainaro,2,,
tl:administrative_post:baguia,TL,administrative_post,Baguia,,,tl:municipality:baucau,2,,
tl:administrative_post:baucau,TL,administrative_post,Baucau,,,tl:municipality:baucau,2,,
tl:administrative_post:laga,TL,administrative_post,Laga,,,tl:municipality:baucau,2,,
tl:administrative_post:matebian,TL,administrative_post,Matebian,,,tl:municipality:baucau,2,,
tl:administrative_post:quelicai,TL,administrative_post,Quelicai,,,tl:municipality:baucau,2,,
tl:administrative_post:quelicai-antiga,TL,administrative_post,Quelicai Antiga,,,tl:municipality:baucau,2,,
tl:administrative_post:vemasse,TL,administrative_post,Vemasse,,,tl:municipality:baucau,2,,
tl:administrative_post:venilale,TL,administrative_post,Venilale,,,tl:municipality:baucau,2,,
tl:administrative_post:atabae,TL,administrative_post,Atabae,,,tl:municipality:bobonaro,2,,
tl:administrative_post:balibo,TL,administrative_post,Balibó,,,tl:municipality:bobonaro,2,,
tl:administrative_post:bobonaro,TL,administrative_post,Bobonaro,,,tl:municipality:bobonaro,2,,
tl:administrative_post:cailaco,TL,administrative_post,Cailaco,,,tl:municipality:bobonaro,2,,
tl:administrative_post:lolotoe,TL,administrative_post,Lolotoe,,,tl:municipality:bobonaro,2,,
tl:administrative_post:maliana,TL,administrative_post,Maliana,,,tl:municipality:bobonaro,2,,
tl:administrative_post:fatululic,TL,administrative_post,Fatululic,,,tl:municipality:cova-lima,2,,
tl:administrative_post:fatumean,TL,administrative_post,Fatumean,,,tl:municipality:cova-lima,2,,
tl:administrative_post:fohorem,TL,administrative_post,Fohorem,,,tl:municipality:cova-lima,2,,
tl:administrative_post:maucatar,TL,administrative_post,Maucatar,,,tl:municipality:cova-lima,2,,
tl:administrative_post:suai,TL,administrative_post,Suai,,,tl:municipality:cova-lima,2,,
tl:administrative_post:tilomar,TL,administrative_post,Tilomar,,,tl:municipality:cova-lima,2,,
tl:administrative_post:zumalai,TL,administrative_post,Zumalai,,,tl:municipality:cova-lima,2,,
tl:administrative_post:cristo-rei,TL,administrative_post,Cristo Rei,,,tl:municipality:dili,2,,
tl:administrative_post:dom-aleixo,TL,administrative_post,Dom Aleixo,,,tl:municipality:dili,2,,
tl:administrative_post:metinaro,TL,administrative_post,Metinaro,,,tl:municipality:dili,2,,
tl:administrative_post:nain-feto,TL,administrative_post,Nain Feto,,,tl:municipality:dili,2,,
tl:administrative_post:vera-cruz,TL,administrative_post,Vera Cruz,,,tl:municipality:dili,2,,
tl:administrative_post:atsabe,TL,administrative_post,Atsabe,,,tl:municipality:ermera,2,,
tl:administrative_post:ermera,TL,administrative_post,Ermera,,,tl:municipality:ermera,2,,
tl:administrative_post:hatolia,TL,administrative_post,Hatólia,,,tl:municipality:ermera,2,,
tl:administrative_post:letefoho,TL,administrative_post,Letefoho,,,tl:municipality:ermera,2,,
tl:administrative_post:railaco,TL,administrative_post,Railaco,,,tl:municipality:ermera,2,,
tl:administrative_post:iliomar,TL,administrative_post,Iliomar,,,tl:municipality:lautem,2,,
tl:administrative_post:lautem,TL,administrative_post,Lautém,,,tl:municipality:lautem,2,,
tl:administrative_post:lospalos,TL,administrative_post,Lospalos,,,tl:municipality:lautem,2,,
tl:administrative_post:luro,TL,administrative_post,Luro,,,tl:municipality:lautem,2,,
tl:administrative_post:tutuala,TL,administrative_post,Tutuala,,,tl:municipality:lautem,2,,
tl:administrative_post:bazartete,TL,administrative_post,Bazartete,,,tl:municipality:liquica,2,,
tl:administrative_post:liquica,TL,administrative_post,Liquiçá,,,tl:municipality:liquica,2,,
tl:administrative_post:loes,TL,administrative_post,Loes,,,tl:municipality:liquica,2,,
tl:administrative_post:maubara,TL,administrative_post,Maubara,,,tl:municipality:liquica,2,,
tl:administrative_post:barique,TL,administrative_post,Barique,,,tl:municipality:manatuto,2,,
tl:administrative_post:laclo,TL,administrative_post,Laclo,,,tl:municipality:manatuto,2,,
tl:administrative_post:laclubar,TL,administrative_post,Laclubar,,,tl:municipality:manatuto,2,,
tl:administrative_post:laleia,TL,administrative_post,Laleia,,,tl:municipality:manatuto,2,,
tl:administrative_post:manatuto,TL,administrative_post,Manatuto,,,tl:municipality:manatuto,2,,
tl:administrative_post:soibada,TL,administrative_post,Soibada,,,tl:municipality:manatuto,2,,
tl:administrative_post:alas,TL,administrative_post,Alas,,,tl:municipality:manufahi,2,,
tl:administrative_post:fatuberlio,TL,administrative_post,Fatuberlio,,,tl:municipality:manufahi,2,,
tl:administrative_post:same,TL,administrative_post,Same,,,tl:municipality:manufahi,2,,
tl:administrative_post:turiscai,TL,administrative_post,Turiscai,,,tl:municipality:manufahi,2,,
tl:administrative_post:nitibe,TL,administrative_post,Nitibe,,,tl:special_administrative_region:oecusse,2,,
tl:administrative_post:oesilo,TL,administrative_post,Oesilo,,,tl:special_administrative_region:oecusse,2,,
tl:administrative_post:pante-macassar,TL,administrative_post,Pante Macassar,,,tl:special_administrative_region:oecusse,2,,
tl:administrative_post:passabe,TL,administrative_post,Passabe,,,tl:special_administrative_region:oecusse,2,,
tl:administrative_post:lacluta,TL,administrative_post,Lacluta,,,tl:municipality:viqueque,2,,
tl:administrative_post:ossu,TL,administrative_post,Ossu,,,tl:municipality:viqueque,2,,
tl:administrative_post:uato-lari,TL,administrative_post,Uato-Lari,,,tl:municipality:viqueque,2,,
tl:administrative_post:uatucarbau,TL,administrative_post,Uatucarbau,,,tl:municipality:viqueque,2,,
tl:administrative_post:viqueque,TL,administrative_post,Viqueque,,,tl:municipality:viqueque,2,,
