source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
to:division:haapai,TO,division,Haʻapai,,02,,1,,
to:division:eua,TO,division,ʻEua,,01,,1,,
to:division:niuas,TO,division,Niuas,,03,,1,,
to:division:tongatapu,TO,division,Tongatapu,,04,,1,,
to:division:vavau,TO,division,Vavaʻu,,05,,1,,
to:district:kolofoou,TO,district,Kolofoʻou,,TO-041,to:division:tongatapu,2,,
to:district:kolomotua,TO,district,Kolomotuʻa,,TO-042,to:division:tongatapu,2,,
to:district:vaini,TO,district,Vaini,,TO-043,to:division:tongatapu,2,,
to:district:tatakamotonga,TO,district,Tatakamotonga,,TO-044,to:division:tongatapu,2,,
to:district:lapaha,TO,district,Lapaha,,TO-045,to:division:tongatapu,2,,
to:district:nukunuku,TO,district,Nukunuku,,TO-046,to:division:tongatapu,2,,
to:district:kolovai,TO,district,Kolovai,,TO-047,to:division:tongatapu,2,,
to:district:neiafu,TO,district,Neiafu,,TO-051,to:division:vavau,2,,
to:district:pangaimotu,TO,district,Pangaimotu,,TO-052,to:division:vavau,2,,
to:district:hahake,TO,district,Hahake,,TO-053,to:division:vavau,2,,
to:district:leimatua,TO,district,Leimatuʻa,,TO-054,to:division:vavau,2,,
to:district:hihifo,TO,district,Hihifo,,TO-055,to:division:vavau,2,,
to:district:motu,TO,district,Motu,,TO-056,to:division:vavau,2,,
to:district:lifuka,TO,district,Lifuka,,TO-021,to:division:haapai,2,,
to:district:foa,TO,district,Foa,,TO-022,to:division:haapai,2,,
to:district:lulunga,TO,district,Lulunga,,TO-023,to:division:haapai,2,,
to:district:muomua,TO,district,Muʻomuʻa,,TO-024,to:division:haapai,2,,
to:district:haano,TO,district,Haʻano,,TO-025,to:division:haapai,2,,
to:district:uiha,TO,district,ʻUiha,,TO-026,to:division:haapai,2,,
to:district:eua-motua,TO,district,ʻEua Motuʻa,,TO-011,to:division:eua,2,,
to:district:eua-foou,TO,district,ʻEua Foʻou,,TO-012,to:division:eua,2,,
to:district:niua-toputapu,TO,district,Niua Toputapu,,TO-031,to:division:niuas,2,,
to:district:niua-foou,TO,district,Niua Foʻou,,TO-032,to:division:niuas,2,,
