source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
tt:borough:arima,TT,borough,Arima,,ARI,,1,,
tt:borough:chaguanas,TT,borough,Chaguanas,,CHA,,1,,
tt:region:couva-tabaquite-talparo,TT,region,Couva-Tabaquite-Talparo,,CTT,,1,,
tt:region:diego-martin,TT,region,Diego Martin,,DMN,,1,,
tt:region:mayaro-rio-claro,TT,region,Mayaro-Rio Claro,,MRC,,1,,
tt:region:penal-debe,TT,region,Penal-Debe,,PED,,1,,
tt:borough:point-fortin,TT,borough,Point Fortin,,PTF,,1,,
tt:city:port-of-spain,TT,city,Port of Spain,,POS,,1,,
tt:region:princes-town,TT,region,Princes Town,,PRT,,1,,
tt:region:san-fernando,TT,region,San Fernando,,SFO,,1,,
tt:region:san-juan-laventille,TT,region,San Juan-Laventille,,SJL,,1,,
tt:region:sangre-grande,TT,region,Sangre Grande,,SGE,,1,,
tt:region:siparia,TT,region,Siparia,,SIP,,1,,
tt:ward:tobago,TT,ward,Tobago,,TOB,,1,,
tt:region:tunapuna-piarco,TT,region,Tunapuna-Piarco,,TUP,,1,,
