source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
tn:governorate:ariana,TN,governorate,Ariana,,12,,1,,
tn:governorate:beja,TN,governorate,Béja,,31,,1,,
tn:governorate:ben-arous,TN,governorate,Ben Arous,,13,,1,,
tn:governorate:bizerte,TN,governorate,Bizerte,,23,,1,,
tn:governorate:gabes,TN,governorate,Gabès,,81,,1,,
tn:governorate:gafsa,TN,governorate,Gafsa,,71,,1,,
tn:governorate:jendouba,TN,governorate,Jendouba,,32,,1,,
tn:governorate:kairouan,TN,governorate,Kairouan,,41,,1,,
tn:governorate:kasserine,TN,governorate,Kasserine,,42,,1,,
tn:governorate:kebili,TN,governorate,Kebili,,73,,1,,
tn:governorate:kef,TN,governorate,Kef,,33,,1,,
tn:governorate:mahdia,TN,governorate,Mahdia,,53,,1,,
tn:governorate:manouba,TN,governorate,Manouba,,14,,1,,
tn:governorate:medenine,TN,governorate,Medenine,,82,,1,,
tn:governorate:monastir,TN,governorate,Monastir,,52,,1,,
tn:governorate:nabeul,TN,governorate,Nabeul,,21,,1,,
tn:governorate:sfax,TN,governorate,Sfax,,61,,1,,
tn:governorate:sidi-bouzid,TN,governorate,Sidi Bouzid,,43,,1,,
tn:governorate:siliana,TN,governorate,Siliana,,34,,1,,
tn:governorate:sousse,TN,governorate,Sousse,,51,,1,,
tn:governorate:tataouine,TN,governorate,Tataouine,,83,,1,,
tn:governorate:tozeur,TN,governorate,Tozeur,,72,,1,,
tn:governorate:tunis,TN,governorate,Tunis,,11,,1,,
tn:governorate:zaghouan,TN,governorate,Zaghouan,,22,,1,,
tn:delegation:ariana-ville,TN,delegation,Ariana Ville,,,tn:governorate:ariana,2,,
tn:delegation:cite-ettadhamen,TN,delegation,Cité Ettadhamen,,,tn:governorate:ariana,2,,
tn:delegation:kalaat-el-andalous,TN,delegation,Kalâat El Andalous,,,tn:governorate:ariana,2,,
tn:delegation:la-soukra,TN,delegation,La Soukra,,,tn:governorate:ariana,2,,
tn:delegation:mnihla,TN,delegation,Mnihla,,,tn:governorate:ariana,2,,
tn:delegation:raoued,TN,delegation,Raoued,,,tn:governorate:ariana,2,,
tn:delegation:sidi-thabet,TN,delegation,Sidi Thabet,,,tn:governorate:ariana,2,,
tn:delegation:amdoun,TN,delegation,Amdoun,,,tn:governorate:beja,2,,
tn:delegation:beja-nord,TN,delegation,Béja Nord,,,tn:governorate:beja,2,,
tn:delegation:beja-sud,TN,delegation,Béja Sud,,,tn:governorate:beja,2,,
tn:delegation:goubellat,TN,delegation,Goubellat,,,tn:governorate:beja,2,,
tn:delegation:medjez-el-bab,TN,delegation,Medjez El Bab,,,tn:governorate:beja,2,,
tn:delegation:nefza,TN,delegation,Nefza,,,tn:governorate:beja,2,,
tn:delegation:teboursouk,TN,delegation,Téboursouk,,,tn:governorate:beja,2,,
tn:delegation:testour,TN,delegation,Testour,,,tn:governorate:beja,2,,
tn:delegation:thibar,TN,delegation,Thibar,,,tn:governorate:beja,2,,
tn:delegation:ben-arous,TN,delegation,Ben Arous,,,tn:governorate:ben-arous,2,,
tn:delegation:bou-mhel-el-bassatine,TN,delegation,Bou Mhel El Bassatine,,,tn:governorate:ben-arous,2,,
tn:delegation:el-mourouj,TN,delegation,El Mourouj,,,tn:governorate:ben-arous,2,,
tn:delegation:ezzahra,TN,delegation,Ezzahra,,,tn:governorate:ben-arous,2,,
tn:delegation:fouchana,TN,delegation,Fouchana,,,tn:governorate:ben-arous,2,,
tn:delegation:hammam-chott,TN,delegation,Hammam Chott,,,tn:governorate:ben-arous,2,,
tn:delegation:hammam-lif,TN,delegation,Hammam Lif,,,tn:governorate:ben-arous,2,,
tn:delegation:medina-jedida,TN,delegation,Medina Jedida,,,tn:governorate:ben-arous,2,,
tn:delegation:megrine,TN,delegation,Mégrine,,,tn:governorate:ben-arous,2,,
tn:delegation:mohamedia,TN,delegation,Mohamedia,,,tn:governorate:ben-arous,2,,
tn:delegation:mornag,TN,delegation,Mornag,,,tn:governorate:ben-arous,2,,
tn:delegation:rades,TN,delegation,Radès,,,tn:governorate:ben-arous,2,,
