source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
tr:province:adana,TR,province,Adana,,01,,1,,
tr:province:adyaman,TR,province,Adıyaman,,02,,1,,
tr:province:afyonkarahisar,TR,province,Afyonkarahisar,,03,,1,,
tr:province:agr,TR,province,Ağrı,,04,,1,,
tr:province:amasya,TR,province,Amasya,,05,,1,,
tr:province:ankara,TR,province,Ankara,,06,,1,,
tr:province:antalya,TR,province,Antalya,,07,,1,,
tr:province:artvin,TR,province,Artvin,,08,,1,,
tr:province:aydn,TR,province,Aydın,,09,,1,,
tr:province:balkesir,TR,province,Balıkesir,,10,,1,,
tr:province:bilecik,TR,province,Bilecik,,11,,1,,
tr:province:bingol,TR,province,Bingöl,,12,,1,,
tr:province:bitlis,TR,province,Bitlis,,13,,1,,
tr:province:bolu,TR,province,Bolu,,14,,1,,
tr:province:burdur,TR,province,Burdur,,15,,1,,
tr:province:bursa,TR,province,Bursa,,16,,1,,
tr:province:canakkale,TR,province,Çanakkale,,17,,1,,
tr:province:cankr,TR,province,Çankırı,,18,,1,,
tr:province:corum,TR,province,Çorum,,19,,1,,
tr:province:denizli,TR,province,Denizli,,20,,1,,
tr:province:diyarbakr,TR,province,Diyarbakır,,21,,1,,
tr:province:edirne,TR,province,Edirne,,22,,1,,
tr:province:elazg,TR,province,Elazığ,,23,,1,,
tr:province:erzincan,TR,province,Erzincan,,24,,1,,
tr:province:erzurum,TR,province,Erzurum,,25,,1,,
tr:province:eskisehir,TR,province,Eskişehir,,26,,1,,
tr:province:gaziantep,TR,province,Gaziantep,,27,,1,,
tr:province:giresun,TR,province,Giresun,,28,,1,,
tr:province:gumushane,TR,province,Gümüşhane,,29,,1,,
tr:province:hakkari,TR,province,Hakkâri,,30,,1,,
tr:province:hatay,TR,province,Hatay,,31,,1,,
tr:province:isparta,TR,province,Isparta,,32,,1,,
tr:province:mersin,TR,province,Mersin,,33,,1,,
tr:province:istanbul,TR,province,İstanbul,,34,,1,,
tr:province:izmir,TR,province,İzmir,,35,,1,,
tr:province:kars,TR,province,Kars,,36,,1,,
tr:province:kastamonu,TR,province,Kastamonu,,37,,1,,
tr:province:kayseri,TR,province,Kayseri,,38,,1,,
tr:province:krklareli,TR,province,Kırklareli,,39,,1,,
tr:province:krsehir,TR,province,Kırşehir,,40,,1,,
tr:province:kocaeli,TR,province,Kocaeli,,41,,1,,
tr:province:konya,TR,province,Konya,,42,,1,,
tr:province:kutahya,TR,province,Kütahya,,43,,1,,
tr:province:malatya,TR,province,Malatya,,44,,1,,
tr:province:manisa,TR,province,Manisa,,45,,1,,
tr:province:kahramanmaras,TR,province,Kahramanmaraş,,46,,1,,
tr:province:mardin,TR,province,Mardin,,47,,1,,
tr:province:mugla,TR,province,Muğla,,48,,1,,
tr:province:mus,TR,province,Muş,,49,,1,,
tr:province:nevsehir,TR,province,Nevşehir,,50,,1,,
tr:province:nigde,TR,province,Niğde,,51,,1,,
tr:province:ordu,TR,province,Ordu,,52,,1,,
tr:province:rize,TR,province,Rize,,53,,1,,
tr:province:sakarya,TR,province,Sakarya,,54,,1,,
tr:province:samsun,TR,province,Samsun,,55,,1,,
tr:province:siirt,TR,province,Siirt,,56,,1,,
tr:province:sinop,TR,province,Sinop,,57,,1,,
tr:province:sivas,TR,province,Sivas,,58,,1,,
tr:province:tekirdag,TR,province,Tekirdağ,,59,,1,,
tr:province:tokat,TR,province,Tokat,,60,,1,,
tr:province:trabzon,TR,province,Trabzon,,61,,1,,
tr:province:tunceli,TR,province,Tunceli,,62,,1,,
tr:province:sanlurfa,TR,province,Şanlıurfa,,63,,1,,
tr:province:usak,TR,province,Uşak,,64,,1,,
tr:province:van,TR,province,Van,,65,,1,,
tr:province:yozgat,TR,province,Yozgat,,66,,1,,
tr:province:zonguldak,TR,province,Zonguldak,,67,,1,,
tr:province:aksaray,TR,province,Aksaray,,68,,1,,
tr:province:bayburt,TR,province,Bayburt,,69,,1,,
tr:province:karaman,TR,province,Karaman,,70,,1,,
tr:province:krkkale,TR,province,Kırıkkale,,71,,1,,
tr:province:batman,TR,province,Batman,,72,,1,,
tr:province:srnak,TR,province,Şırnak,,73,,1,,
tr:province:bartn,TR,province,Bartın,,74,,1,,
tr:province:ardahan,TR,province,Ardahan,,75,,1,,
tr:province:igdr,TR,province,Iğdır,,76,,1,,
tr:province:yalova,TR,province,Yalova,,77,,1,,
tr:province:karabuk,TR,province,Karabük,,78,,1,,
tr:province:kilis,TR,province,Kilis,,79,,1,,
tr:province:osmaniye,TR,province,Osmaniye,,80,,1,,
tr:province:duzce,TR,province,Düzce,,81,,1,,
tr:district:adana:aladag,TR,district,Aladağ,,,tr:province:adana,2,,
tr:district:adana:ceyhan,TR,district,Ceyhan,,,tr:province:adana,2,,
tr:district:adana:cukurova,TR,district,Çukurova,,,tr:province:adana,2,,
tr:district:adana:feke,TR,district,Feke,,,tr:province:adana,2,,
tr:district:adana:imamoglu,TR,district,İmamoğlu,,,tr:province:adana,2,,
tr:district:adana:karaisal,TR,district,Karaisalı,,,tr:province:adana,2,,
tr:district:adana:karatas,TR,district,Karataş,,,tr:province:adana,2,,
tr:district:adana:kozan,TR,district,Kozan,,,tr:province:adana,2,,
tr:district:adana:pozant,TR,district,Pozantı,,,tr:province:adana,2,,
tr:district:adana:saimbeyli,TR,district,Saimbeyli,,,tr:province:adana,2,,
tr:district:adana:sarcam,TR,district,Sarıçam,,,tr:province:adana,2,,
tr:district:adana:seyhan,TR,district,Seyhan,,,tr:province:adana,2,,
tr:district:adana:tufanbeyli,TR,district,Tufanbeyli,,,tr:province:adana,2,,
tr:district:adana:yumurtalk,TR,district,Yumurtalık,,,tr:province:adana,2,,
tr:district:adana:yuregir,TR,district,Yüreğir,,,tr:province:adana,2,,
tr:district:adyaman:besni,TR,district,Besni,,,tr:province:adyaman,2,,
tr:district:adyaman:celikhan,TR,district,Çelikhan,,,tr:province:adyaman,2,,
tr:district:adyaman:gerger,TR,district,Gerger,,,tr:province:adyaman,2,,
tr:district:adyaman:golbas,TR,district,Gölbaşı,,,tr:province:adyaman,2,,
tr:district:adyaman:kahta,TR,district,Kâhta,,,tr:province:adyaman,2,,
tr:district:adyaman:merkez,TR,district,Merkez,,,tr:province:adyaman,2,,
tr:district:adyaman:samsat,TR,district,Samsat,,,tr:province:adyaman,2,,
tr:district:adyaman:sincik,TR,district,Sincik,,,tr:province:adyaman,2,,
tr:district:adyaman:tut,TR,district,Tut,,,tr:province:adyaman,2,,
tr:district:afyonkarahisar:basmakc,TR,district,Başmakçı,,,tr:province:afyonkarahisar,2,,
tr:district:afyonkarahisar:bayat,TR,district,Bayat,,,tr:province:afyonkarahisar,2,,
tr:district:afyonkarahisar:bolvadin,TR,district,Bolvadin,,,tr:province:afyonkarahisar,2,,
tr:district:afyonkarahisar:cay,TR,district,Çay,,,tr:province:afyonkarahisar,2,,
tr:district:afyonkarahisar:cobanlar,TR,district,Çobanlar,,,tr:province:afyonkarahisar,2,,
tr:district:afyonkarahisar:dazkr,TR,district,Dazkırı,,,tr:province:afyonkarahisar,2,,
tr:district:afyonkarahisar:dinar,TR,district,Dinar,,,tr:province:afyonkarahisar,2,,
tr:district:afyonkarahisar:emirdag,TR,district,Emirdağ,,,tr:province:afyonkarahisar,2,,
tr:district:afyonkarahisar:evciler,TR,district,Evciler,,,tr:province:afyonkarahisar,2,,
tr:district:afyonkarahisar:hocalar,TR,district,Hocalar,,,tr:province:afyonkarahisar,2,,
tr:district:afyonkarahisar:ihsaniye,TR,district,İhsaniye,,,tr:province:afyonkarahisar,2,,
tr:district:afyonkarahisar:iscehisar,TR,district,İscehisar,,,tr:province:afyonkarahisar,2,,
tr:district:afyonkarahisar:kzloren,TR,district,Kızılören,,,tr:province:afyonkarahisar,2,,
tr:district:afyonkarahisar:merkez,TR,district,Merkez,,,tr:province:afyonkarahisar,2,,
tr:district:afyonkarahisar:sandkl,TR,district,Sandıklı,,,tr:province:afyonkarahisar,2,,
tr:district:afyonkarahisar:sinanpasa,TR,district,Sinanpaşa,,,tr:province:afyonkarahisar,2,,
tr:district:afyonkarahisar:sultandag,TR,district,Sultandağı,,,tr:province:afyonkarahisar,2,,
tr:district:afyonkarahisar:suhut,TR,district,Şuhut,,,tr:province:afyonkarahisar,2,,
tr:district:agr:diyadin,TR,district,Diyadin,,,tr:province:agr,2,,
tr:district:agr:dogubayazt,TR,district,Doğubayazıt,,,tr:province:agr,2,,
tr:district:agr:eleskirt,TR,district,Eleşkirt,,,tr:province:agr,2,,
tr:district:agr:hamur,TR,district,Hamur,,,tr:province:agr,2,,
tr:district:agr:merkez,TR,district,Merkez,,,tr:province:agr,2,,
tr:district:agr:patnos,TR,district,Patnos,,,tr:province:agr,2,,
tr:district:agr:taslcay,TR,district,Taşlıçay,,,tr:province:agr,2,,
tr:district:agr:tutak,TR,district,Tutak,,,tr:province:agr,2,,
tr:district:amasya:goynucek,TR,district,Göynücek,,,tr:province:amasya,2,,
tr:district:amasya:gumushackoy,TR,district,Gümüşhacıköy,,,tr:province:amasya,2,,
tr:district:amasya:hamamozu,TR,district,Hamamözü,,,tr:province:amasya,2,,
tr:district:amasya:merkez,TR,district,Merkez,,,tr:province:amasya,2,,
tr:district:amasya:merzifon,TR,district,Merzifon,,,tr:province:amasya,2,,
tr:district:amasya:suluova,TR,district,Suluova,,,tr:province:amasya,2,,
tr:district:amasya:tasova,TR,district,Taşova,,,tr:province:amasya,2,,
tr:district:ankara:akyurt,TR,district,Akyurt,,,tr:province:ankara,2,,
tr:district:ankara:altndag,TR,district,Altındağ,,,tr:province:ankara,2,,
tr:district:ankara:ayas,TR,district,Ayaş,,,tr:province:ankara,2,,
tr:district:ankara:bala,TR,district,Balâ,,,tr:province:ankara,2,,
tr:district:ankara:beypazar,TR,district,Beypazarı,,,tr:province:ankara,2,,
tr:district:ankara:camldere,TR,district,Çamlıdere,,,tr:province:ankara,2,,
tr:district:ankara:cankaya,TR,district,Çankaya,,,tr:province:ankara,2,,
tr:district:ankara:cubuk,TR,district,Çubuk,,,tr:province:ankara,2,,
tr:district:ankara:elmadag,TR,district,Elmadağ,,,tr:province:ankara,2,,
tr:district:ankara:etimesgut,TR,district,Etimesgut,,,tr:province:ankara,2,,
tr:district:ankara:evren,TR,district,Evren,,,tr:province:ankara,2,,
tr:district:ankara:golbas,TR,district,Gölbaşı,,,tr:province:ankara,2,,
tr:district:ankara:gudul,TR,district,Güdül,,,tr:province:ankara,2,,
tr:district:ankara:haymana,TR,district,Haymana,,,tr:province:ankara,2,,
tr:district:ankara:kahramankazan,TR,district,Kahramankazan,,,tr:province:ankara,2,,
tr:district:ankara:kalecik,TR,district,Kalecik,,,tr:province:ankara,2,,
tr:district:ankara:kecioren,TR,district,Keçiören,,,tr:province:ankara,2,,
tr:district:ankara:kzlcahamam,TR,district,Kızılcahamam,,,tr:province:ankara,2,,
tr:district:ankara:mamak,TR,district,Mamak,,,tr:province:ankara,2,,
tr:district:ankara:nallhan,TR,district,Nallıhan,,,tr:province:ankara,2,,
tr:district:ankara:polatl,TR,district,Polatlı,,,tr:province:ankara,2,,
tr:district:ankara:pursaklar,TR,district,Pursaklar,,,tr:province:ankara,2,,
tr:district:ankara:sincan,TR,district,Sincan,,,tr:province:ankara,2,,
tr:district:ankara:sereflikochisar,TR,district,Şereflikoçhisar,,,tr:province:ankara,2,,
tr:district:ankara:yenimahalle,TR,district,Yenimahalle,,,tr:province:ankara,2,,
tr:district:antalya:akseki,TR,district,Akseki,,,tr:province:antalya,2,,
tr:district:antalya:aksu,TR,district,Aksu,,,tr:province:antalya,2,,
tr:district:antalya:alanya,TR,district,Alanya,,,tr:province:antalya,2,,
tr:district:antalya:demre,TR,district,Demre,,,tr:province:antalya,2,,
tr:district:antalya:dosemealt,TR,district,Döşemealtı,,,tr:province:antalya,2,,
tr:district:antalya:elmal,TR,district,Elmalı,,,tr:province:antalya,2,,
tr:district:antalya:finike,TR,district,Finike,,,tr:province:antalya,2,,
tr:district:antalya:gazipasa,TR,district,Gazipaşa,,,tr:province:antalya,2,,
tr:district:antalya:gundogmus,TR,district,Gündoğmuş,,,tr:province:antalya,2,,
tr:district:antalya:ibrad,TR,district,İbradı,,,tr:province:antalya,2,,
tr:district:antalya:kas,TR,district,Kaş,,,tr:province:antalya,2,,
tr:district:antalya:kemer,TR,district,Kemer,,,tr:province:antalya,2,,
tr:district:antalya:kepez,TR,district,Kepez,,,tr:province:antalya,2,,
tr:district:antalya:konyaalt,TR,district,Konyaaltı,,,tr:province:antalya,2,,
tr:district:antalya:korkuteli,TR,district,Korkuteli,,,tr:province:antalya,2,,
