postcode,area_source_id,relationship_type,is_primary
744000,tm:district:berkararlyk,served_by,true
744000,tm:district:bagtyyarlyk,served_by,false
744000,tm:district:buzmeyin,served_by,false
744000,tm:district:kopetdag,served_by,false
745000,tm:district:turkmenbasy,served_by,true
745000,tm:district:balkan:turkmenbasy,served_by,false
745039,tm:district:balkanabat,served_by,true
745100,tm:district:balkanabat,served_by,true
745100,tm:district:balkan:turkmenbasy,served_by,false
745130,tm:district:bereket,served_by,true
745130,tm:district:balkan:turkmenbasy,served_by,false
745150,tm:district:gyzylarbat,served_by,true
745150,tm:district:bereket,served_by,false
745160,tm:district:magtymguly,served_by,true
745180,tm:district:baherden,served_by,true
745190,tm:district:gokdepe,served_by,true
745200,tm:district:gokdepe,served_by,true
745200,tm:district:ak-bugday,served_by,false
745205,tm:district:ak-bugday,served_by,true
745205,tm:district:kaka,served_by,false
745220,tm:district:buzmeyin,served_by,true
745220,tm:district:arkadag,served_by,false
745240,tm:district:esenguly,served_by,true
745240,tm:district:etrek,served_by,false
745250,tm:district:sarahs,served_by,true
745340,tm:district:kaka,served_by,true
745360,tm:district:tejen,served_by,true
745360,tm:district:altyn-asyr,served_by,false
745380,tm:district:babadayhan,served_by,true
745400,tm:district:murgap,served_by,true
745400,tm:district:wekilbazar,served_by,false
745405,tm:district:garagum,served_by,true
745405,tm:district:mary,served_by,false
745420,tm:district:sakarcage,served_by,true
745420,tm:district:oguzhan,served_by,false
745420,tm:district:mary:mary,served_by,false
745430,tm:district:turkmengala,served_by,true
745430,tm:district:mary:bayramaly,served_by,false
745450,tm:district:murgap,served_by,true
746000,tm:district:bayramaly,served_by,true
746000,tm:district:mary:bayramaly,served_by,false
746070,tm:district:farap,served_by,true
746100,tm:district:turkmenabat,served_by,true
746120,tm:district:carjew,served_by,true
746134,tm:district:sayat,served_by,true
746140,tm:district:garabekewul,served_by,true
746150,tm:district:hojambaz,served_by,true
746200,tm:district:danew,served_by,true
746222,tm:district:danew,served_by,true
746222,tm:district:farap,served_by,false
746240,tm:district:darganata,served_by,true
746270,tm:district:darganata,served_by,true
746300,tm:district:dasoguz,served_by,true
746300,tm:district:boldumsaz,served_by,false
746320,tm:district:akdepe,served_by,true
746340,tm:district:akdepe,served_by,true
746350,tm:district:koneurgenc,served_by,true
746363,tm:district:koneurgenc,served_by,true
746370,tm:district:saparmyrat-turkmenbasy,served_by,true
746380,tm:district:gorogly,served_by,true
746400,tm:district:yoloten,served_by,true
746400,tm:district:tagtabazar,served_by,false
746420,tm:district:yoloten,served_by,true
746520,tm:district:tagtabazar,served_by,true
746570,tm:district:tagtabazar,served_by,true
746613,tm:district:kerki,served_by,true
746613,tm:district:dowletli,served_by,false
746620,tm:district:kerki,served_by,true
746632,tm:district:halac,served_by,true
746632,tm:district:hojambaz,served_by,false
746632,tm:district:sayat,served_by,false
746670,tm:district:koytendag,served_by,true
746680,tm:district:koytendag,served_by,true
