source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
ug:region:central,UG,region,Central,,C,,1,,
ug:region:eastern,UG,region,Eastern,,E,,1,,
ug:region:northern,UG,region,Northern,,N,,1,,
ug:region:western,UG,region,Western,,W,,1,,
ug:district:buikwe,UG,district,Buikwe,,,ug:region:central,2,,
ug:district:bukomansimbi,UG,district,Bukomansimbi,,,ug:region:central,2,,
ug:district:butambala,UG,district,Butambala,,,ug:region:central,2,,
ug:district:buvuma,UG,district,Buvuma,,,ug:region:central,2,,
ug:district:gomba,UG,district,Gomba,,,ug:region:central,2,,
ug:district:kalangala,UG,district,Kalangala,,,ug:region:central,2,,
ug:district:kalungu,UG,district,Kalungu,,,ug:region:central,2,,
ug:city:kampala,UG,city,Kampala,,,ug:region:central,2,,
ug:district:kasanda,UG,district,Kasanda,,,ug:region:central,2,,
ug:district:kayunga,UG,district,Kayunga,,,ug:region:central,2,,
ug:district:kiboga,UG,district,Kiboga,,,ug:region:central,2,,
ug:district:kyankwanzi,UG,district,Kyankwanzi,,,ug:region:central,2,,
ug:district:kyotera,UG,district,Kyotera,,,ug:region:central,2,,
ug:district:luweero,UG,district,Luweero,,,ug:region:central,2,,
ug:district:lwengo,UG,district,Lwengo,,,ug:region:central,2,,
ug:district:lyantonde,UG,district,Lyantonde,,,ug:region:central,2,,
ug:district:masaka,UG,district,Masaka,,,ug:region:central,2,,
ug:district:mityana,UG,district,Mityana,,,ug:region:central,2,,
ug:district:mpigi,UG,district,Mpigi,,,ug:region:central,2,,
ug:district:mubende,UG,district,Mubende,,,ug:region:central,2,,
ug:district:mukono,UG,district,Mukono,,,ug:region:central,2,,
ug:district:nakaseke,UG,district,Nakaseke,,,ug:region:central,2,,
ug:district:nakasongola,UG,district,Nakasongola,,,ug:region:central,2,,
ug:district:rakai,UG,district,Rakai,,,ug:region:central,2,,
ug:district:sembabule,UG,district,Sembabule,,,ug:region:central,2,,
ug:district:wakiso,UG,district,Wakiso,,,ug:region:central,2,,
ug:district:amuria,UG,district,Amuria,,,ug:region:eastern,2,,
ug:district:budaka,UG,district,Budaka,,,ug:region:eastern,2,,
ug:district:bududa,UG,district,Bududa,,,ug:region:eastern,2,,
ug:district:bugiri,UG,district,Bugiri,,,ug:region:eastern,2,,
ug:district:bugweri,UG,district,Bugweri,,,ug:region:eastern,2,,
ug:district:bukedea,UG,district,Bukedea,,,ug:region:eastern,2,,
ug:district:bukwo,UG,district,Bukwo,,,ug:region:eastern,2,,
ug:district:bulambuli,UG,district,Bulambuli,,,ug:region:eastern,2,,
ug:district:busia,UG,district,Busia,,,ug:region:eastern,2,,
ug:district:butaleja,UG,district,Butaleja,,,ug:region:eastern,2,,
ug:district:butebo,UG,district,Butebo,,,ug:region:eastern,2,,
ug:district:buyende,UG,district,Buyende,,,ug:region:eastern,2,,
ug:district:iganga,UG,district,Iganga,,,ug:region:eastern,2,,
ug:district:jinja,UG,district,Jinja,,,ug:region:eastern,2,,
ug:district:kaberamaido,UG,district,Kaberamaido,,,ug:region:eastern,2,,
