source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
ua:oblast:vinnytska,UA,oblast,Vinnytska,,05,,1,,
ua:oblast:volynska,UA,oblast,Volynska,,07,,1,,
ua:oblast:luhanska,UA,oblast,Luhanska,,09,,1,,
ua:oblast:dnipropetrovska,UA,oblast,Dnipropetrovska,,12,,1,,
ua:oblast:donetska,UA,oblast,Donetska,,14,,1,,
ua:oblast:zhytomyrska,UA,oblast,Zhytomyrska,,18,,1,,
ua:oblast:zakarpatska,UA,oblast,Zakarpatska,,21,,1,,
ua:oblast:zaporizka,UA,oblast,Zaporizka,,23,,1,,
ua:oblast:ivano-frankivska,UA,oblast,Ivano-Frankivska,,26,,1,,
ua:city:kyiv,UA,city,Kyiv,,30,,1,,
ua:oblast:kyivska,UA,oblast,Kyivska,,32,,1,,
ua:oblast:kirovohradska,UA,oblast,Kirovohradska,,35,,1,,
ua:city:sevastopol,UA,city,Sevastopol,,40,,1,,
ua:republic:autonomous-republic-of-crimea,UA,republic,Autonomous Republic of Crimea,,43,,1,,
ua:oblast:lvivska,UA,oblast,Lvivska,,46,,1,,
ua:oblast:mykolaivska,UA,oblast,Mykolaivska,,48,,1,,
ua:oblast:odeska,UA,oblast,Odeska,,51,,1,,
ua:oblast:poltavska,UA,oblast,Poltavska,,53,,1,,
ua:oblast:rivnenska,UA,oblast,Rivnenska,,56,,1,,
ua:oblast:sumska,UA,oblast,Sumska,,59,,1,,
ua:oblast:ternopilska,UA,oblast,Ternopilska,,61,,1,,
ua:oblast:kharkivska,UA,oblast,Kharkivska,,63,,1,,
ua:oblast:khersonska,UA,oblast,Khersonska,,65,,1,,
ua:oblast:khmelnytska,UA,oblast,Khmelnytska,,68,,1,,
ua:oblast:cherkaska,UA,oblast,Cherkaska,,71,,1,,
ua:oblast:chernihivska,UA,oblast,Chernihivska,,74,,1,,
ua:oblast:chernivetska,UA,oblast,Chernivetska,,77,,1,,
