postcode,area_source_id,relationship_type,is_primary
AB10,gb:council_area:aberdeen-city,served_by,true
AB11,gb:council_area:aberdeen-city,served_by,true
AB12,gb:council_area:aberdeen-city,served_by,true
AB12,gb:council_area:aberdeenshire,served_by,false
AB13,gb:council_area:aberdeen-city,served_by,true
AB14,gb:council_area:aberdeen-city,served_by,true
AB14,gb:council_area:aberdeenshire,served_by,false
AB15,gb:council_area:aberdeen-city,served_by,true
AB15,gb:council_area:aberdeenshire,served_by,false
AB16,gb:council_area:aberdeen-city,served_by,true
AB21,gb:council_area:aberdeen-city,served_by,true
AB21,gb:council_area:aberdeenshire,served_by,false
AB22,gb:council_area:aberdeen-city,served_by,true
AB23,gb:council_area:aberdeen-city,served_by,true
AB23,gb:council_area:aberdeenshire,served_by,false
AB24,gb:council_area:aberdeen-city,served_by,true
AB25,gb:council_area:aberdeen-city,served_by,true
AB30,gb:council_area:aberdeenshire,served_by,true
AB30,gb:council_area:angus,served_by,false
AB31,gb:council_area:aberdeen-city,served_by,true
AB31,gb:council_area:aberdeenshire,served_by,false
AB32,gb:council_area:aberdeen-city,served_by,true
AB32,gb:council_area:aberdeenshire,served_by,false
AB33,gb:council_area:aberdeenshire,served_by,true
AB34,gb:council_area:aberdeenshire,served_by,true
AB35,gb:council_area:aberdeenshire,served_by,true
AB36,gb:council_area:aberdeenshire,served_by,true
AB37,gb:council_area:highland,served_by,true
AB37,gb:council_area:moray,served_by,false
AB38,gb:council_area:moray,served_by,true
AB39,gb:council_area:aberdeenshire,served_by,true
AB41,gb:council_area:aberdeenshire,served_by,true
AB42,gb:council_area:aberdeenshire,served_by,true
AB43,gb:council_area:aberdeenshire,served_by,true
AB44,gb:council_area:aberdeenshire,served_by,true
AB45,gb:council_area:aberdeenshire,served_by,true
AB45,gb:council_area:moray,served_by,false
AB51,gb:council_area:aberdeenshire,served_by,true
AB52,gb:council_area:aberdeenshire,served_by,true
AB53,gb:council_area:aberdeenshire,served_by,true
AB54,gb:council_area:aberdeenshire,served_by,true
AB54,gb:council_area:moray,served_by,false
AB55,gb:council_area:aberdeenshire,served_by,true
AB55,gb:council_area:moray,served_by,false
AB56,gb:council_area:aberdeenshire,served_by,true
AB56,gb:council_area:moray,served_by,false
AB99,gb:council_area:aberdeen-city,served_by,true
AL1,gb:county:hertfordshire,served_by,true
AL10,gb:county:hertfordshire,served_by,true
AL2,gb:county:hertfordshire,served_by,true
AL3,gb:county:bedfordshire,served_by,true
AL3,gb:county:hertfordshire,served_by,false
AL4,gb:county:hertfordshire,served_by,true
AL5,gb:county:bedfordshire,served_by,true
AL5,gb:county:hertfordshire,served_by,false
AL6,gb:county:hertfordshire,served_by,true
AL7,gb:county:hertfordshire,served_by,true
AL8,gb:county:hertfordshire,served_by,true
AL9,gb:county:hertfordshire,served_by,true
B1,gb:county:west-midlands,served_by,true
B10,gb:county:west-midlands,served_by,true
B11,gb:county:west-midlands,served_by,true
B12,gb:county:west-midlands,served_by,true
B13,gb:county:west-midlands,served_by,true
B14,gb:county:west-midlands,served_by,true
B14,gb:county:worcestershire,served_by,false
B15,gb:county:west-midlands,served_by,true
B16,gb:county:west-midlands,served_by,true
B17,gb:county:west-midlands,served_by,true
B18,gb:county:west-midlands,served_by,true
B19,gb:county:west-midlands,served_by,true
B2,gb:county:west-midlands,served_by,true
B20,gb:county:west-midlands,served_by,true
B21,gb:county:west-midlands,served_by,true
B23,gb:county:west-midlands,served_by,true
B24,gb:county:west-midlands,served_by,true
B25,gb:county:west-midlands,served_by,true
B26,gb:county:west-midlands,served_by,true
B27,gb:county:west-midlands,served_by,true
B28,gb:county:west-midlands,served_by,true
B29,gb:county:west-midlands,served_by,true
B3,gb:county:west-midlands,served_by,true
B30,gb:county:west-midlands,served_by,true
B31,gb:county:west-midlands,served_by,true
B31,gb:county:worcestershire,served_by,false
B32,gb:county:west-midlands,served_by,true
B32,gb:county:worcestershire,served_by,false
