source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
us:state:alaska,US,state,Alaska,,AK,,1,,
us:state:alabama,US,state,Alabama,,AL,,1,,
us:state:arkansas,US,state,Arkansas,,AR,,1,,
us:territory:american-samoa,US,territory,American Samoa,,AS,,1,,
us:state:arizona,US,state,Arizona,,AZ,,1,,
us:state:california,US,state,California,,CA,,1,,
us:state:colorado,US,state,Colorado,,CO,,1,,
us:state:connecticut,US,state,Connecticut,,CT,,1,,
us:district:district-of-columbia,US,district,District of Columbia,,DC,,1,,
us:state:delaware,US,state,Delaware,,DE,,1,,
us:state:florida,US,state,Florida,,FL,,1,,
us:state:georgia,US,state,Georgia,,GA,,1,,
us:territory:guam,US,territory,Guam,,GU,,1,,
us:state:hawaii,US,state,Hawaii,,HI,,1,,
us:state:iowa,US,state,Iowa,,IA,,1,,
us:state:idaho,US,state,Idaho,,ID,,1,,
us:state:illinois,US,state,Illinois,,IL,,1,,
us:state:indiana,US,state,Indiana,,IN,,1,,
us:state:kansas,US,state,Kansas,,KS,,1,,
us:state:kentucky,US,state,Kentucky,,KY,,1,,
us:state:louisiana,US,state,Louisiana,,LA,,1,,
us:state:massachusetts,US,state,Massachusetts,,MA,,1,,
us:state:maryland,US,state,Maryland,,MD,,1,,
us:state:maine,US,state,Maine,,ME,,1,,
us:state:michigan,US,state,Michigan,,MI,,1,,
us:state:minnesota,US,state,Minnesota,,MN,,1,,
us:state:missouri,US,state,Missouri,,MO,,1,,
us:territory:northern-mariana-islands,US,territory,Northern Mariana Islands,,MP,,1,,
us:state:mississippi,US,state,Mississippi,,MS,,1,,
us:state:montana,US,state,Montana,,MT,,1,,
us:state:north-carolina,US,state,North Carolina,,NC,,1,,
us:state:north-dakota,US,state,North Dakota,,ND,,1,,
us:state:nebraska,US,state,Nebraska,,NE,,1,,
us:state:new-hampshire,US,state,New Hampshire,,NH,,1,,
us:state:new-jersey,US,state,New Jersey,,NJ,,1,,
us:state:new-mexico,US,state,New Mexico,,NM,,1,,
us:state:nevada,US,state,Nevada,,NV,,1,,
us:state:new-york,US,state,New York,,NY,,1,,
us:state:ohio,US,state,Ohio,,OH,,1,,
us:state:oklahoma,US,state,Oklahoma,,OK,,1,,
us:state:oregon,US,state,Oregon,,OR,,1,,
us:state:pennsylvania,US,state,Pennsylvania,,PA,,1,,
us:territory:puerto-rico,US,territory,Puerto Rico,,PR,,1,,
us:state:rhode-island,US,state,Rhode Island,,RI,,1,,
us:state:south-carolina,US,state,South Carolina,,SC,,1,,
us:state:south-dakota,US,state,South Dakota,,SD,,1,,
us:state:tennessee,US,state,Tennessee,,TN,,1,,
us:state:texas,US,state,Texas,,TX,,1,,
us:state:utah,US,state,Utah,,UT,,1,,
