source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
uy:department:artigas,UY,department,Artigas,,AR,,1,,
uy:department:canelones,UY,department,Canelones,,CA,,1,,
uy:department:cerro-largo,UY,department,Cerro Largo,,CL,,1,,
uy:department:colonia,UY,department,Colonia,,CO,,1,,
uy:department:durazno,UY,department,Durazno,,DU,,1,,
uy:department:flores,UY,department,Flores,,FS,,1,,
uy:department:florida,UY,department,Florida,,FD,,1,,
uy:department:lavalleja,UY,department,Lavalleja,,LA,,1,,
uy:department:maldonado,UY,department,Maldonado,,MA,,1,,
uy:department:montevideo,UY,department,Montevideo,,MO,,1,,
uy:department:paysandu,UY,department,Paysandú,,PA,,1,,
uy:department:rio-negro,UY,department,Río Negro,,RN,,1,,
uy:department:rivera,UY,department,Rivera,,RV,,1,,
uy:department:rocha,UY,department,Rocha,,RO,,1,,
uy:department:salto,UY,department,Salto,,SA,,1,,
uy:department:san-jose,UY,department,San José,,SJ,,1,,
uy:department:soriano,UY,department,Soriano,,SO,,1,,
uy:department:tacuarembo,UY,department,Tacuarembó,,TA,,1,,
uy:department:treinta-y-tres,UY,department,Treinta y Tres,,TT,,1,,
uy:municipality:baltasar-brum,UY,municipality,Baltasar Brum,,,uy:department:artigas,2,,
uy:municipality:bella-union,UY,municipality,Bella Unión,,,uy:department:artigas,2,,
uy:municipality:tomas-gomensoro,UY,municipality,Tomás Gomensoro,,,uy:department:artigas,2,,
uy:municipality:18-de-mayo,UY,municipality,18 de Mayo,,,uy:department:canelones,2,,
uy:municipality:aguas-corrientes,UY,municipality,Aguas Corrientes,,,uy:department:canelones,2,,
uy:municipality:atlantida,UY,municipality,Atlántida,,,uy:department:canelones,2,,
uy:municipality:barros-blancos,UY,municipality,Barros Blancos,,,uy:department:canelones,2,,
uy:municipality:canelones,UY,municipality,Canelones,,,uy:department:canelones,2,,
uy:municipality:ciudad-de-la-costa,UY,municipality,Ciudad de la Costa,,,uy:department:canelones,2,,
uy:municipality:colonia-nicolich,UY,municipality,Colonia Nicolich,,,uy:department:canelones,2,,
uy:municipality:empalme-olmos,UY,municipality,Empalme Olmos,,,uy:department:canelones,2,,
uy:municipality:la-floresta,UY,municipality,La Floresta,,,uy:department:canelones,2,,
uy:municipality:la-paz,UY,municipality,La Paz,,,uy:department:canelones,2,,
uy:municipality:las-piedras,UY,municipality,Las Piedras,,,uy:department:canelones,2,,
uy:municipality:los-cerrillos,UY,municipality,Los Cerrillos,,,uy:department:canelones,2,,
uy:municipality:migues,UY,municipality,Migues,,,uy:department:canelones,2,,
uy:municipality:montes,UY,municipality,Montes,,,uy:department:canelones,2,,
uy:municipality:pando,UY,municipality,Pando,,,uy:department:canelones,2,,
uy:municipality:parque-del-plata,UY,municipality,Parque del Plata,,,uy:department:canelones,2,,
uy:municipality:paso-carrasco,UY,municipality,Paso Carrasco,,,uy:department:canelones,2,,
uy:municipality:progreso,UY,municipality,Progreso,,,uy:department:canelones,2,,
uy:municipality:salinas,UY,municipality,Salinas,,,uy:department:canelones,2,,
uy:municipality:san-antonio,UY,municipality,San Antonio,,,uy:department:canelones,2,,
uy:municipality:san-bautista,UY,municipality,San Bautista,,,uy:department:canelones,2,,
uy:municipality:san-jacinto,UY,municipality,San Jacinto,,,uy:department:canelones,2,,
uy:municipality:san-ramon,UY,municipality,San Ramón,,,uy:department:canelones,2,,
uy:municipality:santa-lucia,UY,municipality,Santa Lucía,,,uy:department:canelones,2,,
uy:municipality:santa-rosa,UY,municipality,Santa Rosa,,,uy:department:canelones,2,,
uy:municipality:sauce,UY,municipality,Sauce,,,uy:department:canelones,2,,
uy:municipality:soca,UY,municipality,Soca,,,uy:department:canelones,2,,
uy:municipality:suarez,UY,municipality,Suárez,,,uy:department:canelones,2,,
uy:municipality:tala,UY,municipality,Tala,,,uy:department:canelones,2,,
uy:municipality:toledo,UY,municipality,Toledo,,,uy:department:canelones,2,,
uy:municipality:acegua,UY,municipality,Aceguá,,,uy:department:cerro-largo,2,,
uy:municipality:arbolito,UY,municipality,Arbolito,,,uy:department:cerro-largo,2,,
uy:municipality:arevalo,UY,municipality,Arévalo,,,uy:department:cerro-largo,2,,
uy:municipality:banado-de-medina,UY,municipality,Bañado de Medina,,,uy:department:cerro-largo,2,,
uy:municipality:centurion,UY,municipality,Centurión,,,uy:department:cerro-largo,2,,
