source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
uz:region:andijan,UZ,region,Andijan,,AN,,1,,
uz:region:bukhara,UZ,region,Bukhara,,BU,,1,,
uz:region:fergana,UZ,region,Fergana,,FA,,1,,
uz:region:jizzakh,UZ,region,Jizzakh,,JI,,1,,
uz:region:namangan,UZ,region,Namangan,,NG,,1,,
uz:region:navoiy,UZ,region,Navoiy,,NW,,1,,
uz:region:qashqadaryo,UZ,region,Qashqadaryo,,QA,,1,,
uz:republic:karakalpakstan,UZ,republic,Karakalpakstan,,QR,,1,,
uz:region:samarqand,UZ,region,Samarqand,,SA,,1,,
uz:region:sirdaryo,UZ,region,Sirdaryo,,SI,,1,,
uz:region:surxondaryo,UZ,region,Surxondaryo,,SU,,1,,
uz:city:tashkent-city,UZ,city,Tashkent City,,TK,,1,,
uz:region:tashkent-region,UZ,region,Tashkent Region,,TO,,1,,
uz:region:xorazm,UZ,region,Xorazm,,XO,,1,,
uz:tuman:andijan:andijon,UZ,tuman,Andijon,,,uz:region:andijan,2,,
uz:tuman:andijan:asaka,UZ,tuman,Asaka,,,uz:region:andijan,2,,
uz:tuman:andijan:baliqchi,UZ,tuman,Baliqchi,,,uz:region:andijan,2,,
uz:tuman:andijan:boston,UZ,tuman,Bo'ston,,,uz:region:andijan,2,,
uz:tuman:andijan:buloqboshi,UZ,tuman,Buloqboshi,,,uz:region:andijan,2,,
uz:tuman:andijan:izboskan,UZ,tuman,Izboskan,,,uz:region:andijan,2,,
uz:tuman:andijan:jalaquduq,UZ,tuman,Jalaquduq,,,uz:region:andijan,2,,
uz:tuman:andijan:marhamat,UZ,tuman,Marhamat,,,uz:region:andijan,2,,
uz:tuman:andijan:oltinkol,UZ,tuman,Oltinko'l,,,uz:region:andijan,2,,
uz:tuman:andijan:paxtaobod,UZ,tuman,Paxtaobod,,,uz:region:andijan,2,,
uz:tuman:andijan:qorgontepa,UZ,tuman,Qo'rg'ontepa,,,uz:region:andijan,2,,
uz:tuman:andijan:shahrixon,UZ,tuman,Shahrixon,,,uz:region:andijan,2,,
uz:tuman:andijan:ulugnor,UZ,tuman,Ulug'nor,,,uz:region:andijan,2,,
uz:tuman:andijan:xojaobod,UZ,tuman,Xo'jaobod,,,uz:region:andijan,2,,
uz:city:andijan:andijon,UZ,city,Andijon,,,uz:region:andijan,2,,
uz:city:andijan:xonobod,UZ,city,Xonobod,,,uz:region:andijan,2,,
uz:tuman:bukhara:buxoro,UZ,tuman,Buxoro,,,uz:region:bukhara,2,,
uz:tuman:bukhara:gijduvon,UZ,tuman,G'ijduvon,,,uz:region:bukhara,2,,
uz:tuman:bukhara:jondor,UZ,tuman,Jondor,,,uz:region:bukhara,2,,
uz:tuman:bukhara:kogon,UZ,tuman,Kogon,,,uz:region:bukhara,2,,
uz:tuman:bukhara:olot,UZ,tuman,Olot,,,uz:region:bukhara,2,,
uz:tuman:bukhara:peshku,UZ,tuman,Peshku,,,uz:region:bukhara,2,,
uz:tuman:bukhara:qorakol,UZ,tuman,Qorako'l,,,uz:region:bukhara,2,,
uz:tuman:bukhara:qorovulbozor,UZ,tuman,Qorovulbozor,,,uz:region:bukhara,2,,
uz:tuman:bukhara:romitan,UZ,tuman,Romitan,,,uz:region:bukhara,2,,
uz:tuman:bukhara:shofirkon,UZ,tuman,Shofirkon,,,uz:region:bukhara,2,,
uz:tuman:bukhara:vobkent,UZ,tuman,Vobkent,,,uz:region:bukhara,2,,
uz:city:bukhara:buxoro,UZ,city,Buxoro,,,uz:region:bukhara,2,,
uz:city:bukhara:kogon,UZ,city,Kogon,,,uz:region:bukhara,2,,
uz:tuman:fergana:beshariq,UZ,tuman,Beshariq,,,uz:region:fergana,2,,
uz:tuman:fergana:bogdod,UZ,tuman,Bog'dod,,,uz:region:fergana,2,,
uz:tuman:fergana:buvayda,UZ,tuman,Buvayda,,,uz:region:fergana,2,,
uz:tuman:fergana:dangara,UZ,tuman,Dang'ara,,,uz:region:fergana,2,,
uz:tuman:fergana:fargona,UZ,tuman,Farg'ona,,,uz:region:fergana,2,,
uz:tuman:fergana:furqat,UZ,tuman,Furqat,,,uz:region:fergana,2,,
uz:tuman:fergana:ozbekiston,UZ,tuman,O'zbekiston,,,uz:region:fergana,2,,
