source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
vu:province:malampa,VU,province,Malampa,,MAP,,1,,
vu:province:penama,VU,province,Penama,,PAM,,1,,
vu:province:sanma,VU,province,Sanma,,SAM,,1,,
vu:province:shefa,VU,province,Shefa,,SEE,,1,,
vu:province:tafea,VU,province,Tafea,,TAE,,1,,
vu:province:torba,VU,province,Torba,,TOB,,1,,
vu:area_council:aneityum,VU,area_council,Aneityum,,VU.TF.AM,vu:province:tafea,2,,
vu:area_council:aniwa,VU,area_council,Aniwa,,VU.TF.AW,vu:province:tafea,2,,
vu:area_council:bangan-vanua,VU,area_council,Bangan-Vanua,,VU.PM.BV,vu:province:penama,2,,
vu:area_council:canal-fanafo,VU,area_council,Canal-Fanafo,,VU.SN.CF,vu:province:sanma,2,,
vu:area_council:central-malekula,VU,area_council,Central Malekula,,VU.ML.CM,vu:province:malampa,2,,
vu:area_council:central-pentecost-1,VU,area_council,Central Pentecost 1,,VU.PM.CP,vu:province:penama,2,,
vu:area_council:central-pentecost-2,VU,area_council,Central Pentecost 2,,VU.PM.CC,vu:province:penama,2,,
vu:area_council:central-torba,VU,area_council,Central Torba,,VU.TR.CT,vu:province:torba,2,,
vu:area_council:east-malo,VU,area_council,East Malo,,VU.SN.EM,vu:province:sanma,2,,
vu:area_council:east-santo,VU,area_council,East Santo,,VU.SN.ES,vu:province:sanma,2,,
vu:area_council:emau,VU,area_council,Emau,,VU.SE.EM,vu:province:shefa,2,,
vu:area_council:erakor,VU,area_council,Erakor,,VU.SE.EK,vu:province:shefa,2,,
vu:area_council:eratap,VU,area_council,Eratap,,VU.SE.EP,vu:province:shefa,2,,
vu:area_council:eton,VU,area_council,Eton,,VU.SE.ET,vu:province:shefa,2,,
vu:area_council:futuna,VU,area_council,Futuna,,VU.TF.FU,vu:province:tafea,2,,
vu:area_council:ifira,VU,area_council,Ifira,,VU.SE.IF,vu:province:shefa,2,,
vu:municipality:luganville,VU,municipality,Luganville,,VU.SN.LU,vu:province:sanma,2,,
vu:area_council:lungei-tagaro,VU,area_council,Lungei-Tagaro,,VU.PM.LT,vu:province:penama,2,,
vu:area_council:makimae,VU,area_council,Makimae,,VU.SE.MK,vu:province:shefa,2,,
vu:area_council:malorua,VU,area_council,Malorua,,VU.SE.MR,vu:province:shefa,2,,
vu:area_council:mele,VU,area_council,Mele,,VU.SE.ML,vu:province:shefa,2,,
vu:area_council:middle-bush-tanna,VU,area_council,Middle Bush Tanna,,VU.TF.MT,vu:province:tafea,2,,
vu:area_council:nguna,VU,area_council,Nguna,,VU.SE.NG,vu:province:shefa,2,,
vu:area_council:north-ambae,VU,area_council,North Ambae,,VU.PM.NA,vu:province:penama,2,,
vu:area_council:north-ambrym,VU,area_council,North Ambrym,,VU.ML.NA,vu:province:malampa,2,,
vu:area_council:north-east-malekula,VU,area_council,North East Malekula,,VU.ML.NE,vu:province:malampa,2,,
vu:area_council:north-efate,VU,area_council,North Efate,,VU.SE.NE,vu:province:shefa,2,,
vu:area_council:north-erromango,VU,area_council,North Erromango,,VU.TF.NE,vu:province:tafea,2,,
vu:area_council:north-pentecost,VU,area_council,North Pentecost,,VU.PM.NP,vu:province:penama,2,,
vu:area_council:north-santo,VU,area_council,North Santo,,VU.SN.NS,vu:province:sanma,2,,
vu:area_council:north-tanna,VU,area_council,North Tanna,,VU.TF.NT,vu:province:tafea,2,,
vu:area_council:north-tongoa,VU,area_council,North Tongoa,,VU.SE.NT,vu:province:shefa,2,,
vu:area_council:north-west-malekula,VU,area_council,North West Malekula,,VU.ML.NW,vu:province:malampa,2,,
vu:area_council:north-west-santo,VU,area_council,North West Santo,,VU.SN.NW,vu:province:sanma,2,,
vu:area_council:northern-torba,VU,area_council,Northern Torba,,VU.TR.NT,vu:province:torba,2,,
vu:area_council:paama,VU,area_council,Paama,,VU.ML.PA,vu:province:malampa,2,,
vu:area_council:pango,VU,area_council,Pango,,VU.SE.PA,vu:province:shefa,2,,
vu:municipality:port-vila,VU,municipality,Port Vila,,VU.SE.PV,vu:province:shefa,2,,
vu:area_council:south-ambae,VU,area_council,South Ambae,,VU.PM.SA,vu:province:penama,2,,
vu:area_council:south-east-ambrym,VU,area_council,South East Ambrym,,VU.ML.SA,vu:province:malampa,2,,
vu:area_council:south-east-malekula,VU,area_council,South East Malekula,,VU.ML.SE,vu:province:malampa,2,,
vu:area_council:south-east-santo,VU,area_council,South East Santo,,VU.SN.SE,vu:province:sanma,2,,
vu:area_council:south-erromango,VU,area_council,South Erromango,,VU.TF.SE,vu:province:tafea,2,,
vu:area_council:south-maewo,VU,area_council,South Maewo,,VU.PM.SM,vu:province:penama,2,,
vu:area_council:south-malekula,VU,area_council,South Malekula,,VU.ML.SM,vu:province:malampa,2,,
vu:area_council:south-pentecost,VU,area_council,South Pentecost,,VU.PM.SP,vu:province:penama,2,,
vu:area_council:south-santo,VU,area_council,South Santo,,VU.SN.SS,vu:province:sanma,2,,
vu:area_council:south-tanna,VU,area_council,South Tanna,,VU.TF.ST,vu:province:tafea,2,,
vu:area_council:south-west-malekula,VU,area_council,South West Malekula,,VU.ML.SW,vu:province:malampa,2,,
vu:area_council:south-west-tanna,VU,area_council,South West Tanna,,VU.TF.SW,vu:province:tafea,2,,
vu:area_council:southern-torba,VU,area_council,Southern Torba,,VU.TR.ST,vu:province:torba,2,,
vu:area_council:tongariki,VU,area_council,Tongariki,,VU.SE.TO,vu:province:shefa,2,,
vu:area_council:varisu,VU,area_council,Varisu,,VU.SE.VS,vu:province:shefa,2,,
vu:area_council:vermali,VU,area_council,Vermali,,VU.SE.VM,vu:province:shefa,2,,
vu:area_council:vermaul,VU,area_council,Vermaul,,VU.SE.VL,vu:province:shefa,2,,
vu:area_council:west-ambae,VU,area_council,West Ambae,,VU.PM.WA,vu:province:penama,2,,
vu:area_council:west-ambrym,VU,area_council,West Ambrym,,VU.ML.WA,vu:province:malampa,2,,
vu:area_council:west-malo,VU,area_council,West Malo,,VU.SN.WM,vu:province:sanma,2,,
vu:area_council:west-santo,VU,area_council,West Santo,,VU.SN.WS,vu:province:sanma,2,,
vu:area_council:west-tanna,VU,area_council,West Tanna,,VU.TF.WT,vu:province:tafea,2,,
vu:area_council:whitesands-tanna,VU,area_council,Whitesands Tanna,,VU.TF.WS,vu:province:tafea,2,,
vu:area_council:yarsu,VU,area_council,Yarsu,,VU.SE.YA,vu:province:shefa,2,,
vu:municipality:lenakel,VU,municipality,Lenakel,,,vu:province:tafea,2,,
