source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
ve:state:amazonas,VE,state,Amazonas,,Z,,1,,
ve:state:anzoategui,VE,state,Anzoátegui,,B,,1,,
ve:state:apure,VE,state,Apure,,C,,1,,
ve:state:aragua,VE,state,Aragua,,D,,1,,
ve:state:barinas,VE,state,Barinas,,E,,1,,
ve:state:bolivar,VE,state,Bolívar,,F,,1,,
ve:state:carabobo,VE,state,Carabobo,,G,,1,,
ve:state:cojedes,VE,state,Cojedes,,H,,1,,
ve:state:delta-amacuro,VE,state,Delta Amacuro,,Y,,1,,
ve:capital_district:distrito-capital,VE,capital_district,Distrito Capital,,A,,1,,
ve:state:falcon,VE,state,Falcón,,I,,1,,
ve:state:guarico,VE,state,Guárico,,J,,1,,
ve:state:la-guaira,VE,state,La Guaira,,X,,1,,
ve:state:lara,VE,state,Lara,,K,,1,,
ve:state:merida,VE,state,Mérida,,L,,1,,
ve:state:miranda,VE,state,Miranda,,M,,1,,
ve:state:monagas,VE,state,Monagas,,N,,1,,
ve:state:nueva-esparta,VE,state,Nueva Esparta,,O,,1,,
ve:state:portuguesa,VE,state,Portuguesa,,P,,1,,
ve:state:sucre,VE,state,Sucre,,R,,1,,
ve:state:tachira,VE,state,Táchira,,S,,1,,
ve:state:trujillo,VE,state,Trujillo,,T,,1,,
ve:federal_dependency:dependencias-federales,VE,federal_dependency,Dependencias Federales,,W,,1,,
ve:state:yaracuy,VE,state,Yaracuy,,U,,1,,
ve:state:zulia,VE,state,Zulia,,V,,1,,
ve:municipality:libertador-bolivarian,VE,municipality,Libertador,,,ve:capital_district:distrito-capital,2,,
ve:municipality:alto-orinoco,VE,municipality,Alto Orinoco,,,ve:state:amazonas,2,,
ve:municipality:atabapo,VE,municipality,Atabapo,,,ve:state:amazonas,2,,
ve:municipality:atures,VE,municipality,Atures,,,ve:state:amazonas,2,,
ve:municipality:autana,VE,municipality,Autana,,,ve:state:amazonas,2,,
ve:municipality:manapiare,VE,municipality,Manapiare,,,ve:state:amazonas,2,,
ve:municipality:maroa,VE,municipality,Maroa,,,ve:state:amazonas,2,,
ve:municipality:rio-negro,VE,municipality,Río Negro,,,ve:state:amazonas,2,,
ve:municipality:anaco,VE,municipality,Anaco,,,ve:state:anzoategui,2,,
ve:municipality:aragua,VE,municipality,Aragua,,,ve:state:anzoategui,2,,
ve:municipality:diego-bautista-urbaneja,VE,municipality,Diego Bautista Urbaneja,,,ve:state:anzoategui,2,,
ve:municipality:fernando-de-penalver,VE,municipality,Fernando de Peñalver,,,ve:state:anzoategui,2,,
ve:municipality:francisco-del-carmen-carvajal,VE,municipality,Francisco del Carmen Carvajal,,,ve:state:anzoategui,2,,
ve:municipality:francisco-de-miranda,VE,municipality,Francisco de Miranda,,,ve:state:anzoategui,2,,
ve:municipality:guanta,VE,municipality,Guanta,,,ve:state:anzoategui,2,,
ve:municipality:independencia,VE,municipality,Independencia,,,ve:state:anzoategui,2,,
ve:municipality:jose-gregorio-monagas,VE,municipality,José Gregorio Monagas,,,ve:state:anzoategui,2,,
ve:municipality:juan-antonio-sotillo,VE,municipality,Juan Antonio Sotillo,,,ve:state:anzoategui,2,,
ve:municipality:juan-manuel-cajigal,VE,municipality,Juan Manuel Cajigal,,,ve:state:anzoategui,2,,
ve:municipality:libertad,VE,municipality,Libertad,,,ve:state:anzoategui,2,,
ve:municipality:manuel-ezequiel-bruzual,VE,municipality,Manuel Ezequiel Bruzual,,,ve:state:anzoategui,2,,
ve:municipality:pedro-maria-freites,VE,municipality,Pedro María Freites,,,ve:state:anzoategui,2,,
ve:municipality:piritu,VE,municipality,Píritu,,,ve:state:anzoategui,2,,
ve:municipality:san-jose-de-guanipa,VE,municipality,San José de Guanipa,,,ve:state:anzoategui,2,,
ve:municipality:san-juan-de-capistrano,VE,municipality,San Juan de Capistrano,,,ve:state:anzoategui,2,,
