postcode,area_source_id,relationship_type,is_primary
01106,vn:ward:hong-gai,served_by,true
01111,vn:ward:ha-lam,served_by,true
01114,vn:ward:ha-tu,served_by,true
01117,vn:ward:cao-xanh,served_by,true
01119,vn:ward:bai-chay,served_by,true
01123,vn:ward:quang-ninh:viet-hung,served_by,true
01125,vn:ward:tuan-chau,served_by,true
01126,vn:ward:hoanh-bo,served_by,true
01130,vn:commune:quang-ninh:thong-nhat,served_by,true
01133,vn:commune:ky-thuong,served_by,true
01137,vn:commune:quang-la,served_by,true
01139,vn:ward:ha-long,served_by,true
01214,vn:ward:cua-ong,served_by,true
01215,vn:commune:hai-hoa,served_by,true
01217,vn:ward:mong-duong,served_by,true
01219,vn:ward:quang-hanh,served_by,true
01222,vn:ward:cam-pha,served_by,true
01318,vn:special_zone:van-don,served_by,true
01409,vn:special_zone:co-to,served_by,true
01513,vn:commune:hai-son,served_by,true
01519,vn:commune:vinh-thuc,served_by,true
01523,vn:commune:hai-ninh,served_by,true
01524,vn:ward:mong-cai-1,served_by,true
01525,vn:ward:mong-cai-2,served_by,true
01526,vn:ward:mong-cai-3,served_by,true
01606,vn:commune:quang-ha,served_by,true
01610,vn:commune:quang-duc,served_by,true
01612,vn:commune:quang-ninh:duong-hoa,served_by,true
01621,vn:commune:cai-chien,served_by,true
01706,vn:commune:binh-lieu,served_by,true
01709,vn:commune:hoanh-mo,served_by,true
01711,vn:commune:luc-hon,served_by,true
01807,vn:commune:quang-tan,served_by,true
01815,vn:commune:dam-ha,served_by,true
01906,vn:commune:quang-ninh:tien-yen,served_by,true
01909,vn:commune:dong-ngu,served_by,true
01914,vn:commune:dien-xa,served_by,true
01916,vn:commune:hai-lang,served_by,true
02006,vn:commune:ba-che,served_by,true
02010,vn:commune:luong-minh,served_by,true
02206,vn:ward:quang-yen,served_by,true
02207,vn:ward:ha-an,served_by,true
02212,vn:ward:dong-mai,served_by,true
02215,vn:ward:hiep-hoa,served_by,true
02219,vn:ward:phong-coc,served_by,true
02222,vn:ward:lien-hoa,served_by,true
02309,vn:ward:vang-danh,served_by,true
02317,vn:ward:yen-tu,served_by,true
02318,vn:ward:uong-bi,served_by,true
02411,vn:ward:mao-khe,served_by,true
02414,vn:ward:hoang-que,served_by,true
02418,vn:ward:binh-khe,served_by,true
02419,vn:ward:an-sinh,served_by,true
02427,vn:ward:dong-trieu,served_by,true
03112,vn:ward:le-thanh-nghi,served_by,true
03119,vn:ward:thach-khoi,served_by,true
03120,vn:ward:tan-hung,served_by,true
03121,vn:ward:nam-dong,served_by,true
03122,vn:ward:ai-quoc,served_by,true
03125,vn:ward:viet-hoa,served_by,true
03126,vn:ward:tu-minh,served_by,true
03127,vn:ward:hai-duong,served_by,true
03128,vn:ward:thanh-dong,served_by,true
03206,vn:commune:thanh-ha,served_by,true
03231,vn:commune:ha-tay,served_by,true
03232,vn:commune:ha-bac,served_by,true
03233,vn:commune:ha-nam,served_by,true
03234,vn:commune:ha-dong,served_by,true
03306,vn:commune:phu-thai,served_by,true
03312,vn:commune:lai-khe,served_by,true
03327,vn:commune:an-thanh,served_by,true
03328,vn:commune:kim-thanh,served_by,true
03431,vn:ward:kinh-mon,served_by,true
03432,vn:ward:nguyen-dai-nang,served_by,true
03433,vn:ward:tran-lieu,served_by,true
03434,vn:ward:bac-an-phu,served_by,true
03435,vn:ward:pham-su-manh,served_by,true
03436,vn:ward:nhi-chieu,served_by,true
03437,vn:commune:nam-an-phu,served_by,true
03526,vn:ward:chu-van-an,served_by,true
03527,vn:ward:chi-linh,served_by,true
03528,vn:ward:tran-hung-dao,served_by,true
03529,vn:ward:nguyen-trai,served_by,true
03530,vn:ward:tran-nhan-tong,served_by,true
03531,vn:ward:le-dai-hanh,served_by,true
03556,vn:commune:nam-sach,served_by,true
03557,vn:commune:an-phu,served_by,true
03564,vn:commune:hop-tien,served_by,true
03566,vn:commune:hai-phong:tran-phu,served_by,true
03570,vn:commune:thai-tan,served_by,true
03606,vn:commune:hai-phong:cam-giang,served_by,true
03625,vn:commune:mao-dien,served_by,true
03626,vn:commune:hai-phong:cam-giang-2,served_by,true
03627,vn:commune:tue-tinh,served_by,true
03656,vn:commune:gia-loc,served_by,true
03657,vn:commune:gia-phuc,served_by,true
03665,vn:commune:yet-kieu,served_by,true
03679,vn:commune:truong-tan,served_by,true
03706,vn:commune:ke-sat,served_by,true
03724,vn:commune:binh-giang,served_by,true
03725,vn:commune:duong-an,served_by,true
03726,vn:commune:thuong-hong,served_by,true
03756,vn:commune:thanh-mien,served_by,true
03775,vn:commune:bac-thanh-mien,served_by,true
03776,vn:commune:hai-hung,served_by,true
03777,vn:commune:nguyen-luong-bang,served_by,true
03778,vn:commune:nam-thanh-mien,served_by,true
03806,vn:commune:ninh-giang,served_by,true
03834,vn:commune:vinh-lai,served_by,true
03835,vn:commune:khuc-thua-du,served_by,true
03836,vn:commune:hai-phong:tan-an,served_by,true
03837,vn:commune:hong-chau,served_by,true
03906,vn:commune:tu-ky,served_by,true
03907,vn:commune:chi-minh,served_by,true
03912,vn:commune:hai-phong:dai-son,served_by,true
03916,vn:commune:hai-phong:tan-ky,served_by,true
03924,vn:commune:lac-phuong,served_by,true
03928,vn:commune:nguyen-giap,served_by,true
04117,vn:ward:hong-bang,served_by,true
04118,vn:ward:hong-an,served_by,true
04213,vn:ward:gia-vien,served_by,true
04219,vn:ward:ngo-quyen,served_by,true
04308,vn:ward:hai-phong:hoa-binh,served_by,true
04318,vn:ward:bach-dang,served_by,true
04330,vn:ward:luu-kiem,served_by,true
04338,vn:ward:thien-huong,served_by,true
04343,vn:commune:viet-khe,served_by,true
04344,vn:ward:thuy-nguyen,served_by,true
04345,vn:ward:nam-trieu,served_by,true
04346,vn:ward:le-ich-moc,served_by,true
04422,vn:ward:an-duong,served_by,true
04423,vn:ward:an-hai,served_by,true
04424,vn:ward:an-phong,served_by,true
04506,vn:commune:an-lao,served_by,true
04523,vn:commune:an-hung,served_by,true
04524,vn:commune:hai-phong:an-khanh,served_by,true
04525,vn:commune:an-quang,served_by,true
04526,vn:commune:an-truong,served_by,true
04616,vn:ward:kien-an,served_by,true
04617,vn:ward:phu-lien,served_by,true
04707,vn:ward:an-bien,served_by,true
04721,vn:ward:le-chan,served_by,true
04814,vn:ward:hai-an,served_by,true
04815,vn:ward:dong-hai,served_by,true
04907,vn:ward:hung-dao,served_by,true
04912,vn:ward:duong-kinh,served_by,true
05013,vn:ward:nam-do-son,served_by,true
05014,vn:ward:do-son,served_by,true
05115,vn:commune:kien-hung,served_by,true
05124,vn:commune:kien-thuy,served_by,true
05125,vn:commune:kien-minh,served_by,true
05126,vn:commune:kien-hai,served_by,true
05206,vn:commune:tien-lang,served_by,true
05217,vn:commune:tan-minh,served_by,true
05218,vn:commune:tien-minh,served_by,true
05224,vn:commune:hung-thang,served_by,true
05229,vn:commune:hai-phong:quyet-thang,served_by,true
05230,vn:commune:chan-hung,served_by,true
05306,vn:commune:vinh-bao,served_by,true
05314,vn:commune:vinh-hoa,served_by,true
05319,vn:commune:vinh-hai,served_by,true
05336,vn:commune:nguyen-binh-khiem,served_by,true
05337,vn:commune:vinh-am,served_by,true
05338,vn:commune:vinh-thinh,served_by,true
05339,vn:commune:vinh-thuan,served_by,true
05418,vn:special_zone:cat-hai,served_by,true
05506,vn:special_zone:bach-long-vi,served_by,true
06106,vn:ward:hung-yen:tran-hung-dao,served_by,true
06119,vn:ward:vu-phuc,served_by,true
06122,vn:ward:tran-lam,served_by,true
06125,vn:ward:thai-binh,served_by,true
06126,vn:ward:tra-ly,served_by,true
06206,vn:commune:kien-xuong,served_by,true
06213,vn:commune:hung-yen:le-loi,served_by,true
06216,vn:commune:tra-giang,served_by,true
06222,vn:commune:hung-yen:binh-nguyen,served_by,true
06224,vn:commune:quang-lich,served_by,true
06227,vn:commune:vu-quy,served_by,true
06229,vn:commune:hong-vu,served_by,true
06235,vn:commune:hung-yen:binh-thanh,served_by,true
06237,vn:commune:binh-dinh,served_by,true
06306,vn:commune:tien-hai,served_by,true
06325,vn:commune:ai-quoc,served_by,true
06338,vn:commune:hung-yen:nam-cuong,served_by,true
06341,vn:commune:dong-tien-hai,served_by,true
06342,vn:commune:tay-tien-hai,served_by,true
06343,vn:commune:nam-tien-hai,served_by,true
06344,vn:commune:dong-chau,served_by,true
06345,vn:commune:hung-phu,served_by,true
06454,vn:commune:thai-thuy,served_by,true
06455,vn:commune:thuy-anh,served_by,true
06456,vn:commune:dong-thuy-anh,served_by,true
06457,vn:commune:bac-thuy-anh,served_by,true
06458,vn:commune:tay-thuy-anh,served_by,true
06459,vn:commune:nam-thuy-anh,served_by,true
06460,vn:commune:thai-ninh,served_by,true
06461,vn:commune:dong-thai-ninh,served_by,true
06462,vn:commune:bac-thai-ninh,served_by,true
06463,vn:commune:tay-thai-ninh,served_by,true
06464,vn:commune:nam-thai-ninh,served_by,true
06644,vn:commune:quynh-phu,served_by,true
06645,vn:commune:minh-tho,served_by,true
06646,vn:commune:nguyen-du,served_by,true
06647,vn:commune:quynh-an,served_by,true
06648,vn:commune:ngoc-lam,served_by,true
06649,vn:commune:dong-bang,served_by,true
06675,vn:commune:a-sao,served_by,true
06676,vn:commune:phu-duc,served_by,true
06677,vn:commune:hung-yen:tan-tien,served_by,true
06706,vn:commune:hung-ha,served_by,true
06738,vn:commune:hong-minh,served_by,true
06741,vn:commune:tien-la,served_by,true
06742,vn:commune:le-quy-don,served_by,true
06743,vn:commune:than-khe,served_by,true
06744,vn:commune:dien-ha,served_by,true
06745,vn:commune:ngu-thien,served_by,true
06746,vn:commune:long-hung,served_by,true
