source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
ye:governorate:abyan,YE,governorate,Abyan,,AB,,1,,
ye:governorate:ad-dali,YE,governorate,Ad Dali',,DA,,1,,
ye:governorate:adan,YE,governorate,Adan,,AD,,1,,
ye:governorate:al-bayda,YE,governorate,Al Bayda',,BA,,1,,
ye:governorate:al-hudaydah,YE,governorate,Al Hudaydah,,HU,,1,,
ye:governorate:al-jawf,YE,governorate,Al Jawf,,JA,,1,,
ye:governorate:al-mahrah,YE,governorate,Al Mahrah,,MR,,1,,
ye:governorate:al-mahwit,YE,governorate,Al Mahwit,,MW,,1,,
ye:municipality:amanat-al-asimah,YE,municipality,Amanat Al Asimah,,SA,,1,,
ye:governorate:amran,YE,governorate,Amran,,AM,,1,,
ye:governorate:dhamar,YE,governorate,Dhamar,,DH,,1,,
ye:governorate:hadhramaut,YE,governorate,Hadhramaut,,HD,,1,,
ye:governorate:hajjah,YE,governorate,Hajjah,,HJ,,1,,
ye:governorate:ibb,YE,governorate,Ibb,,IB,,1,,
ye:governorate:lahij,YE,governorate,Lahij,,LA,,1,,
ye:governorate:marib,YE,governorate,Ma'rib,,MA,,1,,
ye:governorate:raymah,YE,governorate,Raymah,,RA,,1,,
ye:governorate:saada,YE,governorate,Saada,,SD,,1,,
ye:governorate:sanaa,YE,governorate,Sana'a,,SN,,1,,
ye:governorate:shabwah,YE,governorate,Shabwah,,SH,,1,,
ye:governorate:socotra,YE,governorate,Socotra,,SU,,1,,
ye:governorate:taizz,YE,governorate,Ta'izz,,TA,,1,,
