source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
zw:province:bulawayo,ZW,province,Bulawayo,,BU,,1,,
zw:province:harare,ZW,province,Harare,,HA,,1,,
zw:province:manicaland,ZW,province,Manicaland,,MA,,1,,
zw:province:mashonaland-central,ZW,province,Mashonaland Central,,MC,,1,,
zw:province:mashonaland-east,ZW,province,Mashonaland East,,ME,,1,,
zw:province:mashonaland-west,ZW,province,Mashonaland West,,MW,,1,,
zw:province:masvingo,ZW,province,Masvingo,,MV,,1,,
zw:province:matabeleland-north,ZW,province,Matabeleland North,,MN,,1,,
zw:province:matabeleland-south,ZW,province,Matabeleland South,,MS,,1,,
zw:province:midlands,ZW,province,Midlands,,MI,,1,,
zw:district:bulawayo,ZW,district,Bulawayo,,,zw:province:bulawayo,2,,
zw:district:harare,ZW,district,Harare,,,zw:province:harare,2,,
zw:district:chitungwiza,ZW,district,Chitungwiza,,,zw:province:harare,2,,
zw:district:epworth,ZW,district,Epworth,,,zw:province:harare,2,,
zw:district:buhera,ZW,district,Buhera,,,zw:province:manicaland,2,,
zw:district:chimanimani,ZW,district,Chimanimani,,,zw:province:manicaland,2,,
zw:district:chipinge,ZW,district,Chipinge,,,zw:province:manicaland,2,,
zw:district:makoni,ZW,district,Makoni,,,zw:province:manicaland,2,,
zw:district:mutare,ZW,district,Mutare,,,zw:province:manicaland,2,,
zw:district:mutasa,ZW,district,Mutasa,,,zw:province:manicaland,2,,
zw:district:nyanga,ZW,district,Nyanga,,,zw:province:manicaland,2,,
zw:district:bindura,ZW,district,Bindura,,,zw:province:mashonaland-central,2,,
zw:district:guruve,ZW,district,Guruve,,,zw:province:mashonaland-central,2,,
zw:district:mazowe,ZW,district,Mazowe,,,zw:province:mashonaland-central,2,,
zw:district:mbire,ZW,district,Mbire,,,zw:province:mashonaland-central,2,,
zw:district:mount-darwin,ZW,district,Mount Darwin,,,zw:province:mashonaland-central,2,,
zw:district:muzarabani,ZW,district,Muzarabani,,,zw:province:mashonaland-central,2,,
zw:district:rushinga,ZW,district,Rushinga,,,zw:province:mashonaland-central,2,,
zw:district:shamva,ZW,district,Shamva,,,zw:province:mashonaland-central,2,,
zw:district:chikomba,ZW,district,Chikomba,,,zw:province:mashonaland-east,2,,
zw:district:goromonzi,ZW,district,Goromonzi,,,zw:province:mashonaland-east,2,,
zw:district:marondera,ZW,district,Marondera,,,zw:province:mashonaland-east,2,,
zw:district:mudzi,ZW,district,Mudzi,,,zw:province:mashonaland-east,2,,
zw:district:murehwa,ZW,district,Murehwa,,,zw:province:mashonaland-east,2,,
zw:district:mutoko,ZW,district,Mutoko,,,zw:province:mashonaland-east,2,,
zw:district:seke,ZW,district,Seke,,,zw:province:mashonaland-east,2,,
zw:district:ump,ZW,district,UMP,,,zw:province:mashonaland-east,2,,
zw:district:wedza,ZW,district,Wedza,,,zw:province:mashonaland-east,2,,
zw:district:chegutu,ZW,district,Chegutu,,,zw:province:mashonaland-west,2,,
zw:district:hurungwe,ZW,district,Hurungwe,,,zw:province:mashonaland-west,2,,
zw:district:kariba,ZW,district,Kariba,,,zw:province:mashonaland-west,2,,
zw:district:makonde,ZW,district,Makonde,,,zw:province:mashonaland-west,2,,
